location,Ayutla de los Libres,Ayutla de los Libres
lat,16.87565,16.87565
lon,-99.06353,-99.06353
asl,434.229,434.229
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Ayutla de los Libres Wind Speed [80 m],Ayutla de los Libres Wind Direction [80 m]
20200512T0900,6.12,270.0
20200512T1000,7.491114,234.78241
20200512T1100,13.891522,211.2184
20200512T1200,18.03237,206.0535
20200512T1300,19.694992,210.78415
20200512T1400,19.878391,215.41705
20200512T1500,20.150354,221.37852
20200512T1600,19.881649,222.06433
20200512T1700,19.107151,222.7094
20200512T1800,15.546833,222.18445
20200512T1900,12.229406,222.61406
20200512T2000,7.42159,219.09386
20200512T2100,2.5455842,188.1301
20200512T2200,3.319036,40.601288
20200512T2300,7.0911775,23.962494
