location,Ayutla de los Libres,Ayutla de los Libres
lat,16.87565,16.87565
lon,-99.06353,-99.06353
asl,434.229,434.229
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Ayutla de los Libres Wind Speed [80 m],Ayutla de los Libres Wind Direction [80 m]
20200426T0000,1.5273507,44.999985
20200426T0100,1.0182338,44.999985
20200426T0200,2.6208394,15.945404
20200426T0300,4.32,360.0
20200426T0400,4.6938252,4.398697
20200426T0500,3.671294,11.309921
20200426T0600,2.1897945,9.462311
20200426T0700,2.968636,14.03624
20200426T0800,2.52,360.0
20200426T0900,2.6208394,285.9454
20200426T1000,4.6938257,237.52881
20200426T1100,8.4963045,216.38435
20200426T1200,10.685391,212.61925
20200426T1300,15.0038395,210.25644
20200426T1400,18.089775,211.1593
20200426T1500,19.33639,208.951
20200426T1600,19.130875,199.79887
20200426T1700,19.0392,195.35014
20200426T1800,16.24394,192.80426
20200426T1900,11.609651,187.12502
20200426T2000,3.219938,296.56506
20200426T2100,6.130579,356.63354
20200426T2200,7.69592,10.7842865
20200426T2300,7.208994,2.8624115
20200427T0000,4.3349743,355.23636
20200427T0100,3.096837,324.46234
20200427T0200,4.0249224,333.43497
20200427T0300,5.771239,356.42368
20200427T0400,7.5685663,357.2737
20200427T0500,9.007196,357.7094
20200427T0600,10.805999,358.09085
20200427T0700,11.879999,360.0
20200427T0800,10.137692,16.504364
20200427T0900,3.9763298,354.8056
20200427T1000,6.28713,246.37064
20200427T1100,10.44,223.60281
20200427T1200,12.904882,210.14139
20200427T1300,17.388409,207.09555
20200427T1400,17.0763,214.69516
20200427T1500,17.884428,220.1009
20200427T1600,17.581125,222.51045
20200427T1700,16.29174,225.0
20200427T1800,14.799459,221.05481
20200427T1900,12.88981,215.90973
20200427T2000,11.966954,195.70863
20200427T2100,9.793058,162.89728
20200427T2200,7.9036193,149.93141
20200427T2300,4.3498964,114.44395
20200428T0000,2.2768397,341.56506
20200428T0100,5.6233797,320.19443
20200428T0200,6.87779,353.991
20200428T0300,9.028754,4.573929
20200428T0400,9.726665,357.8789
20200428T0500,11.885453,358.2643
20200428T0600,13.397612,353.82983
20200428T0700,13.084402,352.09283
20200428T0800,10.587917,17.818878
20200428T0900,8.287822,357.51044
20200428T1000,7.127636,315.0
20200428T1100,9.3669195,267.7974
20200428T1200,11.298495,247.52057
20200428T1300,16.704155,232.88315
20200428T1400,20.65848,228.5323
20200428T1500,22.771244,230.77432
20200428T1600,22.476227,238.09189
20200428T1700,23.0653,235.81387
20200428T1800,20.523157,232.12502
20200428T1900,15.273505,225.0
20200428T2000,9.693296,211.32869
20200428T2100,5.991594,147.26477
20200428T2200,5.0528407,94.08562
20200428T2300,1.609969,63.43495
20200429T0000,1.609969,243.43495
20200429T0100,1.4399999,270.0
20200429T0200,3.5455887,336.0375
20200429T0300,3.7585104,343.30075
20200429T0400,3.7064266,330.94543
20200429T0500,3.396233,327.99463
20200429T0600,3.319036,319.3987
20200429T0700,3.096837,324.46234
20200429T0800,4.5536795,18.434952
20200429T0900,2.5455842,261.8699
20200429T1000,8.0899935,237.72437
20200429T1100,11.753876,220.03026
20200429T1200,13.217443,209.35776
20200429T1300,17.287498,211.373
20200429T1400,18.289274,216.1932
20200429T1500,18.440998,218.65982
20200429T1600,17.377226,219.95755
20200429T1700,16.595179,220.60129
20200429T1800,14.336861,218.88449
20200429T1900,12.181624,214.1597
20200429T2000,12.313893,195.25513
20200429T2100,4.198285,149.03624
20200429T2200,5.154415,65.224846
