location,Ayutla de los Libres,Ayutla de los Libres
lat,16.87565,16.87565
lon,-99.06353,-99.06353
asl,434.229,434.229
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Ayutla de los Libres Wind Speed [80 m],Ayutla de los Libres Wind Direction [80 m]
20200420T0000,2.52,89.99999
20200420T0100,0.0,180.0
20200420T0200,1.609969,296.56506
20200420T0300,3.5455887,336.0375
20200420T0400,5.506941,348.69006
20200420T0500,7.342588,348.69006
20200420T0600,7.8625183,344.0546
20200420T0700,6.2145634,349.992
20200420T0800,5.815978,338.1986
20200420T0900,7.10031,300.46555
20200420T1000,8.28,270.0
20200420T1100,9.904906,250.90651
20200420T1200,11.885453,234.86581
20200420T1300,15.530151,224.0608
20200420T1400,17.713316,217.56859
20200420T1500,20.08916,216.25385
20200420T1600,19.586119,216.02737
20200420T1700,19.008545,217.30396
20200420T1800,16.279802,215.09583
20200420T1900,13.0447235,207.97948
20200420T2000,8.473393,192.26477
20200420T2100,4.510787,151.38954
20200420T2200,3.6179552,95.71059
20200420T2300,3.219938,63.43495
20200421T0000,2.4149535,26.565033
20200421T0100,2.2768397,341.56506
20200421T0200,2.7416782,336.8014
20200421T0300,4.0249224,349.69516
20200421T0400,6.162207,353.29016
20200421T0500,8.28,360.0
20200421T0600,8.647496,2.3859253
20200421T0700,5.8048253,352.875
20200421T0800,8.089993,20.854446
20200421T0900,3.2399998,360.0
20200421T1000,4.829907,243.43495
20200421T1100,10.948973,223.66779
20200421T1200,13.202726,205.86636
20200421T1300,16.263872,207.69948
20200421T1400,18.472595,213.07068
20200421T1500,17.873556,214.33022
20200421T1600,16.075521,214.04594
20200421T1700,15.124284,218.23383
20200421T1800,13.281023,212.82855
20200421T1900,12.10157,202.75098
20200421T2000,18.0,180.0
20200421T2100,10.587918,144.68878
20200421T2200,4.8965297,126.027374
20200421T2300,1.484318,75.96376
20200422T0000,3.2599385,6.340164
20200422T0100,3.4152596,18.434952
20200422T0200,4.0249224,10.30484
20200422T0300,5.771239,356.42368
20200422T0400,8.049845,349.69516
20200422T0500,9.826088,351.57306
20200422T0600,9.0,360.0
20200422T0700,8.64,360.0
20200422T0800,9.983106,25.640991
20200422T0900,2.6208394,344.0546
20200422T1000,7.729527,242.24146
20200422T1100,10.44,226.39719
20200422T1200,10.296251,216.46924
20200422T1300,13.044722,219.40067
20200422T1400,16.055355,222.2737
20200422T1500,17.884428,220.1009
20200422T1600,17.84816,221.7295
20200422T1700,17.057314,224.1449
20200422T1800,13.551501,230.38931
20200422T1900,8.654987,225.0
20200422T2000,11.27553,196.69925
20200422T2100,4.3498964,155.55605
20200422T2200,2.9024127,82.874985
20200422T2300,2.9024127,29.744873
20200423T0000,2.968636,14.03624
20200423T0100,2.16,360.0
20200423T0200,1.2979984,326.30994
20200423T0300,2.5959969,303.69006
20200423T0400,3.319036,319.3987
20200423T0500,4.452954,345.96375
20200423T0600,6.162207,353.29016
20200423T0700,6.4799995,360.0
20200423T0800,7.754637,21.801407
20200423T0900,2.7416782,336.8014
20200423T1000,8.209263,254.74487
20200423T1100,9.826088,241.55707
20200423T1200,10.296251,233.53076
20200423T1300,13.755579,227.1211
20200423T1400,17.339897,221.63354
20200423T1500,19.95972,219.14398
20200423T1600,19.95972,219.14398
20200423T1700,19.881649,222.06433
20200423T1800,16.563911,227.64255
20200423T1900,11.988594,228.65222
20200423T2000,8.654987,225.0
20200423T2100,2.8799999,180.0
20200423T2200,5.3517847,70.346176
20200423T2300,5.0911684,44.999985
