location,Nueva Baja California,Nueva Baja California
lat,30.99987,30.99987
lon,-116.25000,-116.25000
asl,195.257,195.257
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Nueva Baja California Wind Speed [80 m],Nueva Baja California Wind Direction [80 m]
20200511T0900,9.3876505,265.6013
20200511T1000,9.746631,265.7636
20200511T1100,13.493999,260.78897
20200511T1200,16.039202,260.9605
20200511T1300,18.511143,256.50427
20200511T1400,18.448023,252.97949
20200511T1500,19.721298,248.58704
20200511T1600,17.238699,241.29405
20200511T1700,15.815435,228.69138
20200511T1800,14.291592,220.91438
20200511T1900,14.565548,219.9869
20200511T2000,13.779114,213.27489
20200511T2100,11.753877,207.34988
20200511T2200,9.904906,199.09349
20200511T2300,8.089993,200.85446
