location,Nueva Baja California,Nueva Baja California
lat,30.99987,30.99987
lon,-116.25000,-116.25000
asl,195.257,195.257
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Nueva Baja California Wind Speed [80 m],Nueva Baja California Wind Direction [80 m]
20200426T0000,2.52,270.0
20200426T0100,2.16,270.0
20200426T0200,1.9386592,291.8014
20200426T0300,2.3051248,308.65982
20200426T0400,2.5455842,315.0
20200426T0500,1.609969,26.565033
20200426T0600,2.16,360.0
20200426T0700,2.1897945,350.5377
20200426T0800,1.08,360.0
20200426T0900,4.452954,255.96376
20200426T1000,9.178235,258.69006
20200426T1100,13.202726,258.99646
20200426T1200,15.111424,257.61926
20200426T1300,18.947083,255.69974
20200426T1400,21.915693,255.73549
20200426T1500,25.071096,254.16762
20200426T1600,23.132626,249.02652
20200426T1700,23.871555,246.91487
20200426T1800,16.267857,245.1363
20200426T1900,14.8257065,240.9454
20200426T2000,12.24,241.92752
20200426T2100,7.5942082,238.57043
20200426T2200,5.1919937,236.30994
20200426T2300,3.563818,225.0
20200427T0000,3.0547013,225.0
20200427T0100,2.9024127,240.25513
20200427T0200,2.52,270.0
20200427T0300,2.16,270.0
20200427T0400,1.4399999,270.0
20200427T0500,1.0182338,225.0
20200427T0600,6.4799995,270.0
20200427T0700,6.4799995,270.0
20200427T0800,4.3349743,265.23636
20200427T0900,7.771331,256.6075
20200427T1000,11.090103,256.86597
20200427T1100,14.408997,257.00537
20200427T1200,15.893093,256.9081
20200427T1300,19.0392,254.64987
20200427T1400,20.833395,251.87814
20200427T1500,22.461807,248.36911
20200427T1600,20.00512,239.74356
20200427T1700,19.469976,236.30994
20200427T1800,13.37825,246.19406
20200427T1900,13.237039,247.61987
20200427T2000,11.113451,245.09525
20200427T2100,7.4128532,240.9454
20200427T2200,4.072935,225.0
20200427T2300,2.6208394,195.9454
20200428T0000,2.6208394,164.0546
20200428T0100,2.0364676,135.0
20200428T0200,1.9386592,111.80141
20200428T0300,1.8,89.99999
20200428T0400,1.835647,78.69006
20200428T0500,2.968636,75.96376
20200428T0600,1.08,360.0
20200428T0700,3.7064266,29.05458
20200428T0800,4.3349743,41.63353
20200428T0900,3.219938,26.565033
20200428T1000,1.08,360.0
20200428T1100,1.835647,258.69006
20200428T1200,4.510787,241.38954
20200428T1300,10.30883,245.22485
20200428T1400,13.1041975,254.0546
20200428T1500,15.745627,259.46082
20200428T1600,16.65754,263.79657
