location,Las Cañadas,Las Cañadas
lat,20.33322,20.33322
lon,-102.18750,-102.18750
asl,1734.639,1734.639
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Las Cañadas Wind Speed [80 m],Las Cañadas Wind Direction [80 m]
20200505T0000,19.08,301.8908
20200505T0100,15.463246,294.77515
20200505T0200,13.75558,276.009
20200505T0300,14.205182,261.25385
20200505T0400,14.458382,251.11392
20200505T0500,14.48972,243.43495
20200505T0600,14.386494,238.29858
20200505T0700,6.28713,283.2405
20200505T0800,4.5536795,288.43497
20200505T0900,2.4149535,296.56506
20200505T1000,3.8268526,318.8141
20200505T1100,5.1165614,320.7106
20200505T1200,4.6800003,337.38013
20200505T1300,3.2599385,353.65985
20200505T1400,5.1165614,309.2894
20200505T1500,4.5536795,288.43497
20200505T1600,5.2416787,285.9454
20200505T1700,4.1046314,307.875
20200505T1800,4.1046314,307.875
20200505T1900,5.495161,328.39252
20200505T2000,11.720751,137.48955
20200505T2100,17.57744,124.99202
20200505T2200,22.90743,120.19162
20200505T2300,17.974781,122.73523
20200506T0000,9.793059,126.027374
20200506T0100,5.692099,124.69515
20200506T0200,5.771239,93.576324
20200506T0300,8.557102,67.75098
20200506T0400,9.085988,56.30993
20200506T0500,8.587338,56.976128
20200506T0600,7.5942082,58.570435
20200506T0700,6.696387,53.746155
20200506T0800,7.10031,59.534447
20200506T0900,6.6185193,67.61986
20200506T1000,8.707238,82.874985
20200506T1100,11.183201,93.69138
20200506T1200,13.797912,97.49586
20200506T1300,13.979871,101.88866
20200506T1400,11.874544,104.03624
20200506T1500,9.885262,100.49147
20200506T1600,8.647496,92.38594
20200506T1700,6.924738,81.02737
20200506T1800,7.072878,75.25644
20200506T1900,8.854829,63.43495
20200506T2000,15.484185,54.46232
20200506T2100,18.11841,69.04422
20200506T2200,21.068459,70.016884
20200506T2300,25.40743,69.253914
20200507T0000,25.44566,64.88516
20200507T0100,19.08,58.1092
20200507T0200,15.03835,47.910828
20200507T0300,13.044722,39.40065
20200507T0400,12.682018,34.59227
20200507T0500,12.979984,33.690063
20200507T0600,12.682018,34.59227
20200507T0700,12.88981,35.909714
20200507T0800,9.021574,61.38954
20200507T0900,10.966713,66.8014
20200507T1000,12.371645,81.63411
20200507T1100,12.261158,86.63353
20200507T1200,11.609651,97.125015
20200507T1300,10.630672,118.30075
20200507T1400,8.714677,141.70984
20200507T1500,6.379216,163.61046
20200507T1600,7.2,180.0
20200507T1700,7.5170207,196.69925
20200507T1800,7.729527,207.75854
20200507T1900,8.78872,214.99202
20200507T2000,15.463244,192.09476
20200507T2100,12.224107,193.627
20200507T2200,10.594036,189.78241
20200507T2300,9.0,196.26021
20200508T0000,7.771331,193.3925
20200508T0100,8.350138,187.43141
20200508T0200,7.92,180.0
20200508T0300,6.8399997,180.0
20200508T0400,5.3999996,180.0
20200508T0500,5.4477882,187.59465
20200508T0600,5.5887027,194.93143
20200508T0700,6.792466,212.00539
20200508T0800,3.6,216.8699
20200508T0900,5.1165614,230.7106
20200508T1000,8.707237,240.25513
20200508T1100,12.397806,244.17902
20200508T1200,14.118243,250.641
20200508T1300,15.986595,262.23483
20200508T1400,17.414476,277.125
20200508T1500,16.87398,281.0702
20200508T1600,17.057314,277.275
20200508T1700,17.414476,277.125
20200508T1800,17.339897,274.76364
20200508T1900,17.294992,272.38596
20200508T2000,12.879752,26.565033
20200508T2100,10.296251,36.469223
20200508T2200,10.495713,59.036232
20200508T2300,9.47012,81.25384
20200509T0000,7.771331,103.392494
20200509T0100,5.315336,118.30075
20200509T0200,4.198285,149.03624
20200509T0300,4.0249224,169.69516
20200509T0400,3.319036,192.52881
20200509T0500,1.9386592,201.8014
20200509T0600,1.1384199,251.56506
20200509T0700,1.0182338,315.0
20200509T0800,3.319036,102.52881
20200509T0900,5.154415,65.224846
20200509T1000,5.95906,64.98311
20200509T1100,5.8603754,79.38034
20200509T1200,5.4119864,93.81408
20200509T1300,3.5455887,113.96249
20200509T1400,3.319036,167.47119
20200509T1500,6.0347,197.35403
20200509T1600,7.928177,219.47246
20200509T1700,9.290511,234.46233
20200509T1800,9.659814,243.43495
20200509T1900,10.636766,246.0375
20200509T2000,15.546833,275.31454
20200509T2100,12.371645,278.3659
20200509T2200,6.8399997,270.0
20200509T2300,5.315336,241.69925
20200510T0000,6.989936,214.50853
20200510T0100,7.5685663,205.34618
20200510T0200,7.289444,200.22485
20200510T0300,5.8603754,190.61966
20200510T0400,4.68,180.0
20200510T0500,3.671294,168.69006
20200510T0600,3.0547013,135.0
20200510T0700,4.379589,99.46232
20200510T0800,6.87779,96.009
20200510T0900,5.771239,93.576324
20200510T1000,5.2416787,105.9454
20200510T1100,3.319036,102.52881
20200510T1200,1.8,89.99999
20200510T1300,0.8049845,63.43495
20200510T1400,0.5091169,135.0
20200510T1500,2.52,180.0
20200510T1600,3.319036,192.52881
20200510T1700,3.4152596,198.43495
20200510T1800,2.9024127,209.74489
20200510T1900,2.4149535,206.56505
20200510T2000,5.6233797,320.19443
20200510T2100,3.396233,32.005356
20200510T2200,7.9932976,82.23483
20200510T2300,16.343367,82.40536
20200511T0000,20.957443,85.07288
20200511T0100,21.841648,81.46923
20200511T0200,21.542923,80.38027
20200511T0300,20.345573,76.70142
20200511T0400,18.59845,75.42578
20200511T0500,18.214718,71.56504
20200511T0600,18.448023,72.97948
20200511T0700,18.448023,72.97948
20200511T0800,9.746631,85.7636
20200511T0900,9.36,89.99999
20200511T1000,7.072878,104.74355
20200511T1100,5.6233797,129.80557
20200511T1200,3.9763298,174.80557
20200511T1300,4.6938257,212.47119
20200511T1400,6.638072,220.6013
20200511T1500,9.1641035,225.0
20200511T1600,11.212135,227.60257
20200511T1700,13.551501,230.38931
20200511T1800,13.896187,233.42697
20200511T1900,13.979872,235.49149
20200511T2000,13.979872,235.49149
20200511T2100,13.783817,229.23639
20200511T2200,13.896187,233.42697
20200511T2300,15.827721,252.80145
20200512T0000,17.64,270.0
20200512T0100,19.13426,281.94418
20200512T0200,19.255793,290.8068
20200512T0300,17.555307,298.1416
20200512T0400,14.386494,301.70145
20200512T0500,11.384198,304.69516
20200512T0600,8.4963045,306.38437
20200512T0700,6.9153743,308.65982
20200512T0800,5.1165614,309.2894
20200512T0900,3.8268526,311.1859
20200512T1000,3.6,270.0
20200512T1100,6.6087217,240.64226
20200512T1200,10.086427,235.1755
20200512T1300,14.20062,239.53445
20200512T1400,16.09969,243.43495
20200512T1500,16.645864,248.4287
20200512T1600,16.965895,252.7185
20200512T1700,17.208603,254.21925
20200512T1800,18.25026,255.14139
20200512T1900,18.448023,252.97949
20200512T2000,17.782688,248.62938
20200512T2100,18.043148,241.38954
20200512T2200,18.671474,236.00354
20200512T2300,20.808498,232.7336
