location,Zotola,Zotola
lat,20.56911,20.56911
lon,-98.80593,-98.80593
asl,1616.579,1616.579
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Zotola Wind Speed [80 m],Zotola Wind Direction [80 m]
20200427T1000,4.510787,118.61046
20200427T1100,3.8773184,68.19859
20200427T1200,5.991594,32.735214
20200427T1300,11.983188,32.735214
20200427T1400,17.713316,52.431404
20200427T1500,20.833395,71.878136
20200427T1600,22.59699,67.52056
20200427T1700,24.651457,61.18921
20200427T1800,21.120682,60.37625
20200427T1900,20.291357,64.79887
20200427T2000,18.58451,68.404686
20200427T2100,12.57426,66.37062
20200427T2200,5.692099,55.304832
20200427T2300,0.35999998,360.0
