location,Zotola,Zotola
20200429T0700,7.8625183,254.0546
20200429T0800,4.73506,188.74615
20200429T0900,7.754637,201.8014
20200429T1000,9.793059,216.02737
20200429T1100,9.585739,235.71313
20200429T1200,6.638072,282.5288
20200429T1300,9.178235,334.44003
20200429T1400,15.542662,13.392487
20200429T1500,30.652895,49.76364
20200429T1600,16.92383,51.91121
20200429T1700,8.225035,23.198593
20200429T1800,8.287822,34.380325
20200429T1900,9.726664,38.990982
20200429T2000,17.377226,13.172546
20200429T2100,15.546833,47.81555
20200429T2200,10.739833,76.42956
20200429T2300,11.212135,47.602554
20200430T0000,27.047956,9.963806
20200430T0100,22.73707,23.317688
20200430T0200,21.30093,30.465546
20200430T0300,13.397612,30.699707
20200430T0400,9.178235,25.559967
20200430T0500,6.1305785,40.236343
20200430T0600,4.379589,99.46232
20200430T0700,2.4149535,116.56505
20200430T0800,5.1165614,50.7106
20200430T0900,6.3690495,47.29059
20200430T1000,7.386582,43.025055
20200430T1100,9.178235,41.82016
20200430T1200,12.768586,49.573914
20200430T1300,16.199999,53.130096
20200430T1400,18.0,53.130096
20200430T1500,20.929594,49.184906
20200430T1600,19.881649,47.93567
20200430T1700,17.429354,51.70984
20200430T1800,14.8257065,60.945396
20200430T1900,13.891522,58.781593
20200430T2000,15.30741,48.81407
20200430T2100,12.181625,71.029594
20200430T2200,7.69592,79.2157
20200430T2300,6.849467,86.98721
20200501T0000,4.802999,77.00538
20200501T0100,2.8116899,39.805573
20200501T0200,2.0991426,329.03625
20200501T0300,3.671294,281.30994
20200501T0400,4.452954,255.96376
20200501T0500,4.6938257,212.47119
20200501T0600,5.3999996,180.0
20200501T0700,6.12,180.0
20200501T0800,3.96,180.0
20200501T0900,2.16,180.0
20200501T1000,0.8049845,116.56505
20200501T1100,4.6938252,4.398697
20200501T1200,9.826088,8.426956
20200501T1300,14.021525,29.19748
20200501T1400,14.05845,50.194427
20200501T1500,13.513193,48.239685
20200501T1600,14.05845,50.194427
20200501T1700,12.819235,51.842773
20200501T1800,9.793059,53.97262
20200501T1900,10.990322,58.392494
20200501T2000,6.8399997,89.99999
20200501T2100,5.4477882,97.59464
20200501T2200,0.35999998,360.0
20200501T2300,5.0911684,278.1301
20200502T0000,5.04,270.0
20200502T0100,2.9024127,262.875
20200502T0200,2.52,180.0
20200502T0300,4.6800003,157.38013
20200502T0400,5.4833565,156.8014
20200502T0500,5.315336,151.69923
20200502T0600,5.3517847,137.72632
20200502T0700,5.6002855,135.0
20200502T0800,3.8268526,228.81409
20200502T0900,3.563818,225.0
20200502T1000,1.835647,258.69006
20200502T1100,3.096837,324.46234
20200502T1200,7.5685663,334.65384
20200502T1300,13.5515,343.00916
20200502T1400,15.119999,360.0
20200502T1500,15.496736,30.735489
20200502T1600,13.276144,40.601288
20200502T1700,13.551501,39.610672
20200502T1800,14.57889,57.094757
20200502T1900,15.827721,72.80146
20200502T2000,15.379206,73.68614
20200502T2100,13.905509,68.7495
20200502T2200,11.503113,69.86369
20200502T2300,6.12,89.99999
20200503T0000,3.8939953,123.69006
20200503T0100,3.5455887,113.96249
20200503T0200,5.0911684,98.1301
20200503T0300,5.3517847,109.653824
20200503T0400,5.4833565,156.8014
20200503T0500,9.0,180.0
20200503T0600,10.948973,170.53767
20200503T0700,12.57426,156.37062
20200503T0800,13.089354,148.49573
20200503T0900,10.685391,147.38075
20200503T1000,6.3690495,137.2906
20200503T1100,2.52,89.99999
20200503T1200,6.2145634,10.00798
20200503T1300,11.440978,12.724335
20200503T1400,14.386494,31.701416
20200503T1500,16.489416,53.88066
20200503T1600,18.079027,54.727577
20200503T1700,19.272614,57.200462
20200503T1800,17.10284,59.656746
20200503T1900,13.217443,60.64225
20200503T2000,11.91812,64.98311
20200503T2100,10.739833,76.42956
20200503T2200,9.0,89.99999
20200503T2300,5.815978,111.80141
