location,Zotola,Zotola
lat,20.56911,20.56911
lon,-98.80593,-98.80593
asl,1616.579,1616.579
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Zotola Wind Speed [80 m],Zotola Wind Direction [80 m]
20200426T0000,9.387651,32.47119
20200426T0100,4.1046314,105.25512
20200426T0200,6.489992,146.30994
20200426T0300,6.12,118.07248
20200426T0400,9.0,89.99999
20200426T0500,7.072878,75.25644
20200426T0600,3.219938,26.565033
20200426T0700,6.618519,44.999985
20200426T0800,3.4152596,18.434952
20200426T0900,7.2,360.0
20200426T1000,10.390226,14.03624
20200426T1100,14.81259,25.942291
20200426T1200,14.336861,38.88449
20200426T1300,15.484185,35.53766
20200426T1400,14.689588,36.027374
20200426T1500,17.566378,44.169678
20200426T1600,17.31746,46.684677
20200426T1700,18.584509,45.784805
20200426T1800,17.10284,49.267868
20200426T1900,15.696165,53.392914
20200426T2000,13.779114,56.725105
20200426T2100,11.983188,57.26477
20200426T2200,10.144082,62.52556
20200426T2300,6.439876,63.43495
20200427T0000,3.8773184,68.19859
20200427T0100,2.5959969,56.30993
20200427T0200,0.0,180.0
20200427T0300,0.8049845,243.43495
20200427T0400,3.0758414,200.55605
20200427T0500,3.9763298,185.19443
20200427T0600,5.04,180.0
20200427T0700,6.638072,167.47119
20200427T0800,2.9024127,187.12502
20200427T0900,0.5091169,225.0
20200427T1000,0.8049845,26.565033
20200427T1100,2.2768397,18.434952
20200427T1200,4.896529,17.102722
20200427T1300,9.793059,36.027374
20200427T1400,15.807239,59.93141
20200427T1500,20.858265,68.7495
20200427T1600,22.870626,61.821404
20200427T1700,24.95452,63.43495
20200427T1800,23.73271,67.71442
20200427T1900,21.9718,71.861916
20200427T2000,12.55879,62.70043
20200427T2100,6.849467,86.98721
20200427T2200,2.1897945,80.537674
20200427T2300,2.3051248,231.3402
20200428T0000,5.495161,238.3925
20200428T0100,6.12,241.92752
20200428T0200,4.5820518,225.0
20200428T0300,5.4477882,172.40535
20200428T0400,9.021574,151.38954
20200428T0500,11.113451,155.09523
20200428T0600,10.041354,165.46555
20200428T0700,8.557102,165.37912
20200428T0800,1.609969,296.56506
20200428T0900,3.96,270.0
20200428T1000,4.1046314,285.25513
20200428T1100,4.3498964,294.44397
20200428T1200,7.491114,324.7824
20200428T1300,12.864649,342.07208
20200428T1400,15.273505,351.8699
20200428T1500,13.979871,11.888657
20200428T1600,9.693296,31.32869
20200428T1700,7.2,36.86989
20200428T1800,4.6800003,22.619858
20200428T1900,2.8799999,360.0
20200428T2000,11.923557,61.11342
20200428T2100,5.0528407,94.08562
20200428T2200,5.937272,165.96376
20200428T2300,5.8048253,150.25511
20200429T0000,6.0347,107.35402
20200429T0100,9.0,73.73979
20200429T0200,8.905908,75.96376
20200429T0300,9.0645685,96.84277
20200429T0400,5.95906,64.98311
20200429T0500,11.681987,326.30994
20200429T0600,19.083395,305.78897
