location,Zotola,Zotola
lat,20.56911,20.56911
lon,-98.80593,-98.80593
asl,1616.579,1616.579
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Zotola Wind Speed [80 m],Zotola Wind Direction [80 m]
20200505T0000,5.0911684,171.8699
20200505T0100,2.9024127,150.25511
20200505T0200,2.52,89.99999
20200505T0300,4.32,89.99999
20200505T0400,6.193674,144.46231
20200505T0500,8.766573,160.82098
20200505T0600,9.531505,169.11447
20200505T0700,8.287822,145.61966
20200505T0800,7.9036193,149.93141
20200505T0900,7.491114,144.78241
20200505T1000,3.8939953,123.69006
20200505T1100,1.9386592,338.1986
20200505T1200,9.19939,329.42078
20200505T1300,16.78156,337.28558
20200505T1400,20.5484,356.98724
20200505T1500,21.794127,30.801437
20200505T1600,19.681828,39.805573
20200505T1700,22.406927,43.69803
20200505T1800,21.650938,47.021362
20200505T1900,22.961115,48.81407
20200505T2000,18.079027,54.727577
20200505T2100,11.923557,61.11342
20200505T2200,6.12,89.99999
20200505T2300,1.4399999,89.99999
20200506T0000,1.08,180.0
20200506T0100,2.2768397,341.56506
20200506T0200,5.8048253,330.25513
20200506T0300,3.4152596,288.43497
20200506T0400,6.12,270.0
20200506T0500,5.04,270.0
20200506T0600,3.6,270.0
20200506T0700,1.5273507,225.0
20200506T0800,2.1897945,9.462311
20200506T0900,3.396233,32.005356
20200506T1000,6.989936,34.508514
20200506T1100,12.074766,26.565033
20200506T1200,18.075441,44.19307
20200506T1300,15.7908325,43.15239
20200506T1400,17.429354,38.290146
20200506T1500,22.401142,44.999985
20200506T1600,21.758419,51.044083
20200506T1700,18.161278,50.630676
20200506T1800,16.279802,54.904182
20200506T1900,13.779114,56.725105
20200506T2000,16.199999,53.130096
20200506T2100,12.031756,51.07245
20200506T2200,10.24578,71.565056
20200506T2300,7.9932976,82.23483
20200507T0000,6.4799995,89.99999
20200507T0100,5.0911684,98.1301
20200507T0200,1.9386592,111.80141
20200507T0300,0.35999998,360.0
20200507T0400,0.8049845,206.56505
20200507T0500,1.609969,63.43495
20200507T0600,5.6002855,44.999985
20200507T0700,6.638072,40.601288
20200507T0800,1.609969,63.43495
20200507T0900,4.6938257,32.47119
20200507T1000,9.504272,37.30394
20200507T1100,12.475961,43.830856
20200507T1200,13.70839,60.06849
20200507T1300,15.463246,65.22487
20200507T1400,16.923828,60.708633
20200507T1500,17.174677,56.976128
20200507T1600,14.081477,57.5288
20200507T1700,14.693999,59.036255
20200507T1800,13.202726,64.13365
20200507T1900,11.298495,67.52056
20200507T2000,4.5820518,44.999985
20200507T2100,2.3051248,128.6598
20200507T2200,3.6,143.1301
20200507T2300,3.396233,122.00538
20200508T0000,2.52,89.99999
20200508T0100,1.2979984,33.690063
20200508T0200,1.5273507,315.0
20200508T0300,0.8049845,296.56506
20200508T0400,1.1384199,198.43495
20200508T0500,4.452954,165.96376
20200508T0600,7.5170207,163.30075
