"","timestamp","Zotola.Wind.Speed..80.m.","Zotola.Wind.Direction..80.m."
"106",2020-04-18 09:00:00,2.0991426,210.96376
"107",2020-04-18 10:00:00,1.2979984,236.30994
"108",2020-04-18 11:00:00,3.096837,324.46234
"109",2020-04-18 12:00:00,7.6367526,351.8699
"110",2020-04-18 13:00:00,13.358861,14.03624
"111",2020-04-18 14:00:00,17.581125,47.489548
"112",2020-04-18 15:00:00,15.459054,62.241455
"113",2020-04-18 16:00:00,13.70839,60.06849
"114",2020-04-18 17:00:00,15.94601,61.699234
"115",2020-04-18 18:00:00,9.793059,53.97262
"116",2020-04-18 19:00:00,10.538843,82.14668
"117",2020-04-18 20:00:00,8.557102,75.37913
"118",2020-04-18 21:00:00,4.1046314,142.12502
"119",2020-04-18 22:00:00,2.16,180
"120",2020-04-18 23:00:00,2.5455842,278.1301
"121",2020-04-19 00:00:00,3.9763298,264.80557
"122",2020-04-19 01:00:00,4.8433046,228.01279
"123",2020-04-19 02:00:00,5.8603754,190.61966
"124",2020-04-19 03:00:00,8.28,180
"125",2020-04-19 04:00:00,8.64,180
"126",2020-04-19 05:00:00,9.007196,182.2906
"127",2020-04-19 06:00:00,11.570515,185.35582
"128",2020-04-19 07:00:00,14.241629,196.14435
"129",2020-04-19 08:00:00,10.514218,231.95296
"130",2020-04-19 09:00:00,19.08,238.1092
"131",2020-04-19 10:00:00,24.546085,265.79465
"132",2020-04-19 11:00:00,22.065973,275.61758
"133",2020-04-19 12:00:00,18.25026,292.0113
"134",2020-04-19 13:00:00,15.072783,310.156
"135",2020-04-19 14:00:00,15.0038395,329.7436
"136",2020-04-19 15:00:00,16.93531,357.56335
"137",2020-04-19 16:00:00,16.375053,33.3407
"138",2020-04-19 17:00:00,14.264361,42.954575
"139",2020-04-19 18:00:00,12.599998,53.130096
"140",2020-04-19 19:00:00,14.345898,72.47443
"141",2020-04-19 20:00:00,15.281989,74.981636
"142",2020-04-19 21:00:00,16.09969,100.30484
"143",2020-04-19 22:00:00,12.413476,106.8584
"144",2020-04-19 23:00:00,7.5685663,92.72631
"145",2020-04-20 00:00:00,6.6087217,60.64225
"146",2020-04-20 01:00:00,7.0911775,23.962494
"147",2020-04-20 02:00:00,6.830519,341.56506
"148",2020-04-20 03:00:00,5.3999996,306.8699
"149",2020-04-20 04:00:00,6.162207,276.70984
"150",2020-04-20 05:00:00,6.8399997,270
"151",2020-04-20 06:00:00,6.130579,266.63354
"152",2020-04-20 07:00:00,5.634891,243.43495
"153",2020-04-20 08:00:00,4.802999,257.00537
"154",2020-04-20 09:00:00,3.396233,237.99463
"155",2020-04-20 10:00:00,4.1046314,254.74487
"156",2020-04-20 11:00:00,5.692099,304.69516
"157",2020-04-20 12:00:00,10.137692,343.49564
"158",2020-04-20 13:00:00,15.137133,2.7262878
"159",2020-04-20 14:00:00,16.78156,22.714401
"160",2020-04-20 15:00:00,17.610588,40.855362
"161",2020-04-20 16:00:00,17.10284,49.267868
"162",2020-04-20 17:00:00,18,53.130096
"163",2020-04-20 18:00:00,16.78156,67.28559
"164",2020-04-20 19:00:00,19.386591,74.9315
"165",2020-04-20 20:00:00,17.555305,74.53877
"166",2020-04-20 21:00:00,15.941944,96.48307
"167",2020-04-20 22:00:00,12.074766,100.30484
"168",2020-04-20 23:00:00,6.519877,96.34019
"169",2020-04-21 00:00:00,4.39436,55.007973
"170",2020-04-21 01:00:00,6.193674,35.53766
"171",2020-04-21 02:00:00,5.634891,26.565033
