location,Santa María del Oro,Santa María del Oro
lat,26.33321,26.33321
lon,-105.00000,-105.00000
asl,1700.028,1700.028
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Santa María del Oro Wind Speed [80 m],Santa María del Oro Wind Direction [80 m]
20200426T0000,17.373497,95.94686
20200426T0100,14.494192,104.381386
20200426T0200,11.792404,102.33909
20200426T0300,11.212135,95.52754
20200426T0400,11.5199995,89.99999
20200426T0500,11.928989,84.805565
20200426T0600,12.144331,78.023865
20200426T0700,17.698677,85.33313
20200426T0800,13.627795,77.79953
20200426T0900,9.9571085,77.47118
20200426T1000,15.4800005,89.99999
20200426T1100,16.263872,95.079605
20200426T1200,17.057314,97.275
20200426T1300,18.057508,94.57392
20200426T1400,19.134262,94.316025
20200426T1500,20.275383,96.1155
20200426T1600,20.478907,100.124664
20200426T1700,20.898611,100.9228
20200426T1800,19.839235,101.51383
20200426T1900,20.12461,100.30484
20200426T2000,35.29102,288.43494
20200426T2100,29.784426,277.6404
20200426T2200,32.10667,252.37772
20200426T2300,33.90313,221.98721
20200427T0000,26.717722,194.03624
20200427T0100,21.868332,200.22485
20200427T0200,19.373219,228.01279
20200427T0300,18.079027,234.72757
20200427T0400,15.629971,231.5463
20200427T0500,15.281989,226.90915
20200427T0600,15.021105,224.02899
20200427T0700,16.08761,220.46222
20200427T0800,11.753876,220.03026
20200427T0900,8.287822,214.38034
20200427T1000,10.315115,209.24883
20200427T1100,9.83268,203.7495
20200427T1200,8.766573,199.17902
20200427T1300,5.5887027,194.93143
20200427T1400,2.52,180.0
20200427T1500,1.8,143.1301
20200427T1600,1.5273507,135.0
20200427T1700,1.1384199,108.434944
20200427T1800,1.0182338,44.999985
20200427T1900,2.3051248,38.659805
20200427T2000,5.6920996,341.56506
20200427T2100,4.802999,12.994629
20200427T2200,3.0547013,44.999985
20200427T2300,1.9386592,68.19859
20200428T0000,2.0991426,300.96378
20200428T0100,9.983106,295.64102
20200428T0200,19.201874,300.41107
20200428T0300,24.464113,302.98853
20200428T0400,26.36616,304.99203
20200428T0500,25.1614,303.91742
20200428T0600,22.728518,299.4072
20200428T0700,22.862123,296.16156
20200428T0800,16.267857,294.8637
20200428T0900,10.086427,267.9546
20200428T1000,12.599998,306.8699
20200428T1100,17.782688,338.6294
20200428T1200,18.733839,357.79742
20200428T1300,16.954432,3.6522217
20200428T1400,13.722565,4.513962
20200428T1500,10.799999,360.0
20200428T1600,8.4042845,350.13422
20200428T1700,8.12197,347.19574
20200428T1800,8.473393,347.73523
20200428T1900,9.3876505,355.60132
20200428T2000,10.805998,330.01837
20200428T2100,10.636766,336.03754
20200428T2200,10.24578,341.56506
20200428T2300,10.365251,339.67688
20200429T0000,10.028439,338.9625
20200429T0100,9.983106,334.359
20200429T0200,10.587918,324.68878
20200429T0300,11.709688,315.0
20200429T0400,12.768586,310.4261
20200429T0500,13.896187,306.57306
20200429T0600,13.479583,304.1145
20200429T0700,13.392774,306.25385
20200429T0800,14.773164,313.0251
20200429T0900,10.144082,297.47443
20200429T1000,9.19939,329.42078
20200429T1100,11.542478,3.5763245
20200429T1200,16.299694,30.529694
20200429T1300,16.299694,43.210068
20200429T1400,14.799459,48.945175
20200429T1500,13.513193,48.239685
20200429T1600,13.513193,48.239685
20200429T1700,14.799459,48.945175
20200429T1800,16.704155,52.88314
20200429T1900,20.316889,60.25511
20200429T2000,30.449274,65.55604
20200429T2100,35.406506,71.012375
20200429T2200,36.04677,81.38435
20200429T2300,34.268143,93.61387
20200430T0000,30.563978,105.01836
20200430T0100,24.821732,109.48613
20200430T0200,21.915693,104.26451
20200430T0300,18.806337,95.49232
20200430T0400,13.084402,82.092834
20200430T0500,11.91812,64.98311
20200430T0600,11.384198,55.304832
20200430T0700,11.304229,52.76516
20200430T0800,11.165805,88.15238
20200430T0900,11.165805,91.8476
20200430T1000,13.627795,102.20047
20200430T1100,15.281989,105.01836
20200430T1200,14.689589,107.10272
20200430T1300,14.799459,108.434944
20200430T1400,14.345898,107.52557
20200430T1500,13.358861,104.03624
20200430T1600,10.594036,99.7824
20200430T1700,11.165805,91.8476
20200430T1800,11.879999,89.99999
20200430T1900,13.698934,93.01279
20200430T2000,20.478907,100.124664
20200430T2100,24.36325,108.9704
20200430T2200,26.576681,118.30075
20200430T2300,26.785547,126.25384
20200501T0000,24.993437,131.49648
20200501T0100,19.881649,137.93567
20200501T0200,14.618837,142.00127
20200501T0300,11.4862,147.80426
20200501T0400,10.365251,159.67686
20200501T0500,9.9571085,167.47119
20200501T0600,10.594036,170.21759
20200501T0700,10.853866,174.28941
20200501T0800,6.28713,193.24052
20200501T0900,5.0528407,184.08562
20200501T1000,7.5942073,174.55966
20200501T1100,9.779817,173.6598
20200501T1200,10.1376915,173.88449
20200501T1300,7.072878,165.25644
20200501T1400,6.638072,139.3987
20200501T1500,7.8954163,133.15239
20200501T1600,8.669949,131.63353
20200501T1700,9.290511,125.537674
20200501T1800,9.659814,116.56505
20200501T1900,11.165805,110.772255
20200501T2000,7.6367526,135.0
20200501T2100,2.2768397,108.434944
20200501T2200,5.154415,335.22485
20200501T2300,13.089354,328.49573
20200502T0000,18.532135,330.94543
20200502T0100,20.12461,333.43497
20200502T0200,17.193533,340.42688
20200502T0300,12.522619,341.56506
20200502T0400,8.225035,336.8014
20200502T0500,5.692099,325.30484
20200502T0600,4.39436,304.99203
20200502T0700,4.452954,284.03625
20200502T0800,6.379216,253.61046
20200502T0900,5.95906,244.98311
20200502T1000,4.5536795,251.56506
20200502T1100,1.8,270.0
20200502T1200,0.8049845,63.43495
20200502T1300,2.52,89.99999
20200502T1400,2.1897945,80.537674
20200502T1500,2.5455842,81.869896
20200502T1600,2.0991426,59.036232
20200502T1700,2.0364676,44.999985
20200502T1800,1.8,36.86989
20200502T1900,2.0364676,44.999985
20200502T2000,1.5273507,44.999985
20200502T2100,2.5959969,303.69006
20200502T2200,6.519877,276.34018
20200502T2300,6.8399997,270.0
20200503T0000,6.0347,252.64598
20200503T0100,5.1919937,236.30994
20200503T0200,3.396233,237.99463
20200503T0300,2.968636,255.96376
20200503T0400,3.671294,281.30994
20200503T0500,5.1919937,303.69006
20200503T0600,6.638072,319.3987
20200503T0700,8.287822,325.6197
20200503T0800,9.0,323.13013
20200503T0900,8.942214,319.8991
20200503T1000,11.384199,341.56506
20200503T1100,18.388212,336.94873
20200503T1200,18.057508,336.50146
20200503T1300,15.463246,335.22485
20200503T1400,12.074766,333.43497
20200503T1500,9.511088,330.5241
20200503T1600,7.24486,333.43497
20200503T1700,6.28713,336.37064
20200503T1800,5.2416787,344.0546
20200503T1900,5.04,360.0
20200503T2000,5.154415,24.775131
20200503T2100,7.24486,63.43495
20200503T2200,10.464798,86.05482
20200503T2300,12.371645,98.36588
