location,Santa María del Oro,Santa María del Oro
lat,26.33321,26.33321
lon,-105.00000,-105.00000
asl,1700.028,1700.028
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Santa María del Oro Wind Speed [80 m],Santa María del Oro Wind Direction [80 m]
20200505T0000,13.779114,160.14479
20200505T0100,12.7279215,171.8699
20200505T0200,10.823973,183.81407
20200505T0300,8.225035,203.1986
20200505T0400,7.127636,225.0
20200505T0500,7.24486,243.43495
20200505T0600,7.2805495,261.46924
20200505T0700,8.669949,228.36647
20200505T0800,9.0,233.1301
20200505T0900,8.891343,238.24052
20200505T1000,5.00128,239.74356
20200505T1100,3.096837,324.46234
20200505T1200,6.519877,6.340164
20200505T1300,6.12,28.07248
20200505T1400,6.6087217,60.64225
20200505T1500,8.427383,70.016884
20200505T1600,9.227524,69.443954
20200505T1700,10.495713,67.83366
20200505T1800,11.631956,68.19859
20200505T1900,13.5515,73.00917
20200505T2000,24.651457,28.810776
20200505T2100,36.55729,57.875
20200505T2200,42.3792,83.65981
20200505T2300,40.456375,101.809875
20200506T0000,33.497414,110.772255
20200506T0100,27.14123,111.80141
20200506T0200,20.724247,107.1759
20200506T0300,14.113653,95.85601
20200506T0400,10.661107,78.31063
20200506T0500,9.826088,61.557068
20200506T0600,9.290511,54.46232
20200506T0700,9.220499,51.34018
20200506T0800,10.315115,119.248825
20200506T0900,7.771331,103.392494
20200506T1000,7.69592,100.784294
20200506T1100,9.3876505,94.398705
20200506T1200,10.440001,89.99999
20200506T1300,12.599999,89.99999
20200506T1400,13.32,89.99999
20200506T1500,14.799459,85.81509
20200506T1600,15.683776,80.75388
20200506T1700,16.808569,80.134186
20200506T1800,17.414476,82.874985
20200506T1900,18.751125,86.69813
20200506T2000,21.542923,99.61972
20200506T2100,25.171696,106.62075
20200506T2200,29.144442,115.61548
20200506T2300,31.062386,122.216545
20200507T0000,30.385365,126.32683
20200507T0100,27.333935,130.19205
20200507T0200,20.929594,130.81508
20200507T0300,15.580141,130.31409
20200507T0400,11.304229,127.23483
20200507T0500,10.587918,125.31121
20200507T0600,9.726664,128.991
20200507T0700,8.654987,135.0
20200507T0800,8.089993,110.854454
20200507T0900,5.5887027,104.93142
20200507T1000,6.439876,116.56505
20200507T1100,8.669949,131.63353
20200507T1200,10.233123,140.71059
20200507T1300,9.693296,121.32869
20200507T1400,10.739833,103.570435
20200507T1500,12.783802,99.72758
20200507T1600,13.979871,101.88866
20200507T1700,14.587776,105.75117
20200507T1800,13.207634,107.44718
20200507T1900,12.522619,108.434944
20200507T2000,19.803272,117.03086
20200507T2100,20.608229,117.012665
20200507T2200,14.986553,114.10223
20200507T2300,3.4152596,71.56504
20200508T0000,12.783802,327.6526
20200508T0100,24.063513,321.07245
20200508T0200,30.886656,319.25385
20200508T0300,26.478971,316.1017
20200508T0400,18.079027,305.27243
20200508T0500,14.587776,285.7512
20200508T0600,13.722565,274.51398
20200508T0700,12.959999,270.0
20200508T0800,7.289445,237.09476
20200508T0900,6.696387,233.74615
20200508T1000,6.725354,254.47589
20200508T1100,7.2359104,275.7106
20200508T1200,5.495161,301.6075
20200508T1300,5.154415,335.22485
20200508T1400,6.379216,343.61047
20200508T1500,8.311245,342.34988
20200508T1600,9.255571,346.50427
20200508T1700,9.3876505,355.60132
20200508T1800,9.47012,8.74614
20200508T1900,9.693296,31.32869
20200508T2000,6.162207,83.29016
20200508T2100,14.81259,64.05769
20200508T2200,25.20257,68.19859
20200508T2300,33.11413,78.079254
20200509T0000,31.32207,90.65854
20200509T0100,25.671307,112.24902
20200509T0200,17.884428,130.1009
20200509T0300,10.00256,149.74356
20200509T0400,5.5887027,165.06857
20200509T0500,0.71999997,180.0
20200509T0600,2.16,360.0
20200509T0700,3.0758414,20.556046
20200509T0800,7.0911775,113.96249
20200509T0900,8.891344,111.37062
20200509T1000,10.00256,120.25643
20200509T1100,10.00256,120.25643
20200509T1200,9.983106,115.64101
20200509T1300,10.829959,105.42216
20200509T1400,11.252519,97.35238
20200509T1500,10.823973,93.81408
20200509T1600,9.0,89.99999
20200509T1700,9.0645685,83.15723
20200509T1800,9.9571085,77.47118
20200509T1900,12.144331,78.023865
20200509T2000,21.398056,77.36663
20200509T2100,26.319422,93.13636
20200509T2200,27.155552,104.58892
20200509T2300,26.674032,111.37062
20200510T0000,24.86868,112.10944
20200510T0100,23.263912,111.80141
20200510T0200,19.386593,111.80141
20200510T0300,13.779114,109.85521
20200510T0400,9.9571085,102.52881
20200510T0500,8.64,89.99999
20200510T0600,7.5685663,87.27369
20200510T0700,7.5685663,87.27369
20200510T0800,11.212135,132.39743
20200510T0900,8.534353,117.64597
20200510T1000,10.144082,117.474434
20200510T1100,15.0038395,120.25643
20200510T1200,16.485485,121.6075
20200510T1300,17.595861,120.76271
20200510T1400,16.279802,125.09581
20200510T1500,14.618837,127.99873
20200510T1600,12.768586,130.42607
20200510T1700,12.031756,128.92754
20200510T1800,12.031756,128.92754
20200510T1900,14.007655,115.90651
20200510T2000,30.05515,108.869
20200510T2100,29.379177,107.10272
20200510T2200,29.144438,107.98733
20200510T2300,28.576382,109.11972
20200511T0000,27.897097,109.60409
20200511T0100,26.525429,108.18904
20200511T0200,22.007162,105.17291
20200511T0300,18.64369,100.00798
20200511T0400,15.905319,95.19443
20200511T0500,14.830076,95.5722
20200511T0600,14.081478,94.398705
20200511T0700,11.720751,100.61965
20200511T0800,12.261157,130.23636
20200511T0900,8.714677,128.29016
20200511T1000,8.669949,131.63353
20200511T1100,11.966954,136.21887
20200511T1200,11.384198,145.30484
20200511T1300,11.113451,155.09523
20200511T1400,11.013882,168.69006
20200511T1500,11.5199995,180.0
20200511T1600,12.522619,198.43495
20200511T1700,13.281023,212.82855
20200511T1800,15.273505,225.0
20200511T1900,16.135872,231.3402
20200511T2000,15.778516,235.22217
20200511T2100,17.673029,236.63364
20200511T2200,22.077717,245.94266
20200511T2300,27.908709,263.33334
20200512T0000,30.035742,283.8697
20200512T0100,26.66188,304.54837
20200512T0200,18.668005,320.4774
20200512T0300,9.339208,332.4472
20200512T0400,1.8,306.8699
20200512T0500,4.510787,208.61046
20200512T0600,7.729527,207.75854
20200512T0700,9.290511,215.53769
20200512T0800,9.957108,220.60129
20200512T0900,10.691453,225.0
20200512T1000,6.638072,220.6013
20200512T1100,5.495161,238.3925
20200512T1200,6.849467,266.9872
20200512T1300,5.5887027,255.06857
20200512T1400,5.1165614,230.7106
20200512T1500,5.495161,211.6075
20200512T1600,5.95906,205.01689
20200512T1700,5.3517847,199.65382
20200512T1800,4.896529,197.10272
20200512T1900,4.3349743,175.23636
20200512T2000,5.8603754,132.51044
20200512T2100,11.384199,108.434944
20200512T2200,14.118243,109.35899
20200512T2300,13.202726,115.86635
