location,Los Almárcigos,Los Almárcigos
lat,18.99989,18.99989
lon,-103.59375,-103.59375
asl,730.760,730.760
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Los Almárcigos Wind Speed [80 m],Los Almárcigos Wind Direction [80 m]
20200505T0000,11.570515,264.64417
20200505T0100,8.311245,274.96973
20200505T0200,5.2416787,285.9454
20200505T0300,2.5455842,315.0
20200505T0400,1.8,36.86989
20200505T0500,3.671294,78.69006
20200505T0600,5.3999996,89.99999
20200505T0700,3.0758414,159.44395
20200505T0800,3.5455887,113.96249
20200505T0900,4.452954,104.03624
20200505T1000,5.95906,115.01689
20200505T1100,6.193674,144.46231
20200505T1200,6.8399997,180.0
20200505T1300,9.565437,199.79887
20200505T1400,9.339208,207.55281
20200505T1500,10.883676,214.2157
20200505T1600,11.988594,228.65222
20200505T1700,15.141414,241.60698
20200505T1800,15.141414,241.60698
20200505T1900,17.238699,241.29405
20200505T2000,20.799152,246.54099
20200505T2100,18.671474,250.86636
20200505T2200,15.192682,256.29303
20200505T2300,12.074766,259.69516
20200506T0000,9.0645685,263.15723
20200506T0100,5.3999996,270.0
20200506T0200,0.35999998,270.0
20200506T0300,1.609969,63.43495
20200506T0400,3.4152596,71.56504
20200506T0500,3.319036,77.47118
20200506T0600,3.96,89.99999
20200506T0700,5.1544156,102.09476
20200506T0800,8.78872,34.99202
20200506T0900,8.0899935,57.72435
20200506T1000,9.107359,71.56504
20200506T1100,9.422101,83.41805
20200506T1200,7.9932976,97.76516
20200506T1300,6.638072,130.60129
20200506T1400,6.439876,153.43495
20200506T1500,6.830519,198.43495
20200506T1600,7.729527,242.24146
20200506T1700,11.165805,249.22775
20200506T1800,10.144082,242.52557
20200506T1900,11.609651,240.25513
20200506T2000,10.446206,268.0251
20200506T2100,10.799999,270.0
20200506T2200,9.007196,272.29062
20200506T2300,6.8399997,270.0
20200507T0000,5.2416787,254.0546
20200507T0100,4.8965297,233.97263
20200507T0200,3.8939953,236.30994
20200507T0300,2.5455842,261.8699
20200507T0400,1.2979984,303.69006
20200507T0500,0.8049845,26.565033
20200507T0600,1.4399999,89.99999
20200507T0700,4.1046314,105.25512
20200507T0800,9.673221,44.999985
20200507T0900,9.83268,66.250496
20200507T1000,9.9571085,77.47118
20200507T1100,8.647496,87.61405
20200507T1200,6.725354,105.5241
20200507T1300,5.6233797,140.19443
20200507T1400,6.130579,176.63354
20200507T1500,9.360001,202.61987
20200507T1600,9.673221,225.0
20200507T1700,11.435313,241.82141
20200507T1800,11.298495,247.52057
20200507T1900,11.770403,246.57132
20200507T2000,8.225035,246.8014
20200507T2100,9.339208,242.44719
20200507T2200,8.39657,239.03624
20200507T2300,6.6087217,240.64226
20200508T0000,4.8965297,233.97263
20200508T0100,5.0911684,225.0
20200508T0200,4.3349743,228.36647
20200508T0300,2.9024127,240.25513
20200508T0400,1.08,270.0
20200508T0500,0.71999997,360.0
20200508T0600,2.0991426,59.036232
20200508T0700,3.219938,63.43495
20200508T0800,7.5170207,16.69925
20200508T0900,6.297428,30.963745
20200508T1000,3.319036,49.398697
20200508T1100,1.8,126.869896
20200508T1200,4.0249224,190.30484
20200508T1300,7.9932966,215.83765
20200508T1400,15.484185,234.46233
20200508T1500,22.66857,237.31946
20200508T1600,27.86921,241.44861
20200508T1700,32.19938,243.43495
20200508T1800,24.149532,243.43495
20200508T1900,22.415602,240.14099
20200508T2000,14.578888,249.77515
20200508T2100,14.372974,247.9321
20200508T2200,12.10157,247.24902
20200508T2300,9.904906,250.90651
20200509T0000,8.209263,254.74487
20200509T0100,7.69592,259.2157
20200509T0200,5.8603754,259.38034
20200509T0300,4.0249224,259.69516
20200509T0400,2.968636,255.96376
