location,Los Almárcigos,Los Almárcigos
lat,18.99989,18.99989
lon,-103.59375,-103.59375
asl,730.760,730.760
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Los Almárcigos Wind Speed [80 m],Los Almárcigos Wind Direction [80 m]
20200427T0900,7.6367526,81.869896
20200427T1000,4.452954,104.03624
20200427T1100,3.2399998,180.0
20200427T1200,5.495161,211.6075
20200427T1300,9.1641035,225.0
20200427T1400,16.075521,235.95407
20200427T1500,22.782625,238.57043
20200427T1600,27.86921,241.44861
20200427T1700,30.945345,240.75117
20200427T1800,25.992397,239.17233
20200427T1900,26.368616,237.82878
20200427T2000,24.962307,236.7683
20200427T2100,24.57511,238.17256
20200427T2200,19.513195,240.12401
20200427T2300,14.654254,242.1759
