location,Los Almárcigos,Los Almárcigos
20200430T0500,5.0911684,98.1301
20200430T0600,6.8399997,89.99999
20200430T0700,9.0645685,83.15723
20200430T0800,15.192682,53.673157
20200430T0900,13.441071,69.62356
20200430T1000,12.074766,79.695145
20200430T1100,10.446206,88.02507
20200430T1200,8.473393,102.26477
20200430T1300,7.386582,136.97493
20200430T1400,8.557102,157.75098
20200430T1500,9.72,180.0
20200430T1600,11.620809,196.18921
20200430T1700,14.982228,215.21759
20200430T1800,16.323528,228.57634
20200430T1900,18.079027,234.72757
20200430T2000,19.930477,249.92847
20200430T2100,19.694992,251.89624
20200430T2200,15.893093,256.9081
20200430T2300,12.849528,258.69006
20200501T0000,9.114471,260.90973
20200501T0100,4.802999,257.00537
20200501T0200,1.835647,258.69006
20200501T0300,0.35999998,89.99999
20200501T0400,2.5455842,98.1301
20200501T0500,3.9763298,95.19443
20200501T0600,5.04,89.99999
20200501T0700,5.8048253,82.874985
20200501T0800,9.673221,44.999985
20200501T0900,9.021574,61.38954
20200501T1000,7.69592,79.2157
20200501T1100,7.2,89.99999
20200501T1200,5.634891,116.56505
20200501T1300,4.6800003,157.38013
20200501T1400,4.6938252,184.39871
20200501T1500,9.686609,221.98721
20200501T1600,18.709612,239.98164
20200501T1700,24.795612,244.17902
20200501T1800,19.966211,244.359
20200501T1900,19.33639,241.04901
20200501T2000,3.563818,135.0
20200501T2100,1.8,360.0
20200501T2200,2.8799999,360.0
20200501T2300,2.52,360.0
20200502T0000,2.2768397,18.434952
20200502T0100,3.096837,35.53766
20200502T0200,4.8965297,53.97262
20200502T0300,6.28713,66.37062
20200502T0400,6.830519,71.56504
20200502T0500,7.968939,71.56504
20200502T0600,8.905908,75.96376
20200502T0700,9.346143,74.35776
20200502T0800,7.289444,20.224854
20200502T0900,5.904439,37.568573
20200502T1000,3.219938,63.43495
20200502T1100,1.5273507,135.0
20200502T1200,3.671294,191.30994
20200502T1300,5.991594,212.73523
20200502T1400,12.031756,231.07246
20200502T1500,19.083395,234.21103
20200502T1600,24.774696,234.46233
20200502T1700,26.574244,234.3721
20200502T1800,23.4,233.1301
20200502T1900,22.682856,234.03949
20200502T2000,20.808498,232.7336
20200502T2100,20.674156,234.92624
20200502T2200,16.981165,237.99463
20200502T2300,13.363711,242.74467
20200503T0000,9.83268,246.2505
20200503T0100,7.0911775,246.0375
20200503T0200,4.510787,241.38954
20200503T0300,2.8116899,230.19443
20200503T0400,1.835647,191.30994
20200503T0500,1.8,143.1301
20200503T0600,3.4152596,108.434944
20200503T0700,5.0911684,98.1301
20200503T0800,6.8399997,89.99999
20200503T0900,6.8399997,89.99999
20200503T1000,5.6002855,135.0
20200503T1100,7.2805495,171.46924
20200503T1200,9.028754,184.57391
20200503T1300,10.24578,198.43495
20200503T1400,10.805998,209.98164
20200503T1500,14.565548,219.9869
20200503T1600,16.055355,227.72632
20200503T1700,19.174856,230.33215
20200503T1800,21.028437,231.95296
20200503T1900,22.828087,232.04578
20200503T2000,21.67786,234.46233
20200503T2100,22.288042,238.87753
20200503T2200,17.727943,246.0375
20200503T2300,13.896187,253.44293
