location,Los Almárcigos,Los Almárcigos
lat,18.99989,18.99989
lon,-103.59375,-103.59375
asl,730.760,730.760
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Los Almárcigos Wind Speed [80 m],Los Almárcigos Wind Direction [80 m]
20200426T0000,9.826088,278.42697
20200426T0100,6.763786,295.2011
20200426T0200,3.396233,327.99463
20200426T0300,3.7064266,29.05458
20200426T0400,5.692099,55.304832
20200426T0500,8.373386,64.53666
20200426T0600,9.693296,68.19859
20200426T0700,8.557102,75.37913
20200426T0800,10.308831,77.905235
20200426T0900,9.531505,79.11447
20200426T1000,7.9526596,95.19443
20200426T1100,6.6087217,119.35774
20200426T1200,5.4833565,156.8014
20200426T1300,7.6367526,188.1301
20200426T1400,9.504273,204.62357
20200426T1500,12.031756,218.92755
20200426T1600,14.021525,228.12213
20200426T1700,17.786331,234.05789
20200426T1800,20.87379,237.68039
20200426T1900,23.358423,241.46002
20200426T2000,23.540806,246.57132
20200426T2100,21.9718,251.86191
20200426T2200,18.161278,256.23923
20200426T2300,14.154915,262.69424
20200427T0000,10.086427,267.9546
20200427T0100,6.519877,276.34018
20200427T0200,3.319036,282.5288
20200427T0300,1.2979984,303.69006
20200427T0400,0.0,180.0
20200427T0500,1.8,89.99999
20200427T0600,3.6179552,84.289406
20200427T0700,5.506941,78.69006
20200427T0800,8.707237,29.744873
20200427T0900,8.161764,41.42366
20200427T1000,5.95906,64.98311
20200427T1100,3.319036,102.52881
20200427T1200,3.4152596,161.56505
20200427T1300,5.2416787,195.9454
20200427T1400,9.449572,220.36453
20200427T1500,16.92383,231.91122
20200427T1600,24.066206,235.35905
20200427T1700,26.260265,236.74564
20200427T1800,24.57511,238.17256
20200427T1900,24.881702,238.60974
20200427T2000,21.178896,238.20108
20200427T2100,20.291357,244.79887
20200427T2200,16.78156,247.28558
20200427T2300,14.24163,249.27444
20200428T0000,11.631956,248.1986
20200428T0100,9.565437,250.20113
20200428T0200,6.830519,251.56506
20200428T0300,3.7585104,253.30075
20200428T0400,1.609969,243.43495
20200428T0500,1.08,180.0
20200428T0600,1.8,126.869896
20200428T0700,3.319036,102.52881
20200428T0800,5.6920996,18.434952
20200428T0900,4.8433046,41.987198
20200428T1000,2.4149535,63.43495
20200428T1100,1.9386592,201.8014
20200428T1200,4.5820518,225.0
20200428T1300,7.5942082,238.57043
20200428T1400,15.141414,241.60698
20200428T1500,22.90743,239.80838
20200428T1600,29.827904,240.3409
20200428T1700,26.562046,237.17145
20200428T1800,24.863466,235.61966
20200428T1900,24.66197,236.30994
20200428T2000,20.799152,246.54099
20200428T2100,18.86139,246.37064
20200428T2200,15.315873,246.44774
20200428T2300,12.641076,250.0169
20200429T0000,8.825508,258.23172
20200429T0100,5.771239,266.42368
20200429T0200,3.2399998,270.0
20200429T0300,0.0,180.0
20200429T0400,2.16,89.99999
20200429T0500,4.6938252,94.398705
20200429T0600,6.130579,93.366455
20200429T0700,7.5599995,89.99999
20200429T0800,7.5942082,58.570435
20200429T0900,6.9527545,68.7495
20200429T1000,5.7599998,89.99999
20200429T1100,5.1165614,129.2894
20200429T1200,4.896529,162.89728
20200429T1300,6.28713,193.24052
20200429T1400,7.9932966,215.83765
20200429T1500,11.709688,225.0
20200429T1600,14.05845,230.19443
20200429T1700,18.289274,233.8068
20200429T1800,19.770523,236.88866
20200429T1900,21.178896,238.20108
20200429T2000,22.59699,239.34933
20200429T2100,21.273533,246.0375
20200429T2200,16.62249,252.34988
20200429T2300,13.202726,258.99646
20200430T0000,9.746631,265.7636
20200430T0100,6.12,270.0
20200430T0200,2.8799999,270.0
20200430T0300,0.35999998,180.0
20200430T0400,3.0758414,110.556046
