location,Zapotitlán,Zapotitlán
lat,20.05286,20.05286
lon,-97.59695,-97.59695
asl,668.950,668.950
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Zapotitlán Wind Speed [80 m],Zapotitlán Wind Direction [80 m]
20200503T0900,5.0911684,351.8699
20200503T1000,6.12,360.0
20200503T1100,3.319036,347.4712
20200503T1200,1.2979984,303.69006
20200503T1300,0.35999998,180.0
20200503T1400,2.6208394,105.9454
20200503T1500,5.0911684,98.1301
20200503T1600,6.763786,115.20112
20200503T1700,8.587338,123.023865
20200503T1800,10.00256,120.25643
20200503T1900,12.24,118.07248
20200503T2000,13.104198,127.1847
20200503T2100,9.449572,130.36453
20200503T2200,4.3498964,114.44395
20200503T2300,0.71999997,89.99999
