"","timestamp","Zapotitl√.n.Wind.Speed..80.m.","Zapotitl√.n.Wind.Direction..80.m."
"105",2020-04-18 08:00:00,7.5685663,244.65384
"106",2020-04-18 09:00:00,4.5536795,288.43497
"107",2020-04-18 10:00:00,7.2,360
"108",2020-04-18 11:00:00,8.049845,26.565033
"109",2020-04-18 12:00:00,7.289445,57.094757
"110",2020-04-18 13:00:00,6.489992,70.55996
"111",2020-04-18 14:00:00,5.2416787,105.9454
"112",2020-04-18 15:00:00,5.6233797,129.80557
"113",2020-04-18 16:00:00,7.8954163,136.84761
"114",2020-04-18 17:00:00,10.086427,124.82449
"115",2020-04-18 18:00:00,10.703569,132.27368
"116",2020-04-18 19:00:00,11.592894,126.15819
"117",2020-04-18 20:00:00,9,89.99999
"118",2020-04-18 21:00:00,8.557102,112.249016
"119",2020-04-18 22:00:00,7.7043357,127.40535
"120",2020-04-18 23:00:00,3.319036,102.52881
"121",2020-04-19 00:00:00,2.1897945,279.46234
"122",2020-04-19 01:00:00,6.2145634,280.008
"123",2020-04-19 02:00:00,5.506941,281.30994
"124",2020-04-19 03:00:00,7.5170207,286.69925
"125",2020-04-19 04:00:00,10.8955765,277.59464
"126",2020-04-19 05:00:00,9.114471,279.09027
"127",2020-04-19 06:00:00,7.42159,284.03625
"128",2020-04-19 07:00:00,6.638072,310.60132
"129",2020-04-19 08:00:00,4.3349743,4.7636414
"130",2020-04-19 09:00:00,7.0911775,23.962494
"131",2020-04-19 10:00:00,4.5536795,18.434952
"132",2020-04-19 11:00:00,3.6,36.86989
"133",2020-04-19 12:00:00,4.379589,80.537674
"134",2020-04-19 13:00:00,7.628263,70.70995
"135",2020-04-19 14:00:00,7.8625183,74.054596
"136",2020-04-19 15:00:00,6.87779,83.99099
"137",2020-04-19 16:00:00,2.9024127,119.74488
"138",2020-04-19 17:00:00,6.9153743,141.34018
"139",2020-04-19 18:00:00,9.931042,133.53119
"140",2020-04-19 19:00:00,7.145796,139.08562
"141",2020-04-19 20:00:00,6.792466,122.00538
"142",2020-04-19 21:00:00,3.8939953,123.69006
"143",2020-04-19 22:00:00,3.8939953,213.69006
"144",2020-04-19 23:00:00,5.4477882,262.40536
"145",2020-04-20 00:00:00,4.802999,282.99463
"146",2020-04-20 01:00:00,5.991594,302.73523
"147",2020-04-20 02:00:00,8.0899935,302.27563
"148",2020-04-20 03:00:00,13.237038,315
"149",2020-04-20 04:00:00,10.799999,306.8699
"150",2020-04-20 05:00:00,6.0347,287.35403
"151",2020-04-20 06:00:00,1.2979984,236.30994
"152",2020-04-20 07:00:00,0.8049845,116.56505
"153",2020-04-20 08:00:00,3.671294,11.309921
"154",2020-04-20 09:00:00,5.6233797,50.194427
"155",2020-04-20 10:00:00,6.696387,53.746155
"156",2020-04-20 11:00:00,5.6920996,71.56504
"157",2020-04-20 12:00:00,4.3498964,65.55604
"158",2020-04-20 13:00:00,2.9024127,82.874985
"159",2020-04-20 14:00:00,2.2768397,108.434944
"160",2020-04-20 15:00:00,2.9024127,119.74488
"161",2020-04-20 16:00:00,4.8965297,126.027374
"162",2020-04-20 17:00:00,10.137692,106.50436
"163",2020-04-20 18:00:00,17.698677,85.33313
"164",2020-04-20 19:00:00,16.93531,87.56335
"165",2020-04-20 20:00:00,8.557102,75.37913
"166",2020-04-20 21:00:00,5.937272,75.96376
"167",2020-04-20 22:00:00,7.42159,75.96376
"168",2020-04-20 23:00:00,5.4833565,66.8014
"169",2020-04-21 00:00:00,2.0991426,300.96378
"170",2020-04-21 01:00:00,6.130579,266.63354
"171",2020-04-21 02:00:00,5.154415,294.77515
"172",2020-04-21 03:00:00,4.8433046,311.98724
"173",2020-04-21 04:00:00,4.5536795,288.43497
"174",2020-04-21 05:00:00,4.2136917,289.98312
"175",2020-04-21 06:00:00,3.671294,281.30994
"176",2020-04-21 07:00:00,2.6208394,285.9454
"177",2020-04-21 08:00:00,0.8049845,333.43497
"178",2020-04-21 09:00:00,2.8116899,39.805573
"179",2020-04-21 10:00:00,2.5455842,44.999985
"180",2020-04-21 11:00:00,1.1384199,341.56506
"181",2020-04-21 12:00:00,4.452954,255.96376
"182",2020-04-21 13:00:00,9.021574,241.38954
"183",2020-04-21 14:00:00,5.8603754,259.38034
"184",2020-04-21 15:00:00,0.71999997,89.99999
"185",2020-04-21 16:00:00,7.342588,101.30993
"186",2020-04-21 17:00:00,10.661107,101.68936
"187",2020-04-21 18:00:00,10.948973,99.46232
"188",2020-04-21 19:00:00,11.304229,99.162346
"189",2020-04-21 20:00:00,11.609651,97.125015
"190",2020-04-21 21:00:00,7.6367526,98.1301
"191",2020-04-21 22:00:00,3.8939953,56.30993
"192",2020-04-21 23:00:00,2.9024127,352.875
"193",2020-04-20 00:00:00,3.2399998,270
"194",2020-04-20 01:00:00,4.1046314,307.875
"195",2020-04-20 02:00:00,7.42159,309.09387
"196",2020-04-20 03:00:00,9.793059,323.97263
"197",2020-04-20 04:00:00,8.209263,322.12503
"198",2020-04-20 05:00:00,6.638072,310.60132
"199",2020-04-20 06:00:00,3.4152596,288.43497
"201",2020-04-20 08:00:00,1.4399999,89.99999
"202",2020-04-20 09:00:00,2.5455842,81.869896
"203",2020-04-20 10:00:00,4.452954,14.03624
"204",2020-04-20 11:00:00,6.130579,3.3664398
"205",2020-04-20 12:00:00,4.6938252,355.60132
"206",2020-04-20 13:00:00,2.9024127,352.875
"207",2020-04-20 14:00:00,1.4399999,360
"208",2020-04-20 15:00:00,1.484318,104.03624
