location,Zapotitlán,Zapotitlán
lat,20.05286,20.05286
lon,-97.59695,-97.59695
asl,668.950,668.950
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Zapotitlán Wind Speed [80 m],Zapotitlán Wind Direction [80 m]
20200505T0000,4.68,270.0
20200505T0100,7.172949,287.52557
20200505T0200,8.557102,284.62088
20200505T0300,10.446206,271.9749
20200505T0400,9.746631,265.7636
20200505T0500,6.489992,266.8202
20200505T0600,4.73506,278.74615
20200505T0700,6.489992,273.17984
20200505T0800,6.489992,273.17984
20200505T0900,5.0911684,315.0
20200505T1000,5.7599998,360.0
20200505T1100,4.8965297,36.027374
20200505T1200,3.8268526,48.81407
20200505T1300,4.1046314,37.87497
20200505T1400,2.9024127,60.25511
20200505T1500,1.8,89.99999
20200505T1600,1.2979984,146.30994
20200505T1700,2.3051248,128.6598
20200505T1800,5.3517847,109.653824
20200505T1900,12.24,89.99999
20200505T2000,10.239453,79.87532
20200505T2100,2.4149535,63.43495
20200505T2200,1.835647,281.30994
20200505T2300,1.9386592,338.1986
20200506T0000,3.671294,348.69006
20200506T0100,5.2416787,285.9454
20200506T0200,7.92,270.0
20200506T0300,9.885262,280.4915
20200506T0400,8.64,270.0
20200506T0500,7.5685663,267.27368
20200506T0600,6.9899354,281.88867
20200506T0700,5.815978,291.8014
20200506T0800,5.6233797,230.19443
20200506T0900,3.8939953,303.69006
20200506T1000,3.6,360.0
20200506T1100,5.4477882,352.40536
20200506T1200,7.9526596,5.194412
20200506T1300,4.39436,34.99202
20200506T1400,2.2768397,71.56504
20200506T1500,1.2979984,56.30993
20200506T1600,1.484318,255.96376
20200506T1700,3.9763298,264.80557
20200506T1800,5.04,270.0
20200506T1900,7.342588,258.69006
20200506T2000,4.198285,239.03624
20200506T2100,8.435069,230.19443
20200506T2200,10.30883,245.22485
20200506T2300,11.177405,255.06857
20200507T0000,10.182337,261.8699
20200507T0100,9.72,270.0
20200507T0200,7.208994,267.1376
20200507T0300,6.489992,250.55997
20200507T0400,4.39436,235.00798
20200507T0500,3.396233,212.00539
20200507T0600,5.315336,208.30077
20200507T0700,4.2136917,199.98311
20200507T0800,2.3051248,231.3402
20200507T0900,0.0,180.0
20200507T1000,1.4399999,270.0
20200507T1100,1.8,306.8699
20200507T1200,3.2599385,6.340164
20200507T1300,6.9153743,51.34018
20200507T1400,10.365251,69.67686
20200507T1500,6.924738,81.02737
20200507T1600,1.5273507,135.0
20200507T1700,3.8773184,201.8014
20200507T1800,4.510787,208.61046
20200507T1900,4.3498964,204.44395
20200507T2000,5.771239,86.42367
20200507T2100,5.5887027,104.93142
20200507T2200,6.151683,110.556046
20200507T2300,6.489992,123.69006
20200508T0000,7.8954163,133.15239
20200508T0100,6.489992,123.69006
20200508T0200,4.8965297,53.97262
20200508T0300,7.7879906,303.69006
20200508T0400,11.5199995,270.0
20200508T0500,12.261158,273.36646
20200508T0600,11.879999,270.0
20200508T0700,11.901798,266.53177
20200508T0800,3.319036,310.60132
20200508T0900,5.4477882,7.594635
20200508T1000,5.6920996,18.434952
20200508T1100,4.39436,34.99202
20200508T1200,3.563818,44.999985
20200508T1300,4.39436,34.99202
20200508T1400,2.52,360.0
20200508T1500,1.0182338,225.0
20200508T1600,2.6208394,195.9454
20200508T1700,5.692099,145.30484
20200508T1800,5.0911684,171.8699
20200508T1900,7.2359104,174.28941
20200508T2000,3.2599385,83.65981
