location,Zapotitlán,Zapotitlán
20200508T2100,0.5091169,315.0
20200508T2200,7.6367526,225.0
20200508T2300,7.92,180.0
20200509T0000,3.319036,347.4712
20200509T0100,11.525623,308.65982
20200509T0200,8.759178,279.46234
20200509T0300,12.496719,281.63364
20200509T0400,16.394829,289.23068
20200509T0500,21.261345,331.69925
20200509T0600,14.76439,315.0
20200509T0700,13.004922,311.63354
20200509T0800,3.319036,347.4712
20200509T0900,1.8,53.130096
20200509T1000,1.4399999,360.0
20200509T1100,3.8268526,318.8141
20200509T1200,5.1919937,303.69006
20200509T1300,5.1919937,326.30994
20200509T1400,5.0911684,8.130096
20200509T1500,5.95906,25.016876
20200509T1600,5.506941,11.309921
20200509T1700,3.396233,32.005356
20200509T1800,3.8268526,41.18593
20200509T1900,3.8939953,33.690063
20200509T2000,10.739832,50.440323
20200509T2100,10.464797,40.81508
20200509T2200,9.449572,49.635452
20200509T2300,13.513193,41.7603
20200510T0000,11.681987,33.690063
20200510T0100,6.12,28.07248
20200510T0200,1.5273507,44.999985
20200510T0300,2.5959969,236.30994
20200510T0400,5.95906,244.98311
20200510T0500,9.0,253.7398
20200510T0600,8.759178,260.5377
20200510T0700,7.208994,267.1376
20200510T0800,1.609969,243.43495
20200510T0900,3.396233,302.00537
20200510T1000,6.519877,353.65985
20200510T1100,5.4119864,3.8140564
20200510T1200,3.6179552,5.7105865
20200510T1300,1.609969,296.56506
20200510T1400,3.671294,258.69006
20200510T1500,3.5455887,293.9625
20200510T1600,1.4399999,270.0
20200510T1700,2.1897945,99.46232
20200510T1800,6.489992,93.179825
20200510T1900,8.28,89.99999
20200510T2000,8.714677,38.290146
20200510T2100,7.145796,49.085617
20200510T2200,3.8939953,236.30994
20200510T2300,13.513193,228.2397
20200511T0000,18.892282,239.03624
20200511T0100,21.273533,246.0375
20200511T0200,15.941944,263.51694
20200511T0300,11.440978,282.72437
20200511T0400,8.654986,286.92752
20200511T0500,6.9899354,281.88867
20200511T0600,3.6,270.0
20200511T0700,4.198285,239.03624
20200511T0800,1.609969,296.56506
20200511T0900,4.5536795,341.56506
20200511T1000,5.04,360.0
20200511T1100,3.319036,40.601288
20200511T1200,2.5455842,98.1301
20200511T1300,2.0991426,120.96376
20200511T1400,1.9386592,111.80141
20200511T1500,5.5887027,104.93142
20200511T1600,10.464797,116.56505
20200511T1700,12.72283,115.11483
20200511T1800,13.0447235,117.97947
20200511T1900,13.684735,116.56505
20200511T2000,12.074766,116.56505
20200511T2100,9.339208,117.55281
20200511T2200,5.634891,116.56505
20200511T2300,3.8773184,158.1986
20200512T0000,6.193674,215.53769
20200512T0100,8.587338,236.97614
20200512T0200,7.42159,255.96376
20200512T0300,7.9932976,262.23483
20200512T0400,8.647496,267.61407
20200512T0500,9.028754,274.5739
20200512T0600,8.64,270.0
20200512T0700,8.759178,260.5377
20200512T0800,7.208994,272.8624
20200512T0900,6.8777895,312.8789
20200512T1000,7.5170207,343.30075
20200512T1100,6.12,360.0
20200512T1200,4.829907,26.565033
20200512T1300,4.510787,61.38954
20200512T1400,5.0911684,98.1301
20200512T1500,5.5887027,104.93142
20200512T1600,6.725354,105.5241
20200512T1700,9.6932955,105.06849
20200512T1800,10.390226,104.03624
20200512T1900,14.05845,87.06432
20200512T2000,14.561099,81.46923
20200512T2100,7.9932976,82.23483
20200512T2200,4.072935,44.999985
20200512T2300,4.452954,14.03624
