location,Zapotitlán,Zapotitlán
lat,20.05286,20.05286
lon,-97.59695,-97.59695
asl,668.950,668.950
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Zapotitlán Wind Speed [80 m],Zapotitlán Wind Direction [80 m]
20200420T0000,3.2399998,270.0
20200420T0100,4.1046314,307.875
20200420T0200,7.42159,309.09387
20200420T0300,9.793059,323.97263
20200420T0400,8.209263,322.12503
20200420T0500,6.638072,310.60132
20200420T0600,3.4152596,288.43497
20200420T0700,0.8049845,116.56505
20200420T0800,1.4399999,89.99999
20200420T0900,2.5455842,81.869896
20200420T1000,4.452954,14.03624
20200420T1100,6.130579,3.3664398
20200420T1200,4.6938252,355.60132
20200420T1300,2.9024127,352.875
20200420T1400,1.4399999,360.0
20200420T1500,1.484318,104.03624
20200420T1600,4.198285,120.96376
20200420T1700,8.905908,104.03624
20200420T1800,20.5484,86.98721
20200420T1900,16.919998,89.99999
20200420T2000,10.182337,81.869896
20200420T2100,4.379589,80.537674
20200420T2200,0.5091169,44.999985
20200420T2300,1.609969,333.43497
20200421T0000,1.8,323.13013
20200421T0100,1.4399999,360.0
20200421T0200,2.16,360.0
20200421T0300,3.219938,333.43497
20200421T0400,3.8939953,326.30994
20200421T0500,4.39436,325.008
20200421T0600,4.3498964,294.44397
20200421T0700,2.6208394,285.9454
20200421T0800,2.7416782,23.198593
20200421T0900,5.95906,64.98311
20200421T1000,10.495713,59.036232
20200421T1100,11.808878,52.431404
20200421T1200,8.0899935,57.72435
20200421T1300,5.8048253,97.125015
20200421T1400,7.145796,130.91438
20200421T1500,9.931042,136.4688
20200421T1600,10.799999,126.869896
20200421T1700,11.841756,109.53665
20200421T1800,11.367109,100.954056
20200421T1900,13.004921,94.76365
20200421T2000,13.797912,82.504135
20200421T2100,6.4799995,89.99999
20200421T2200,3.6179552,95.71059
20200421T2300,2.3051248,51.34018
20200422T0000,3.8939953,303.69006
20200422T0100,8.64,270.0
20200422T0200,9.422101,276.58194
20200422T0300,7.9932976,277.76517
20200422T0400,3.8773184,291.8014
20200422T0500,3.396233,302.00537
20200422T0600,4.0249224,280.30487
20200422T0700,5.8048253,277.125
20200422T0800,5.4119864,3.8140564
20200422T0900,5.495161,31.607498
20200422T1000,6.439876,26.565033
20200422T1100,5.991594,32.735214
20200422T1200,4.510787,61.38954
20200422T1300,6.130579,86.63353
20200422T1400,7.2359104,95.71059
20200422T1500,8.707238,97.125015
20200422T1600,8.473393,102.26477
20200422T1700,7.5170207,106.69924
20200422T1800,5.6233797,129.80557
20200422T1900,5.634891,153.43495
20200422T2000,4.8433046,48.01277
20200422T2100,3.8773184,338.1986
20200422T2200,0.35999998,180.0
20200422T2300,1.08,180.0
20200423T0000,5.3999996,180.0
20200423T0100,11.113451,204.90477
20200423T0200,20.65848,221.46771
20200423T0300,26.230639,223.33167
20200423T0400,32.11071,222.2737
20200423T0500,31.435646,219.88959
20200423T0600,29.515608,210.00491
20200423T0700,25.992397,210.82767
20200423T0800,16.595179,220.60129
20200423T0900,8.942214,220.1009
20200423T1000,5.3517847,289.6538
20200423T1100,4.802999,12.994629
20200423T1200,8.891343,58.24051
20200423T1300,11.183201,56.82148
20200423T1400,10.44,43.602814
20200423T1500,25.501621,71.05349
20200423T1600,30.413074,96.1155
20200423T1700,24.609364,84.122604
20200423T1800,12.979984,109.44003
20200423T1900,2.7416782,156.8014
20200423T2000,4.198285,120.96376
