location,San Ignacio,San Ignacio
lat,27.33321,27.33321
lon,-113.43750,-113.43750
asl,128.349,128.349
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,San Ignacio Wind Speed [80 m],San Ignacio Wind Direction [80 m]
20200420T0000,11.159999,270.0
20200420T0100,10.08,270.0
20200420T0200,9.726665,272.1211
20200420T0300,9.422101,276.58194
20200420T0400,9.47012,278.74615
20200420T0500,9.9571085,282.5288
20200420T0600,10.365251,290.32315
20200420T0700,10.495713,292.16635
20200420T0800,11.298495,292.47943
20200420T0900,10.365251,290.32315
20200420T1000,12.864649,287.92792
20200420T1100,12.144331,281.97614
20200420T1200,13.084402,277.90717
20200420T1300,12.682018,276.5198
20200420T1400,15.328561,279.46234
20200420T1500,17.298738,282.01147
20200420T1600,18.947083,284.3003
20200420T1700,14.205182,278.74615
20200420T1800,13.397612,276.1702
20200420T1900,12.261158,273.36646
20200420T2000,12.964998,271.59113
20200420T2100,13.679999,270.0
20200420T2200,14.05845,272.93567
20200420T2300,12.599999,270.0
20200421T0000,11.901798,273.46823
20200421T0100,10.853866,275.7106
20200421T0200,11.304229,279.16235
20200421T0300,10.594036,279.7824
20200421T0400,11.367109,280.95407
20200421T0500,11.440978,282.72437
20200421T0600,12.10157,292.75098
20200421T0700,12.413477,299.5388
20200421T0800,10.028439,291.0375
20200421T0900,9.346143,285.64224
20200421T1000,10.239453,280.1247
20200421T1100,10.948973,279.46234
20200421T1200,13.138765,279.46234
20200421T1300,13.138765,279.46234
20200421T1400,16.520823,281.30994
20200421T1500,18.161278,283.7608
20200421T1600,20.620806,286.22018
20200421T1700,21.175835,287.8189
20200421T1800,17.026896,283.4486
20200421T1900,17.193533,289.57312
20200421T2000,15.683776,279.24612
20200421T2100,12.964998,268.40887
20200421T2200,12.605142,268.36343
20200421T2300,11.183201,266.30862
20200422T0000,10.086427,267.9546
20200422T0100,9.422101,276.58194
20200422T0200,8.557102,284.62088
20200422T0300,7.8954163,294.22775
20200422T0400,7.9036193,300.0686
20200422T0500,7.491114,305.2176
20200422T0600,7.7043357,307.40536
20200422T0700,11.792404,301.26373
20200422T0800,8.217153,298.8108
20200422T0900,5.3999996,306.8699
20200422T1000,5.3999996,323.13013
20200422T1100,6.638072,347.4712
20200422T1200,6.638072,12.528809
20200422T1300,6.28713,23.629364
20200422T1400,9.028754,23.49855
20200422T1500,9.504273,24.623566
20200422T1600,10.028439,21.037506
20200422T1700,9.0,16.260193
20200422T1800,8.707238,7.125
20200422T1900,13.089354,328.49573
20200422T2000,10.44,316.3972
20200422T2100,7.729527,297.75854
20200422T2200,7.8954163,294.22775
20200422T2300,7.5170207,286.69925
20200423T0000,6.9527545,291.2505
20200423T0100,5.815978,291.8014
20200423T0200,5.315336,298.30078
20200423T0300,5.0911684,315.0
20200423T0400,5.1919937,326.30994
20200423T0500,5.00128,329.7436
20200423T0600,4.829907,333.43497
20200423T0700,8.089993,339.14557
20200423T0800,6.4096174,321.84277
20200423T0900,3.8268526,311.1859
20200423T1000,4.198285,300.96378
20200423T1100,5.1919937,326.30994
20200423T1200,6.849467,356.98724
20200423T1300,6.9899354,11.888657
20200423T1400,5.4119864,3.8140564
20200423T1500,4.3498964,335.55603
20200423T1600,6.4096174,308.15723
20200423T1700,9.504273,294.62357
20200423T1800,13.896187,286.55707
20200423T1900,22.884789,289.29004
20200423T2000,21.194187,290.89777
20200423T2100,16.516901,286.46002
20200423T2200,15.463244,282.09476
20200423T2300,13.441071,277.69604
20200424T0000,11.901798,273.46823
20200424T0100,10.08,270.0
20200424T0200,8.64,270.0
20200424T0300,7.208994,267.1376
20200424T0400,5.4119864,266.1859
20200424T0500,4.3349743,265.23636
20200424T0600,3.671294,258.69006
20200424T0700,4.5536795,288.43497
20200424T0800,5.4477882,262.40536
20200424T0900,5.4833565,246.8014
20200424T1000,6.439876,243.43495
20200424T1100,7.0911775,246.0375
20200424T1200,8.891344,248.62938
20200424T1300,12.10157,247.24902
20200424T1400,15.315873,246.44774
20200424T1500,18.388212,246.9487
20200424T1600,22.127556,248.02548
20200424T1700,24.606731,249.44395
20200424T1800,28.460497,251.56506
20200424T1900,24.717085,257.38068
20200424T2000,25.86494,261.1932
20200424T2100,17.727943,257.0926
20200424T2200,13.661038,251.56506
20200424T2300,10.829958,248.55226
20200425T0000,10.365251,249.67686
20200425T0100,8.891344,248.62938
20200425T0200,8.311245,252.34988
20200425T0300,6.9899354,258.11133
20200425T0400,6.519877,263.65982
20200425T0500,5.04,270.0
20200425T0600,4.68,270.0
20200425T0700,5.991594,302.73523
20200425T0800,5.1165614,309.2894
20200425T0900,2.9024127,299.74487
20200425T1000,4.198285,300.96378
20200425T1100,5.1919937,303.69006
20200425T1200,4.8965297,306.02737
20200425T1300,3.6,306.8699
20200425T1400,3.4152596,288.43497
20200425T1500,4.68,270.0
20200425T1600,7.928178,267.39746
20200425T1700,11.183201,266.30862
20200425T1800,14.759999,270.0
20200425T1900,19.296133,278.58362
20200425T2000,17.373497,275.94687
20200425T2100,16.56,270.0
20200425T2200,15.124284,271.36392
20200425T2300,12.620554,273.2705
20200426T0000,11.570515,275.35583
20200426T0100,10.538843,277.85333
20200426T0200,9.826088,278.42697
20200426T0300,8.707238,277.125
20200426T0400,7.9932976,277.76517
20200426T0500,6.519877,276.34018
20200426T0600,5.4119864,273.8141
20200426T0700,9.904906,289.0935
20200426T0800,8.905908,284.03625
20200426T0900,6.5693827,279.46234
20200426T1000,6.849467,273.0128
20200426T1100,7.928178,267.39746
20200426T1200,10.08,270.0
20200426T1300,12.959999,270.0
20200426T1400,18.36353,268.8767
20200426T1500,21.647945,266.1859
20200426T1600,24.57511,264.95755
20200426T1700,26.400545,264.52264
20200426T1800,29.934166,266.5526
20200426T1900,13.797913,285.12402
20200426T2000,12.620554,273.2705
20200426T2100,12.599999,270.0
20200426T2200,12.599999,270.0
20200426T2300,11.542478,266.42368
20200427T0000,10.853866,264.28943
20200427T0100,9.0645685,263.15723
20200427T0200,8.12197,257.19574
20200427T0300,7.342588,258.69006
20200427T0400,7.9526596,264.80557
20200427T0500,7.5599995,270.0
20200427T0600,7.2359104,275.7106
20200427T0700,5.937272,284.03625
20200427T0800,4.802999,282.99463
20200427T0900,4.0249224,280.30487
20200427T1000,5.7599998,270.0
20200427T1100,7.92,270.0
20200427T1200,10.086427,272.0454
20200427T1300,11.901798,273.46823
20200427T1400,15.876775,273.9005
20200427T1500,19.09358,272.16107
20200427T1600,23.0653,272.68378
20200427T1700,26.727423,274.63547
20200427T1800,30.903435,278.0357
20200427T1900,31.355152,282.60016
20200427T2000,24.535524,284.44403
20200427T2100,15.328561,279.46234
20200427T2200,11.879999,270.0
20200427T2300,9.605998,257.00537
