location,San Ignacio,San Ignacio
lat,27.33321,27.33321
lon,-113.43750,-113.43750
asl,128.349,128.349
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,San Ignacio Wind Speed [80 m],San Ignacio Wind Direction [80 m]
20200504T0000,9.0,270.0
20200504T0100,8.287822,272.48956
20200504T0200,8.4042845,279.8658
20200504T0300,8.049845,280.30487
20200504T0400,8.4042845,279.8658
20200504T0500,8.12197,282.80426
20200504T0600,8.766573,289.17902
20200504T0700,8.225035,293.1986
20200504T0800,7.8954163,294.22775
20200504T0900,7.0911775,293.9625
20200504T1000,7.289444,290.22485
20200504T1100,6.725354,285.5241
20200504T1200,7.072878,284.74356
20200504T1300,6.725354,285.5241
20200504T1400,7.342588,281.30994
20200504T1500,9.605998,282.99463
20200504T1600,13.009903,284.42078
20200504T1700,15.978486,284.34933
20200504T1800,20.724247,287.1759
20200504T1900,18.1041,287.35403
20200504T2000,15.192682,283.70697
20200504T2100,12.849528,281.30994
20200504T2200,10.182337,278.1301
20200504T2300,7.928178,272.60257
20200505T0000,6.8399997,270.0
20200505T0100,5.771239,273.57632
20200505T0200,5.0911684,278.1301
20200505T0300,4.3349743,274.76364
20200505T0400,4.0249224,280.30487
20200505T0500,3.671294,281.30994
20200505T0600,3.8939953,303.69006
20200505T0700,4.1046314,307.875
20200505T0800,3.096837,305.5377
20200505T0900,1.4399999,270.0
20200505T1000,1.609969,243.43495
20200505T1100,2.5959969,236.30994
20200505T1200,2.2768397,251.56506
20200505T1300,2.8799999,270.0
20200505T1400,3.2599385,276.34018
20200505T1500,3.7585104,286.69925
20200505T1600,5.315336,298.30078
20200505T1700,7.5942082,301.42957
20200505T1800,10.990322,301.6075
20200505T1900,14.986553,294.10223
20200505T2000,14.003029,287.96915
20200505T2100,14.05845,283.32452
20200505T2200,12.429127,280.008
20200505T2300,10.538843,277.85333
20200506T0000,8.4042845,279.8658
20200506T0100,6.28713,283.2405
20200506T0200,3.671294,281.30994
20200506T0300,2.16,270.0
20200506T0400,1.8,270.0
20200506T0500,1.08,270.0
20200506T0600,1.1384199,288.43497
20200506T0700,5.315336,298.30078
20200506T0800,5.0911684,278.1301
20200506T0900,3.96,270.0
20200506T1000,4.6938252,265.6013
20200506T1100,4.896529,252.89728
20200506T1200,5.634891,243.43495
20200506T1300,7.386582,223.02507
20200506T1400,10.44,226.39719
20200506T1500,12.88981,234.09029
20200506T1600,15.2947035,243.43495
20200506T1700,18.448023,252.97949
20200506T1800,23.219301,262.875
20200506T1900,24.490587,271.6847
20200506T2000,20.172853,267.9546
20200506T2100,14.830076,264.4278
20200506T2200,12.324414,263.29016
20200506T2300,9.885262,259.50854
20200507T0000,8.766573,250.82098
20200507T0100,7.10031,239.53445
20200507T0200,7.145796,229.08562
20200507T0300,6.1305785,220.23636
20200507T0400,5.991594,212.73523
20200507T0500,5.154415,204.77515
20200507T0600,5.154415,204.77515
20200507T0700,8.64,270.0
20200507T0800,7.2805495,261.46924
20200507T0900,4.510787,241.38954
20200507T1000,5.6233797,230.19443
20200507T1100,7.145796,229.08562
20200507T1200,9.290511,234.46233
20200507T1300,11.923557,241.11342
20200507T1400,15.941944,244.59229
20200507T1500,19.255793,249.1932
20200507T1600,22.657131,252.42874
20200507T1700,26.282465,256.5348
20200507T1800,31.259945,262.05652
20200507T1900,20.880001,270.0
20200507T2000,17.414476,262.875
20200507T2100,11.841756,250.46335
20200507T2200,10.948973,242.59244
20200507T2300,11.119281,240.9454
20200508T0000,11.4862,237.80426
20200508T0100,11.304229,232.76517
20200508T0200,11.753876,229.96974
20200508T0300,11.457958,226.27303
20200508T0400,11.709688,225.0
20200508T0500,10.44,226.39719
20200508T0600,9.931042,226.46881
20200508T0700,5.3517847,250.34618
20200508T0800,5.6920996,251.56506
20200508T0900,5.2416787,254.0546
20200508T1000,6.28713,256.7595
20200508T1100,6.725354,254.47589
20200508T1200,8.4042845,260.1342
20200508T1300,10.853866,264.28943
20200508T1400,14.512064,262.875
20200508T1500,17.462784,261.70285
20200508T1600,22.19773,261.6071
20200508T1700,26.168804,262.09283
20200508T1800,31.526215,263.44305
20200508T1900,21.24305,269.029
20200508T2000,19.852295,265.84036
20200508T2100,12.57426,256.7595
20200508T2200,10.829959,254.57785
20200508T2300,9.793058,252.89728
20200509T0000,9.793058,252.89728
20200509T0100,8.766573,250.82098
20200509T0200,8.427383,250.0169
20200509T0300,7.289444,249.77515
20200509T0400,7.172949,252.47443
20200509T0500,6.725354,254.47589
20200509T0600,6.830519,251.56506
20200509T0700,9.565437,289.7989
20200509T0800,8.287822,267.51044
20200509T0900,8.350138,262.5686
20200509T1000,8.647496,267.61407
20200509T1100,8.64,270.0
20200509T1200,9.746631,274.2364
20200509T1300,11.013882,281.30994
20200509T1400,12.144331,281.97614
20200509T1500,13.138765,279.46234
20200509T1600,14.869351,276.95297
20200509T1700,17.771753,276.98108
20200509T1800,22.19773,278.39294
20200509T1900,26.081993,290.1858
20200509T2000,19.13426,281.94418
20200509T2100,15.856356,272.60257
20200509T2200,14.417988,267.1376
20200509T2300,13.084402,262.09283
20200510T0000,12.074766,259.69516
20200510T0100,11.013882,258.69006
20200510T0200,9.885262,259.50854
20200510T0300,8.759178,260.5377
20200510T0400,7.5942073,264.5597
20200510T0500,7.2,270.0
20200510T0600,7.208994,272.8624
20200510T0700,9.904906,289.0935
20200510T0800,6.924738,278.97263
20200510T0900,6.924738,278.97263
20200510T1000,7.92,270.0
20200510T1100,9.007196,267.7094
20200510T1200,10.440001,270.0
20200510T1300,13.397612,276.1702
20200510T1400,16.343367,277.59464
20200510T1500,19.245697,277.5238
20200510T1600,23.576563,277.0165
20200510T1700,27.698952,278.97263
20200510T1800,31.205997,281.30994
20200510T1900,15.39184,280.7843
20200510T2000,12.599999,270.0
20200510T2100,12.074766,259.69516
20200510T2200,12.303366,249.44395
20200510T2300,11.440979,245.85446
20200511T0000,11.770403,246.57132
20200511T0100,11.27553,253.30075
20200511T0200,11.367109,259.04596
20200511T0300,10.805999,268.09085
20200511T0400,10.464798,273.9452
20200511T0500,9.422101,276.58194
20200511T0600,9.114471,279.09027
20200511T0700,8.766573,289.17902
20200511T0800,9.178235,281.30994
20200511T0900,8.707238,277.125
20200511T1000,10.086427,272.0454
20200511T1100,10.440001,270.0
20200511T1200,13.324863,268.45184
20200511T1300,14.764389,268.60284
20200511T1400,18.391735,266.63354
20200511T1500,22.366402,266.30862
20200511T1600,26.302181,267.6467
20200511T1700,29.88,270.0
20200511T1800,33.497414,271.84763
20200511T1900,31.06239,274.65335
20200511T2000,18.775301,274.3987
20200511T2100,13.324863,268.45184
20200511T2200,11.928989,264.80557
20200511T2300,10.495713,264.09387
