location,Ojuelos de Jalisco,Ojuelos de Jalisco
lat,21.99989,21.99989
lon,-101.71875,-101.71875
asl,2208.013,2208.013
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Ojuelos de Jalisco Wind Speed [80 m],Ojuelos de Jalisco Wind Direction [80 m]
20200426T0000,23.532547,119.310005
20200426T0100,9.007196,92.2906
20200426T0200,8.714677,51.70984
20200426T0300,8.287822,55.61966
20200426T0400,7.9036193,59.93141
20200426T0500,7.729527,62.241455
20200426T0600,7.4128532,60.945396
20200426T0700,7.968939,71.56504
20200426T0800,6.9899354,78.11134
20200426T0900,10.239453,79.87532
20200426T1000,13.493999,80.78897
20200426T1100,14.77755,87.20729
20200426T1200,16.595179,93.73139
20200426T1300,15.905319,95.19443
20200426T1400,14.4,89.99999
20200426T1500,16.039202,80.96051
20200426T1600,18.079027,77.34744
20200426T1700,22.314192,79.77783
20200426T1800,24.967499,84.2072
20200426T1900,29.914679,87.24089
20200426T2000,31.093666,84.68545
20200426T2100,30.703587,85.292145
20200426T2200,21.96,79.61114
20200426T2300,18.25026,67.98871
20200427T0000,18.345877,74.054596
20200427T0100,15.629972,82.056526
20200427T0200,11.159999,89.99999
20200427T0300,8.64,89.99999
20200427T0400,7.92,89.99999
20200427T0500,6.849467,86.98721
20200427T0600,5.7599998,89.99999
20200427T0700,5.0528407,94.08562
20200427T0800,5.7599998,89.99999
20200427T0900,5.1544156,77.905235
20200427T1000,3.2399998,89.99999
20200427T1100,0.8049845,153.43495
20200427T1200,0.35999998,180.0
20200427T1300,1.835647,11.309921
20200427T1400,3.2399998,360.0
20200427T1500,3.4152596,18.434952
20200427T1600,2.9024127,29.744873
20200427T1700,4.8433046,48.01277
20200427T1800,9.449572,72.255325
20200427T1900,20.570463,85.98582
20200427T2000,15.517629,93.990906
20200427T2100,17.208603,105.78075
20200427T2200,18.089775,121.159294
20200427T2300,19.64228,131.28471
20200428T0000,16.548256,135.88141
20200428T0100,12.7279215,135.0
20200428T0200,10.948973,136.33221
20200428T0300,10.296251,143.53076
20200428T0400,9.605998,167.00539
20200428T0500,10.308831,192.09476
20200428T0600,11.609651,209.74489
