location,Ojuelos de Jalisco,Ojuelos de Jalisco
20200428T0700,12.819235,218.15723
20200428T0800,8.557102,247.75098
20200428T0900,5.815978,248.1986
20200428T1000,9.605998,257.00537
20200428T1100,14.440443,274.28915
20200428T1200,16.179985,290.85446
20200428T1300,14.986553,294.10223
20200428T1400,13.049689,294.44397
20200428T1500,12.641076,289.98312
20200428T1600,13.207634,287.4472
20200428T1700,14.587776,285.7512
20200428T1800,14.934577,285.37625
20200428T1900,15.725037,285.9454
20200428T2000,16.766108,284.93143
20200428T2100,18.25026,284.8586
20200428T2200,20.275385,286.50436
20200428T2300,21.933426,293.1986
20200429T0000,18.775303,302.4712
20200429T0100,12.7279215,315.0
20200429T0200,8.534353,332.35403
20200429T0300,6.12,360.0
20200429T0400,3.7064266,29.05458
20200429T0500,1.8,89.99999
20200429T0600,1.9386592,158.1986
20200429T0700,4.68,180.0
20200429T0800,3.0758414,110.556046
20200429T0900,1.8,143.1301
20200429T1000,1.2979984,213.69006
20200429T1100,3.396233,302.00537
20200429T1200,6.519877,353.65985
20200429T1300,12.397806,25.820984
20200429T1400,12.599998,36.86989
20200429T1500,14.021525,41.877853
20200429T1600,15.03835,47.910828
20200429T1700,17.786331,54.05787
20200429T1800,20.497883,59.381393
20200429T1900,25.6233,65.95577
20200429T2000,21.566975,75.499825
20200429T2100,20.418695,80.86982
20200429T2200,23.770906,88.26429
20200429T2300,32.112724,93.8568
20200430T0000,36.65995,97.33437
20200430T0100,39.4163,99.46232
20200430T0200,40.94832,96.5627
20200430T0300,41.0968,93.01279
20200430T0400,35.64727,91.157326
20200430T0500,23.762726,89.13194
20200430T0600,17.377226,76.827446
20200430T0700,16.981165,68.875275
20200430T0800,7.42159,104.03624
20200430T0900,10.08,89.99999
20200430T1000,12.371645,81.63411
20200430T1100,15.546833,84.68545
20200430T1200,18.057508,85.42608
20200430T1300,19.852295,85.84035
20200430T1400,20.598795,84.986885
20200430T1500,21.188072,80.21759
20200430T1600,20.523157,74.74488
20200430T1700,22.127556,68.02549
20200430T1800,25.0064,67.12633
20200430T1900,27.66384,71.800835
20200430T2000,24.482647,89.15747
20200430T2100,21.24,89.99999
20200430T2200,18.161278,103.76078
20200430T2300,13.1041975,105.9454
20200501T0000,9.114471,99.09027
20200501T0100,7.92,89.99999
20200501T0200,7.42159,75.96376
20200501T0300,7.24486,63.43495
20200501T0400,5.3517847,47.726303
20200501T0500,4.3349743,41.63353
20200501T0600,4.072935,44.999985
20200501T0700,3.096837,35.53766
20200501T0800,1.8,53.130096
20200501T0900,1.08,89.99999
20200501T1000,2.0991426,30.963745
20200501T1100,4.896529,17.102722
20200501T1200,8.225035,23.198593
20200501T1300,11.592894,36.158173
20200501T1400,12.738099,42.70938
20200501T1500,13.830749,51.34018
20200501T1600,13.479583,55.885513
20200501T1700,14.512064,60.25511
20200501T1800,15.646544,66.9745
20200501T1900,18.692286,74.35776
20200501T2000,19.9954,76.46414
20200501T2100,23.803596,93.46823
20200501T2200,25.323128,104.82648
20200501T2300,17.193533,109.57312
20200502T0000,11.013882,101.30993
20200502T0100,9.3669195,87.7974
20200502T0200,9.0,73.73979
20200502T0300,6.9247384,62.102737
20200502T0400,5.315336,61.699234
20200502T0500,3.671294,78.69006
20200502T0600,1.835647,101.30993
20200502T0700,1.08,180.0
20200502T0800,5.04,180.0
20200502T0900,3.6,180.0
20200502T1000,5.1165614,219.28941
20200502T1100,5.4833565,246.8014
20200502T1200,4.6102495,308.65982
20200502T1300,7.5942073,5.440323
20200502T1400,10.028439,21.037506
20200502T1500,11.885453,35.134186
20200502T1600,12.218805,44.999985
20200502T1700,12.599998,53.130096
20200502T1800,12.904882,59.858604
20200502T1900,15.596767,71.14684
20200502T2000,20.674158,82.998726
20200502T2100,27.086262,94.57392
20200502T2200,27.820337,100.43748
20200502T2300,17.026896,103.44861
20200503T0000,12.682018,96.5198
20200503T0100,12.24,89.99999
20200503T0200,12.015589,81.38435
20200503T0300,10.661107,78.31063
20200503T0400,8.049845,79.695145
20200503T0500,6.489992,86.82017
20200503T0600,4.3349743,94.76365
20200503T0700,2.5959969,123.69006
20200503T0800,2.9024127,187.12502
20200503T0900,2.8116899,219.80557
20200503T1000,4.6102495,231.3402
20200503T1100,5.2416787,254.0546
20200503T1200,4.39436,304.99203
20200503T1300,9.0645685,6.8427734
20200503T1400,11.726277,17.878693
20200503T1500,10.948973,27.407562
20200503T1600,10.495713,30.963745
20200503T1700,10.97262,41.009094
20200503T1800,10.703569,47.726303
20200503T1900,13.217443,60.64225
20200503T2000,16.965895,72.7185
20200503T2100,20.240196,84.897835
20200503T2200,23.042812,90.89517
20200503T2300,18.089775,95.71059
