location,Ojuelos de Jalisco,Ojuelos de Jalisco
lat,21.99989,21.99989
lon,-101.71875,-101.71875
asl,2208.013,2208.013
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Ojuelos de Jalisco Wind Speed [80 m],Ojuelos de Jalisco Wind Direction [80 m]
20200505T0000,4.452954,75.96376
20200505T0100,2.9024127,60.25511
20200505T0200,2.6208394,15.945404
20200505T0300,4.32,360.0
20200505T0400,5.771239,356.42368
20200505T0500,6.519877,353.65985
20200505T0600,6.849467,356.98724
20200505T0700,3.8939953,123.69006
20200505T0800,7.072878,165.25644
20200505T0900,6.130579,176.63354
20200505T1000,2.8116899,230.19443
20200505T1100,3.6,306.8699
20200505T1200,3.7064266,330.94543
20200505T1300,3.6179552,5.7105865
20200505T1400,5.692099,34.69516
20200505T1500,8.209263,37.87497
20200505T1600,11.212135,47.602554
20200505T1700,13.779114,70.14478
20200505T1800,16.919998,89.99999
20200505T1900,17.533146,109.17901
20200505T2000,27.595825,74.87599
20200505T2100,28.766228,98.63713
20200505T2200,29.275326,106.4293
20200505T2300,27.14123,111.80141
20200506T0000,24.20314,112.75097
20200506T0100,20.60823,109.384514
20200506T0200,18.64369,100.00798
20200506T0300,21.841648,81.46923
20200506T0400,14.830076,84.4278
20200506T0500,10.948973,80.537674
20200506T0600,11.503113,69.86369
20200506T0700,13.70839,60.06849
20200506T0800,2.9024127,82.874985
20200506T0900,6.4799995,89.99999
20200506T1000,13.138765,80.537674
20200506T1100,19.734436,75.20324
20200506T1200,24.033876,73.46516
20200506T1300,28.241077,72.950966
20200506T1400,30.068083,73.30075
20200506T1500,31.956972,75.650665
20200506T1600,31.559088,78.81824
20200506T1700,31.259945,82.056526
20200506T1800,31.421213,85.3999
20200506T1900,32.138947,85.502846
20200506T2000,30.619051,87.97864
20200506T2100,33.481937,89.38394
20200506T2200,33.847656,91.218864
20200506T2300,30.96837,91.332214
20200507T0000,23.42491,87.35745
20200507T0100,19.13426,78.055824
20200507T0200,17.992796,70.11483
20200507T0300,17.22742,63.970406
20200507T0400,15.2947035,63.43495
20200507T0500,13.049689,65.55604
20200507T0600,11.503113,69.86369
