location,Ojuelos de Jalisco,Ojuelos de Jalisco
lat,21.99989,21.99989
lon,-101.71875,-101.71875
asl,2208.013,2208.013
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Ojuelos de Jalisco Wind Speed [80 m],Ojuelos de Jalisco Wind Direction [80 m]
20200427T0900,4.6938257,122.47119
20200427T1000,3.8268526,138.81407
20200427T1100,3.319036,192.52881
20200427T1200,4.2136917,250.0169
20200427T1300,4.3498964,294.44397
20200427T1400,6.3690495,317.29062
20200427T1500,4.510787,331.38956
20200427T1600,4.73506,351.25385
20200427T1700,4.5536795,18.434952
20200427T1800,6.8777895,47.121094
20200427T1900,17.114204,75.37913
20200427T2000,29.539747,87.90474
20200427T2100,33.933697,94.25884
20200427T2200,24.503809,100.15427
20200427T2300,13.009903,104.42077
