location,Corral de Barrancas,Corral de Barrancas
lat,26.99988,26.99988
lon,-102.65625,-102.65625
asl,1315.492,1315.492
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Corral de Barrancas Wind Speed [80 m],Corral de Barrancas Wind Direction [80 m]
20200504T0000,12.6462,94.899086
20200504T0100,13.397612,96.17017
20200504T0200,13.084402,97.90716
20200504T0300,12.371645,98.36588
20200504T0400,11.720751,100.61965
20200504T0500,10.829959,105.42216
20200504T0600,10.028439,111.03751
20200504T0700,9.693296,148.67131
20200504T0800,9.028754,156.50143
20200504T0900,6.489992,160.55997
20200504T1000,5.815978,158.1986
20200504T1100,5.154415,155.22485
20200504T1200,4.1046314,164.74487
20200504T1300,3.2599385,173.6598
20200504T1400,1.8,180.0
20200504T1500,1.8,360.0
20200504T1600,6.12,61.927513
20200504T1700,10.182337,81.869896
20200504T1800,13.397612,96.17017
20200504T1900,15.111424,102.38075
20200504T2000,16.73516,108.82471
20200504T2100,18.204042,114.53772
20200504T2200,16.58346,117.12131
20200504T2300,16.58346,117.12131
20200505T0000,16.09969,116.56505
20200505T0100,15.141414,118.39302
20200505T0200,14.386494,121.70142
20200505T0300,13.479583,124.11447
20200505T0400,12.261157,130.23636
20200505T0500,10.691453,135.0
20200505T0600,9.449572,139.63547
20200505T0700,6.4096174,128.15723
20200505T0800,5.8603754,132.51044
20200505T0900,4.8433046,131.98721
20200505T1000,6.193674,125.537674
20200505T1100,6.792466,122.00538
20200505T1200,7.072878,104.74355
20200505T1300,9.0,89.99999
20200505T1400,12.324414,83.29016
20200505T1500,15.546833,84.68545
20200505T1600,24.798225,80.811165
20200505T1700,35.33506,81.20946
20200505T1800,33.790176,75.815704
20200505T1900,18.844202,83.41805
20200505T2000,16.56,89.99999
20200505T2100,19.602652,82.61395
20200505T2200,19.562946,77.24247
20200505T2300,17.935081,79.592285
20200506T0000,15.683776,80.75388
20200506T0100,14.332341,78.40782
20200506T0200,13.441071,69.62356
20200506T0300,12.57426,66.37062
20200506T0400,11.384199,71.56504
20200506T0500,10.028439,68.96249
20200506T0600,8.225035,66.8014
20200506T0700,8.089993,69.14554
20200506T0800,9.504272,52.696053
20200506T0900,10.365251,69.67686
20200506T1000,10.594036,80.21759
20200506T1100,12.964998,91.59113
20200506T1200,14.205182,98.74616
20200506T1300,16.595179,102.52881
20200506T1400,16.394829,98.84181
20200506T1500,16.563911,91.24536
20200506T1600,15.137133,87.27369
20200506T1700,16.23596,86.18592
20200506T1800,15.484185,88.66778
20200506T1900,16.93531,92.436646
20200506T2000,16.039202,80.96051
20200506T2100,17.114204,75.37913
20200506T2200,16.279802,71.965706
20200506T2300,16.516901,73.53998
20200507T0000,14.934577,74.62374
20200507T0100,15.03835,78.95905
20200507T0200,13.910169,79.56252
20200507T0300,13.084402,82.092834
20200507T0400,11.966953,83.08877
20200507T0500,10.823973,86.18592
20200507T0600,9.3876505,94.398705
20200507T0700,8.905908,104.03624
20200507T0800,9.255571,103.49573
20200507T0900,10.365251,110.323135
20200507T1000,9.360001,112.61986
20200507T1100,9.885262,123.11134
20200507T1200,9.686609,131.98721
20200507T1300,9.931042,136.4688
20200507T1400,9.673221,135.0
20200507T1500,11.592894,126.15819
20200507T1600,12.682018,124.592285
20200507T1700,14.77755,124.077194
20200507T1800,16.575644,124.38034
20200507T1900,18.58451,121.53479
20200507T2000,16.766108,104.93142
20200507T2100,16.676977,103.73626
20200507T2200,14.154915,97.305756
20200507T2300,12.371645,98.36588
20200508T0000,12.661564,104.82648
20200508T0100,12.24,118.07248
20200508T0200,13.004922,131.63353
20200508T0300,12.88981,144.09027
20200508T0400,9.793058,162.89728
20200508T0500,7.2805495,188.53076
20200508T0600,6.297428,210.96376
20200508T0700,6.8777895,222.8789
20200508T0800,8.64,270.0
20200508T0900,7.8954163,226.84761
20200508T1000,7.145796,220.91438
20200508T1100,5.991594,237.26477
20200508T1200,5.991594,302.73523
20200508T1300,11.525623,358.21008
20200508T1400,15.856354,39.472458
20200508T1500,26.064596,57.40741
20200508T1600,29.68636,67.166336
20200508T1700,22.89611,73.559616
20200508T1800,16.65754,83.79655
20200508T1900,15.941944,83.51692
20200508T2000,28.038431,74.35776
20200508T2100,26.795223,83.82981
20200508T2200,19.35314,80.362465
20200508T2300,18.345877,74.054596
20200509T0000,18.448023,72.97948
20200509T0100,18.899143,72.255325
20200509T0200,13.570615,68.19859
20200509T0300,11.113451,65.09524
20200509T0400,9.585739,55.71312
20200509T0500,9.693296,58.671295
20200509T0600,9.826088,61.557068
20200509T0700,10.636766,66.037506
20200509T0800,7.754637,68.19859
20200509T0900,8.825508,78.231705
20200509T1000,10.08,89.99999
20200509T1100,11.304229,99.162346
20200509T1200,11.013882,101.30993
20200509T1300,11.304229,99.162346
20200509T1400,10.805999,91.90914
20200509T1500,12.371645,98.36588
20200509T1600,12.6462,94.899086
20200509T1700,13.324863,88.45184
20200509T1800,12.605142,88.36342
20200509T1900,13.722565,94.513985
20200509T2000,13.009903,104.42077
20200509T2100,14.685176,101.30993
20200509T2200,14.471821,95.71059
20200509T2300,15.905319,95.19443
20200510T0000,15.876775,93.9005
20200510T0100,16.575644,92.48955
20200510T0200,15.484185,88.66778
20200510T0300,14.869351,83.047035
20200510T0400,13.556282,79.28687
20200510T0500,12.9249525,77.12499
20200510T0600,11.874544,75.96376
20200510T0700,11.720751,79.38034
20200510T0800,9.826088,81.57303
20200510T0900,9.726665,87.8789
20200510T1000,10.799999,89.99999
20200510T1100,13.698934,93.01279
20200510T1200,14.830076,95.5722
20200510T1300,15.496736,92.662994
20200510T1400,15.84,89.99999
20200510T1500,18.72,89.99999
20200510T1600,18.359999,89.99999
20200510T1700,19.083395,91.08092
20200510T1800,18.374111,92.245735
20200510T1900,19.44,89.99999
20200510T2000,17.462782,75.677284
20200510T2100,16.179985,69.14554
20200510T2200,15.379206,69.443954
20200510T2300,16.179985,69.14554
20200511T0000,14.986553,65.89776
20200511T0100,14.336861,61.50435
20200511T0200,12.594856,59.036255
20200511T0300,11.609651,60.25511
20200511T0400,10.630672,61.699234
20200511T0500,10.931203,72.75854
20200511T0600,10.948973,80.537674
20200511T0700,10.464798,86.05482
20200511T0800,10.365251,69.67686
20200511T0900,10.853866,84.289406
20200511T1000,12.245294,91.68468
20200511T1100,14.84318,104.03624
20200511T1200,15.937878,108.434944
20200511T1300,16.516901,110.409874
20200511T1400,15.941944,115.407715
20200511T1500,15.617529,115.97439
20200511T1600,16.1198,113.702644
20200511T1700,17.727943,113.96249
20200511T1800,19.33639,118.951
20200511T1900,20.730501,110.323135
20200511T2000,17.28,89.99999
20200511T2100,16.1198,66.29735
20200511T2200,13.513193,48.239685
20200511T2300,13.324863,38.418045
