location,Corral de Barrancas,Corral de Barrancas
lat,26.99988,26.99988
lon,-102.65625,-102.65625
asl,1315.492,1315.492
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Corral de Barrancas Wind Speed [80 m],Corral de Barrancas Wind Direction [80 m]
20200426T0000,15.844089,68.682076
20200426T0100,16.854767,70.016884
20200426T0200,16.645864,68.42869
20200426T0300,16.92383,66.161255
20200426T0400,14.8257065,60.945396
20200426T0500,14.081477,57.5288
20200426T0600,13.397612,59.300278
20200426T0700,12.768586,68.49856
20200426T0800,11.298495,67.52056
20200426T0900,10.703569,70.346176
20200426T1000,11.090103,76.86598
20200426T1100,12.620554,86.72951
20200426T1200,14.77755,92.7927
20200426T1300,16.981165,94.86451
20200426T1400,16.981165,94.86451
20200426T1500,16.595179,93.73139
20200426T1600,14.759999,89.99999
20200426T1700,15.119999,89.99999
20200426T1800,14.417988,87.137596
20200426T1900,15.546833,84.68545
20200426T2000,15.192682,76.29304
20200426T2100,13.570615,68.19859
20200426T2200,12.979984,70.55996
20200426T2300,13.979871,78.11134
20200427T0000,14.205182,81.25384
20200427T0100,13.722565,85.48601
20200427T0200,12.599999,89.99999
20200427T0300,12.015589,98.61565
20200427T0400,11.384199,108.434944
20200427T0500,10.787993,115.70995
20200427T0600,9.693296,121.32869
20200427T0700,9.726664,128.991
20200427T0800,4.3349743,184.76364
20200427T0900,4.32,180.0
20200427T1000,4.802999,192.99461
20200427T1100,5.1544156,192.09476
20200427T1200,5.0911684,188.1301
20200427T1300,5.3999996,180.0
20200427T1400,5.1544156,167.90524
20200427T1500,6.792466,147.99461
20200427T1600,8.435069,140.19443
20200427T1700,9.504272,142.69604
20200427T1800,7.7879906,123.69006
20200427T1900,10.538843,97.85332
20200427T2000,7.92,89.99999
20200427T2100,10.823973,93.81408
20200427T2200,12.6462,94.899086
20200427T2300,14.417988,92.862404
20200428T0000,15.124284,91.36392
20200428T0100,15.84409,91.30195
20200428T0200,14.081478,94.398705
20200428T0300,12.413476,106.8584
20200428T0400,11.183201,123.17851
20200428T0500,11.090103,144.24611
20200428T0600,9.0,163.73979
20200428T0700,6.130579,183.36646
20200428T0800,5.3999996,216.8699
20200428T0900,4.829907,243.43495
20200428T1000,6.0347,252.64598
20200428T1100,7.771331,256.6075
20200428T1200,8.557102,255.37914
20200428T1300,9.531505,259.11447
20200428T1400,11.013882,258.69006
20200428T1500,12.864649,252.07208
20200428T1600,10.799999,233.1301
20200428T1700,8.404285,223.2643
20200428T1800,6.792466,237.99463
20200428T1900,4.6102495,231.3402
20200428T2000,12.096214,53.47113
20200428T2100,15.84409,91.30195
20200428T2200,15.281989,105.01836
20200428T2300,13.527572,115.20112
20200429T0000,10.514218,128.04704
20200429T0100,6.696387,143.74615
20200429T0200,3.6179552,174.28941
20200429T0300,2.3051248,231.3402
20200429T0400,3.6,270.0
20200429T0500,6.379216,286.38956
20200429T0600,8.699793,294.44397
20200429T0700,10.495713,300.96378
20200429T0800,8.759178,279.46234
20200429T0900,7.072878,284.74356
20200429T1000,6.297428,329.03625
20200429T1100,8.699793,24.443954
20200429T1200,15.315873,60.42215
20200429T1300,20.192118,78.69006
20200429T1400,25.050413,82.56859
20200429T1500,31.085323,76.6075
20200429T1600,34.608715,71.18811
20200429T1700,26.758923,72.78392
20200429T1800,17.935081,79.592285
20200429T1900,18.532133,82.1847
20200429T2000,18.35647,64.440025
20200429T2100,18.681883,64.9164
20200429T2200,17.447933,68.19859
20200429T2300,16.279802,71.965706
20200430T0000,14.689589,72.89727
20200430T0100,13.5515,73.00917
20200430T0200,12.979984,70.55996
20200430T0300,12.72283,64.88516
20200430T0400,12.397806,64.17901
20200430T0500,11.91812,64.98311
20200430T0600,10.948973,62.59243
20200430T0700,10.144082,62.52556
20200430T0800,5.6002855,44.999985
20200430T0900,5.8048253,60.25511
20200430T1000,7.342588,78.69006
20200430T1100,8.311245,94.96974
20200430T1200,9.255571,103.49573
20200430T1300,10.24578,108.434944
20200430T1400,10.739833,103.570435
20200430T1500,11.720751,100.61965
20200430T1600,11.874544,104.03624
20200430T1700,13.450708,105.5241
20200430T1800,14.799459,108.434944
20200430T1900,18.455048,110.556046
20200430T2000,16.039202,99.03948
20200430T2100,15.188415,95.44032
20200430T2200,13.679999,89.99999
20200430T2300,14.04,89.99999
20200501T0000,14.05845,92.93567
20200501T0100,14.561099,98.53076
20200501T0200,13.358861,104.03624
20200501T0300,11.770403,113.42869
20200501T0400,10.799999,126.869896
20200501T0500,10.691453,135.0
20200501T0600,11.480557,138.81407
20200501T0700,11.592894,143.84181
20200501T0800,5.991594,147.26477
20200501T0900,7.145796,139.08562
20200501T1000,7.9932966,144.16235
20200501T1100,9.0,143.1301
20200501T1200,9.0,143.1301
20200501T1300,7.42159,140.90614
20200501T1400,5.8048253,119.74488
20200501T1500,7.072878,104.74355
20200501T1600,8.209263,105.25512
20200501T1700,10.703569,109.653824
20200501T1800,14.182355,113.96249
20200501T1900,19.319628,116.56505
20200501T2000,17.811815,104.03624
20200501T2100,18.430452,102.40742
20200501T2200,14.440443,94.28915
20200501T2300,15.124284,88.63607
20200502T0000,14.799459,85.81509
20200502T0100,14.4,89.99999
20200502T0200,13.363711,94.63546
20200502T0300,11.792404,102.33909
20200502T0400,10.30883,114.77514
20200502T0500,9.449572,130.36453
20200502T0600,9.220499,141.34018
20200502T0700,8.0899935,147.72435
20200502T0800,3.563818,135.0
20200502T0900,3.8268526,138.81407
20200502T1000,4.3349743,131.63353
20200502T1100,4.8433046,131.98721
20200502T1200,4.6938257,122.47119
20200502T1300,4.6800003,112.61986
20200502T1400,5.7599998,89.99999
20200502T1500,7.2359104,84.289406
20200502T1600,8.311245,85.03026
20200502T1700,10.440001,89.99999
20200502T1800,10.440001,89.99999
20200502T1900,12.605142,91.63657
20200502T2000,12.324414,96.70984
20200502T2100,9.9571085,102.52881
20200502T2200,9.422101,96.58194
20200502T2300,10.440001,89.99999
20200503T0000,11.879999,89.99999
20200503T0100,12.620554,93.27049
20200503T0200,12.287555,95.04245
20200503T0300,12.324414,96.70984
20200503T0400,11.367109,100.954056
20200503T0500,10.587917,107.818886
20200503T0600,10.028439,111.03751
20200503T0700,9.83268,113.7495
20200503T0800,9.339208,117.55281
20200503T0900,6.989936,124.508514
20200503T1000,7.145796,130.91438
20200503T1100,6.3690495,132.70938
20200503T1200,5.1165614,129.2894
20200503T1300,4.379589,99.46232
20200503T1400,3.2399998,89.99999
20200503T1500,4.2136917,70.016884
20200503T1600,6.0347,72.64597
20200503T1700,8.350138,82.56859
20200503T1800,9.746631,85.7636
20200503T1900,13.684735,88.49257
20200503T2000,13.679999,89.99999
20200503T2100,11.659777,98.88065
20200503T2200,8.209263,105.25512
20200503T2300,11.183201,93.69138
