"","timestamp","Corral.de.Barrancas.Wind.Speed..80.m.","Corral.de.Barrancas.Wind.Direction..80.m."
"105",2020-04-18 08:00:00,7.9526596,95.19443
"106",2020-04-18 09:00:00,7.6367526,98.1301
"107",2020-04-18 10:00:00,8.287822,124.38034
"108",2020-04-18 11:00:00,8.287822,145.61966
"109",2020-04-18 12:00:00,7.2805495,171.46924
"110",2020-04-18 13:00:00,7.8625183,195.9454
"111",2020-04-18 14:00:00,9.693296,211.32869
"112",2020-04-18 15:00:00,11.808878,217.5686
"113",2020-04-18 16:00:00,13.684735,215.36246
"114",2020-04-18 17:00:00,14.4,216.8699
"115",2020-04-18 18:00:00,15.30741,221.18593
"116",2020-04-18 19:00:00,14.84318,219.09386
"117",2020-04-18 20:00:00,9.449572,139.63547
"118",2020-04-18 21:00:00,16.904673,116.56505
"119",2020-04-18 22:00:00,19.469976,123.69006
"120",2020-04-18 23:00:00,18.335276,133.40886
"121",2020-04-19 00:00:00,13.363711,152.74467
"122",2020-04-19 01:00:00,10.028439,201.0375
"123",2020-04-19 02:00:00,14.408997,257.00537
"124",2020-04-19 03:00:00,25.233406,284.03625
"125",2020-04-19 04:00:00,30.018473,292.56702
"126",2020-04-19 05:00:00,33.190357,294.3411
"127",2020-04-19 06:00:00,28.079998,292.61987
"128",2020-04-19 07:00:00,23.795427,287.61258
"129",2020-04-19 08:00:00,16.73516,288.8247
"130",2020-04-19 09:00:00,12.522619,288.43497
"131",2020-04-19 10:00:00,14.039999,292.61987
"132",2020-04-19 11:00:00,14.689589,287.10272
"133",2020-04-19 12:00:00,16.65754,276.20346
"134",2020-04-19 13:00:00,18.359999,270
"135",2020-04-19 14:00:00,19.803272,271.04163
"136",2020-04-19 15:00:00,20.172853,272.0454
"137",2020-04-19 16:00:00,20.532627,272.00955
"138",2020-04-19 17:00:00,20.957443,274.92712
"139",2020-04-19 18:00:00,20.633371,276.009
"140",2020-04-19 19:00:00,18.844202,276.58194
"141",2020-04-19 20:00:00,14.182355,293.9625
"142",2020-04-19 21:00:00,9.19939,329.42078
"143",2020-04-19 22:00:00,5.506941,11.309921
"144",2020-04-19 23:00:00,4.3349743,48.366455
"145",2020-04-20 00:00:00,4.0249224,79.695145
"146",2020-04-20 01:00:00,5.3999996,89.99999
"147",2020-04-20 02:00:00,5.3999996,89.99999
"148",2020-04-20 03:00:00,6.489992,86.82017
"149",2020-04-20 04:00:00,6.849467,86.98721
"150",2020-04-20 05:00:00,6.849467,86.98721
"151",2020-04-20 06:00:00,6.130579,86.63353
"152",2020-04-20 07:00:00,5.04,89.99999
"153",2020-04-20 08:00:00,1.0182338,315
"154",2020-04-20 09:00:00,1.8,270
"155",2020-04-20 10:00:00,3.096837,215.53769
"156",2020-04-20 11:00:00,5.1919937,213.69006
"157",2020-04-20 12:00:00,6.489992,213.69006
"158",2020-04-20 13:00:00,7.9932966,234.16235
