location,San Bartolo,San Bartolo
lat,19.79511,19.79511
lon,-90.56491,-90.56491
asl,39.683,39.683
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,San Bartolo Wind Speed [80 m],San Bartolo Wind Direction [80 m]
20200420T0000,21.915691,132.337
20200420T0100,21.94524,131.0091
20200420T0200,21.817902,127.62623
20200420T0300,23.688984,126.34746
20200420T0400,24.344624,128.39516
20200420T0500,23.950148,132.56335
20200420T0600,21.142147,137.07004
20200420T0700,17.581125,132.51044
20200420T0800,17.072504,132.43622
20200420T0900,14.799459,138.94519
20200420T1000,10.514218,141.95296
20200420T1100,1.835647,101.30993
20200420T1200,7.145796,319.08563
20200420T1300,17.884428,319.8991
20200420T1400,19.406637,319.514
20200420T1500,18.075441,315.80695
20200420T1600,18.335276,316.59116
20200420T1700,20.46941,325.75098
20200420T1800,19.33639,335.8209
20200420T1900,20.833395,350.04938
20200420T2000,23.762726,0.86805725
20200420T2100,26.693459,10.097488
20200420T2200,25.071098,21.037506
20200420T2300,23.686249,43.152374
20200421T0000,23.584808,58.736267
20200421T0100,23.83624,64.98311
20200421T0200,21.068459,73.1132
20200421T0300,19.493261,85.7636
20200421T0400,18.998314,99.8193
20200421T0500,19.469975,109.44003
20200421T0600,18.193361,117.072075
20200421T0700,19.228851,128.15723
20200421T0800,18.626305,131.08176
20200421T0900,17.377226,140.04245
20200421T1000,13.779114,146.72511
20200421T1100,8.78872,145.00798
20200421T1200,3.2399998,89.99999
20200421T1300,13.089354,328.49573
20200421T1400,22.159746,316.97495
20200421T1500,21.67487,318.36646
20200421T1600,24.149532,333.43497
20200421T1700,29.168886,347.1644
20200421T1800,29.986076,355.17926
20200421T1900,31.32207,359.34146
20200421T2000,30.096085,6.86998
20200421T2100,27.595825,15.123993
20200421T2200,24.387178,31.108795
20200421T2300,21.385939,53.90171
20200422T0000,23.499481,95.27389
20200422T0100,25.744402,110.46227
20200422T0200,26.282463,113.404686
20200422T0300,26.121714,119.74487
20200422T0400,25.959969,123.69006
20200422T0500,25.922499,127.66562
20200422T0600,23.904108,127.04247
20200422T0700,21.67786,125.537674
20200422T0800,20.150354,131.37851
20200422T0900,21.437386,130.91438
20200422T1000,21.166653,131.55261
20200422T1100,18.391737,130.23636
20200422T1200,16.831684,131.53177
20200422T1300,14.05845,129.80557
20200422T1400,13.493999,133.91907
20200422T1500,10.233123,140.71059
20200422T1600,7.2,143.1301
20200422T1700,4.39436,145.00798
20200422T1800,1.8,89.99999
20200422T1900,1.484318,104.03624
20200422T2000,17.283749,1.1934662
20200422T2100,11.5199995,89.99999
20200422T2200,30.04221,135.97101
20200422T2300,30.817343,127.40535
20200423T0000,30.7542,128.34558
20200423T0100,30.928587,129.80557
20200423T0200,30.378967,130.67494
20200423T0300,31.122826,131.24826
20200423T0400,29.03752,132.99045
20200423T0500,28.001427,135.0
20200423T0600,27.492311,135.0
20200423T0700,27.748037,134.47437
20200423T0800,26.250393,137.77917
20200423T0900,25.922499,142.33438
20200423T1000,24.27265,144.65988
20200423T1100,23.090569,149.03624
20200423T1200,20.945072,155.63754
20200423T1300,16.516901,159.59012
20200423T1400,10.1376915,173.88449
20200423T1500,4.2136917,289.98312
20200423T1600,12.879752,333.43497
20200423T1700,15.509274,338.1986
20200423T1800,12.979984,340.55997
20200423T1900,13.202726,348.99646
20200423T2000,13.849476,8.972626
20200423T2100,14.81259,25.942291
20200423T2200,16.199999,89.99999
20200423T2300,25.35637,128.6598
20200424T0000,26.089443,129.40067
20200424T0100,23.686249,133.15239
20200424T0200,20.12461,137.17474
20200424T0300,21.252197,141.18861
20200424T0400,20.991426,149.03624
20200424T0500,18.388212,156.9487
20200424T0600,15.484185,162.40758
20200424T0700,13.905509,158.7495
20200424T0800,18.692286,164.35776
20200424T0900,17.106628,171.52885
20200424T1000,13.450708,195.52411
20200424T1100,14.386494,238.29858
20200424T1200,18.11841,249.04422
20200424T1300,22.26477,255.96376
20200424T1400,23.97989,262.23483
20200424T1500,24.251284,264.03552
20200424T1600,22.33161,268.1524
20200424T1700,21.647945,273.8141
20200424T1800,17.518356,279.46234
20200424T1900,13.854155,294.56717
20200424T2000,17.429354,308.29016
20200424T2100,16.595179,319.3987
20200424T2200,12.599999,360.0
20200424T2300,15.03835,47.910828
20200425T0000,14.145756,75.25644
20200425T0100,11.5199995,89.99999
20200425T0200,12.324414,96.70984
20200425T0300,14.408997,102.99461
20200425T0400,15.2947035,116.56505
20200425T0500,15.281989,133.09085
20200425T0600,15.315873,150.42216
20200425T0700,15.725037,164.0546
20200425T0800,13.849476,171.02737
20200425T0900,10.105681,184.08562
20200425T1000,5.2416787,195.9454
20200425T1100,6.763786,295.2011
20200425T1200,15.408671,307.40536
20200425T1300,19.694992,300.78415
20200425T1400,19.376562,305.16644
20200425T1500,20.898613,317.79272
20200425T1600,20.3774,327.99463
20200425T1700,21.273533,336.03754
20200425T1800,20.12461,349.69516
20200425T1900,19.45333,357.8789
20200425T2000,16.92383,23.83873
20200425T2100,20.898613,47.792694
20200425T2200,19.681828,50.194427
20200425T2300,21.915693,75.73549
20200426T0000,22.3229,90.92404
20200426T0100,23.110205,108.1527
20200426T0200,24.514387,119.9536
20200426T0300,25.570139,125.256355
20200426T0400,23.78453,129.47246
20200426T0500,19.862083,133.53119
20200426T0600,16.563911,137.64255
20200426T0700,13.783817,139.23639
20200426T0800,5.2416787,164.0546
20200426T0900,1.609969,206.56505
20200426T1000,4.5536795,341.56506
20200426T1100,5.8603754,349.38034
20200426T1200,8.64,360.0
20200426T1300,15.893093,346.90814
20200426T1400,23.263912,338.1986
20200426T1500,26.749235,331.0203
20200426T1600,24.881702,328.60974
20200426T1700,27.811018,338.7495
20200426T1800,26.82906,348.38852
20200426T1900,26.932714,351.54498
20200426T2000,24.119999,360.0
20200426T2100,22.380884,11.129181
20200426T2200,20.316889,29.744873
20200426T2300,19.09358,44.236084
20200427T0000,16.45007,66.8014
20200427T0100,17.414474,119.74488
20200427T0200,18.089775,132.58049
20200427T0300,20.018072,142.30576
20200427T0400,21.758419,141.0441
20200427T0500,22.104116,142.94347
20200427T0600,21.313093,142.54942
20200427T0700,19.083395,144.21103
20200427T0800,16.575644,145.61966
20200427T0900,18.218275,150.39555
20200427T1000,19.201874,149.58891
20200427T1100,12.783802,147.65256
20200427T1200,5.904439,127.56859
20200427T1300,6.638072,347.4712
20200427T1400,21.566973,326.5752
20200427T1500,25.772078,331.64502
20200427T1600,27.44749,343.2288
20200427T1700,30.718357,349.87534
20200427T1800,27.887802,348.83514
20200427T1900,25.212852,350.13422
20200427T2000,13.722565,4.513962
20200427T2100,14.512064,97.125015
20200427T2200,24.187069,94.26789
20200427T2300,26.693459,100.097496
