location,San Bartolo,San Bartolo
lat,19.79511,19.79511
lon,-90.56491,-90.56491
asl,39.683,39.683
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,San Bartolo Wind Speed [80 m],San Bartolo Wind Direction [80 m]
20200426T0000,16.676977,32.660904
20200426T0100,12.879752,63.43495
20200426T0200,15.042659,111.0375
20200426T0300,18.899143,130.36453
20200426T0400,19.134262,131.18591
20200426T0500,17.581125,132.51044
20200426T0600,15.30741,131.18591
20200426T0700,13.783817,139.23639
20200426T0800,11.019764,141.6325
20200426T0900,8.669949,138.36646
20200426T1000,2.0991426,120.96376
20200426T1100,5.154415,335.22485
20200426T1200,15.141414,331.607
20200426T1300,21.129885,336.9296
20200426T1400,21.461555,337.3062
20200426T1500,22.539564,333.43497
20200426T1600,21.2522,333.86902
20200426T1700,20.945072,335.63757
20200426T1800,20.46941,336.13983
20200426T1900,20.833395,341.87814
20200426T2000,24.119999,360.0
20200426T2100,22.380884,11.129181
20200426T2200,20.316889,29.744873
20200426T2300,19.09358,44.236084
20200427T0000,16.45007,66.8014
20200427T0100,17.414474,119.74488
20200427T0200,18.089775,132.58049
20200427T0300,20.018072,142.30576
20200427T0400,21.758419,141.0441
20200427T0500,22.104116,142.94347
20200427T0600,21.313093,142.54942
20200427T0700,19.083395,144.21103
20200427T0800,19.586119,143.97263
20200427T0900,16.992609,143.61565
20200427T1000,14.773164,136.97493
20200427T1100,10.514218,128.04704
20200427T1200,4.802999,102.99461
20200427T1300,9.605998,347.00537
20200427T1400,24.344624,336.46765
20200427T1500,31.771912,340.12784
20200427T1600,33.72491,343.8866
20200427T1700,32.559605,341.9657
20200427T1800,26.072052,342.3156
20200427T1900,11.879999,360.0
20200427T2000,28.880886,4.289139
20200427T2100,23.977188,41.347763
20200427T2200,22.66857,69.550446
20200427T2300,22.89611,73.559616
20200428T0000,22.42427,84.47246
20200428T0100,22.346113,92.7702
20200428T0200,23.441502,100.61965
20200428T0300,23.34455,109.83212
20200428T0400,22.553934,114.519646
20200428T0500,21.578989,117.84758
20200428T0600,20.00512,120.25643
20200428T0700,18.278645,122.125
20200428T0800,17.238699,118.70595
20200428T0900,17.57744,124.99202
20200428T1000,15.986593,125.83765
20200428T1100,13.392774,126.25384
20200428T1200,12.261157,130.23636
20200428T1300,10.296251,126.46923
20200428T1400,3.7585104,106.69924
20200428T1500,6.0347,342.646
20200428T1600,14.707222,338.45905
20200428T1700,25.282152,340.0169
20200428T1800,22.89611,343.55963
20200428T1900,10.823973,356.18594
20200428T2000,18.72346,1.1016998
20200428T2100,14.973577,27.181107
20200428T2200,15.192682,76.29304
20200428T2300,21.461555,112.69379
20200429T0000,23.363974,123.69006
20200429T0100,24.162947,123.45331
20200429T0200,22.565422,123.94359
20200429T0300,22.473343,125.21759
20200429T0400,22.828087,127.95422
20200429T0500,23.469128,131.2686
20200429T0600,22.42427,132.39743
20200429T0700,20.65848,131.4677
20200429T0800,19.862083,136.4688
20200429T0900,19.107151,137.2906
20200429T1000,17.654688,140.7928
20200429T1100,16.199999,143.1301
20200429T1200,12.55879,152.70042
20200429T1300,5.3999996,180.0
20200429T1400,10.233123,309.2894
20200429T1500,22.104116,322.94348
20200429T1600,19.272614,327.20047
20200429T1700,17.906157,329.82648
20200429T1800,18.0,343.7398
20200429T1900,21.67487,355.23636
20200429T2000,21.316135,4.843994
20200429T2100,24.248613,18.165955
20200429T2200,24.633049,26.93953
20200429T2300,21.09305,27.439728
20200430T0000,16.80857,46.735703
20200430T0100,12.224107,76.373
20200430T0200,12.661564,104.82648
20200430T0300,19.09358,135.76389
20200430T0400,17.057314,135.8551
20200430T0500,14.021525,131.87787
20200430T0600,11.480557,131.18591
20200430T0700,10.086427,124.82449
20200430T0800,7.145796,130.91438
20200430T0900,4.3498964,155.55605
20200430T1000,3.5455887,293.9625
20200430T1100,17.595861,329.2373
20200430T1200,23.210928,336.21796
20200430T1300,24.482647,342.89728
20200430T1400,26.111792,344.81415
20200430T1500,28.901073,346.30997
20200430T1600,30.563978,344.98163
20200430T1700,32.83705,344.74487
20200430T1800,33.62099,347.00537
20200430T1900,35.870163,349.5923
20200430T2000,31.68,360.0
20200430T2100,28.691795,17.525558
20200430T2200,24.344624,38.395157
20200430T2300,21.142147,47.070007
20200501T0000,18.899143,49.635452
20200501T0100,19.346441,44.999985
20200501T0200,19.862083,43.53119
20200501T0300,19.346441,44.999985
20200501T0400,17.610588,49.144623
20200501T0500,16.279802,54.904182
20200501T0600,16.1198,60.57254
20200501T0700,15.137133,64.65382
20200501T0800,10.829958,68.55225
20200501T0900,10.315115,60.751175
20200501T1000,8.942214,40.100906
20200501T1100,8.669949,4.7636414
20200501T1200,13.1041975,344.0546
20200501T1300,21.273533,336.03754
20200501T1400,26.576681,335.17065
20200501T1500,28.99062,335.0261
20200501T1600,29.354902,336.89368
20200501T1700,32.343952,343.1786
20200501T1800,32.761974,347.94922
20200501T1900,34.213257,351.52887
20200501T2000,30.222849,12.380737
20200501T2100,27.162708,34.74318
20200501T2200,25.72174,46.70134
20200501T2300,24.651457,61.18921
20200502T0000,22.406927,66.31792
20200502T0100,20.966715,74.054596
20200502T0200,19.602652,82.61395
20200502T0300,18.36353,88.876686
20200502T0400,17.373497,95.94686
20200502T0500,15.683776,99.24611
20200502T0600,15.111424,102.38075
20200502T0700,15.379206,106.31385
20200502T0800,15.256526,109.29004
20200502T0900,15.990646,121.18497
20200502T1000,14.689588,126.027374
20200502T1100,13.324863,128.41805
20200502T1200,9.793059,126.027374
20200502T1300,4.3349743,94.76365
20200502T1400,4.379589,9.462311
20200502T1500,16.055353,340.3462
20200502T1600,21.325253,338.1986
20200502T1700,24.269983,339.14557
20200502T1800,21.862406,342.75854
20200502T1900,19.694992,341.89624
20200502T2000,18.11841,339.04425
20200502T2100,11.901798,356.5318
20200502T2200,17.28,89.99999
20200502T2300,22.380884,101.12919
20200503T0000,20.497883,120.61861
20200503T0100,21.068459,123.146996
20200503T0200,20.883102,125.88214
20200503T0300,20.380579,125.65533
20200503T0400,20.018072,127.69424
20200503T0500,19.67195,124.562515
20200503T0600,19.770523,123.11134
20200503T0700,19.272614,122.79953
20200503T0800,19.67195,124.562515
20200503T0900,19.95972,129.14398
20200503T1000,17.148247,129.0355
20200503T1100,13.18308,124.99202
20200503T1200,8.707237,119.74488
20200503T1300,3.6,89.99999
20200503T1400,5.937272,345.96375
20200503T1500,18.998316,332.9494
20200503T1600,27.748037,337.09424
20200503T1700,31.999523,342.99207
20200503T1800,28.817993,347.00537
20200503T1900,26.33911,349.7652
20200503T2000,16.93531,2.4366455
20200503T2100,9.779817,83.65981
20200503T2200,24.014996,102.99461
20200503T2300,23.241617,106.1892
