location,Bimbaletes Aguascalientes (El Álamo),Bimbaletes Aguascalientes (El Álamo)
lat,21.66655,21.66655
lon,-102.18750,-102.18750
asl,1949.318,1949.318
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Bimbaletes Aguascalientes (El Álamo) Wind Speed [80 m],Bimbaletes Aguascalientes (El Álamo) Wind Direction [80 m]
20200426T0000,42.936695,93.84602
20200426T0100,38.64764,99.11135
20200426T0200,34.743263,100.145546
20200426T0300,25.264202,94.08562
20200426T0400,19.852295,85.84035
20200426T0500,17.935081,79.592285
20200426T0600,15.192682,76.29304
20200426T0700,20.176065,74.47588
20200426T0800,18.25026,75.14138
20200426T0900,15.39184,79.2157
20200426T1000,14.154915,82.694244
20200426T1100,13.797912,97.49586
20200426T1200,8.714677,128.29016
20200426T1300,2.9024127,150.25511
20200426T1400,2.0991426,300.96378
20200426T1500,4.39436,325.008
20200426T1600,4.6938252,355.60132
20200426T1700,5.634891,26.565033
20200426T1800,7.386582,46.97493
20200426T1900,13.441071,69.62356
20200426T2000,27.51116,96.009
20200426T2100,32.112724,93.8568
20200426T2200,36.57501,96.21563
20200426T2300,36.217144,96.27729
20200427T0000,33.805515,97.95752
20200427T0100,31.667723,98.49855
20200427T0200,29.427662,97.73359
20200427T0300,22.366402,93.69138
20200427T0400,18.0036,91.14575
20200427T0500,14.4,89.99999
20200427T0600,11.885453,88.26429
20200427T0700,10.086427,87.95459
20200427T0800,1.609969,116.56505
20200427T0900,1.1384199,161.56505
20200427T1000,3.8268526,221.18593
20200427T1100,7.8954163,245.77226
20200427T1200,8.557102,255.37914
20200427T1300,8.311245,274.96973
20200427T1400,7.9932976,277.76517
20200427T1500,8.64,270.0
20200427T1600,9.0,270.0
20200427T1700,9.0645685,276.84277
20200427T1800,10.464798,273.9452
20200427T1900,10.105681,274.08563
20200427T2000,11.609651,330.25513
20200427T2100,6.130579,3.3664398
20200427T2200,4.68,89.99999
20200427T2300,9.422101,136.54816
20200428T0000,10.805998,150.01836
20200428T0100,11.440978,167.27565
20200428T0200,11.183201,183.69139
20200428T0300,11.874544,194.03624
20200428T0400,13.570615,201.8014
20200428T0500,14.88242,212.1523
20200428T0600,16.08761,220.46222
20200428T0700,16.299694,226.78992
20200428T0800,11.681987,213.69006
20200428T0900,10.009036,217.69424
20200428T1000,10.514218,231.95296
20200428T1100,12.429127,259.992
20200428T1200,15.986595,277.76517
20200428T1300,18.998314,279.8193
20200428T1400,18.888851,277.6668
20200428T1500,19.852295,274.15967
20200428T1600,21.2522,271.94147
20200428T1700,23.759998,270.0
20200428T1800,25.919998,270.0
20200428T1900,28.808998,271.4321
20200428T2000,24.122683,269.1449
20200428T2100,32.41799,271.90915
20200428T2200,34.10133,280.95407
20200428T2300,34.76377,291.2505
20200429T0000,32.85678,302.4712
20200429T0100,28.1169,309.80557
20200429T0200,23.000591,309.9204
20200429T0300,15.484185,305.5377
20200429T0400,10.365251,290.32315
20200429T0500,8.28,270.0
20200429T0600,7.8625183,254.0546
20200429T0700,8.217153,241.18921
20200429T0800,1.5273507,135.0
20200429T0900,2.9024127,172.87498
20200429T1000,3.6179552,174.28941
20200429T1100,2.7416782,203.1986
20200429T1200,3.396233,237.99463
20200429T1300,1.835647,258.69006
20200429T1400,2.8116899,230.19443
20200429T1500,1.9386592,248.1986
20200429T1600,0.71999997,360.0
20200429T1700,3.319036,40.601288
20200429T1800,6.792466,57.994614
20200429T1900,13.363711,62.74466
20200429T2000,27.44513,85.48601
20200429T2100,31.712711,87.39744
20200429T2200,34.98674,93.53956
20200429T2300,34.32105,94.813545
20200430T0000,31.682047,89.34894
20200430T0100,33.24498,85.03026
20200430T0200,36.57501,83.78436
20200430T0300,42.877792,87.594025
20200430T0400,43.237484,92.38594
20200430T0500,40.5907,96.620766
20200430T0600,34.711544,95.35581
20200430T0700,27.729347,88.51213
20200430T0800,14.404499,91.4321
20200430T0900,14.118243,109.35899
20200430T1000,17.595861,120.76271
20200430T1100,17.673029,123.36636
20200430T1200,15.876775,122.969406
20200430T1300,12.413477,119.53878
20200430T1400,9.83268,113.7495
20200430T1500,7.342588,101.30993
20200430T1600,6.725354,74.47588
20200430T1700,10.630672,61.699234
20200430T1800,15.2947035,63.43495
20200430T1900,21.749481,65.55604
20200430T2000,19.45333,87.8789
20200430T2100,15.328561,99.46232
20200430T2200,17.25373,113.35556
20200430T2300,19.694992,120.78415
20200501T0000,21.178896,121.79891
20200501T0100,22.38378,117.80146
20200501T0200,22.406927,113.68208
20200501T0300,18.792551,110.17065
20200501T0400,12.413476,106.8584
20200501T0500,9.0645685,96.84277
20200501T0600,8.287822,87.510445
20200501T0700,8.12197,77.19573
20200501T0800,1.9386592,158.1986
20200501T0900,2.9024127,150.25511
20200501T1000,1.835647,168.69006
20200501T1100,1.08,270.0
20200501T1200,3.0758414,339.44397
20200501T1300,7.2,360.0
20200501T1400,8.350138,7.431381
20200501T1500,8.12197,12.804245
20200501T1600,7.342588,11.309921
20200501T1700,6.379216,16.389526
20200501T1800,5.692099,34.69516
20200501T1900,5.3999996,36.86989
20200501T2000,19.576189,57.77124
20200501T2100,22.101183,77.77487
20200501T2200,26.368616,94.69868
20200501T2300,30.173496,107.35402
20200502T0000,31.581665,114.22774
20200502T0100,31.259941,118.92642
20200502T0200,26.61323,120.03328
20200502T0300,17.673029,123.36636
20200502T0400,11.885453,125.13419
20200502T0500,9.220499,128.6598
20200502T0600,7.386582,133.02505
20200502T0700,6.4096174,141.84277
20200502T0800,8.891343,211.75949
20200502T0900,7.7043357,217.40535
20200502T1000,9.0,233.1301
20200502T1100,9.6932955,254.93152
20200502T1200,8.209263,285.25513
20200502T1300,6.3690495,317.29062
20200502T1400,6.830519,341.56506
20200502T1500,6.5693827,350.5377
20200502T1600,5.3999996,360.0
20200502T1700,4.68,360.0
20200502T1800,3.9763298,5.194412
20200502T1900,3.7585104,16.69925
20200502T2000,4.3349743,48.366455
20200502T2100,8.049845,79.695145
20200502T2200,11.966953,96.911224
20200502T2300,15.042659,111.0375
20200503T0000,17.22742,116.02959
20200503T0100,17.709658,116.56505
20200503T0200,16.311613,112.036224
20200503T0300,12.979984,109.44003
20200503T0400,9.360001,112.61986
20200503T0500,7.4128532,119.054596
20200503T0600,5.6233797,129.80557
20200503T0700,5.315336,151.69923
20200503T0800,5.506941,168.69006
20200503T0900,4.73506,188.74615
20200503T1000,9.422101,226.54816
20200503T1100,10.24578,251.56506
20200503T1200,9.3669195,272.2026
20200503T1300,6.8777895,312.8789
20200503T1400,6.489992,340.55997
20200503T1500,5.3999996,360.0
20200503T1600,6.4799995,360.0
20200503T1700,6.130579,3.3664398
20200503T1800,5.771239,3.5763245
20200503T1900,4.6800003,22.619858
20200503T2000,5.692099,55.304832
20200503T2100,9.028754,66.501434
20200503T2200,11.726277,72.1213
20200503T2300,13.202726,78.99645
