"","timestamp","Bimbaletes.Aguascalientes..El.Ã.lamo..Wind.Speed..80.m.","Bimbaletes.Aguascalientes..El.Ã.lamo..Wind.Direction..80.m."
"105",2020-04-18 08:00:00,3.5455887,246.0375
"106",2020-04-18 09:00:00,4.5536795,251.56506
"107",2020-04-18 10:00:00,4.829907,243.43495
"108",2020-04-18 11:00:00,7.9036193,239.93141
"109",2020-04-18 12:00:00,12.287555,238.17256
"110",2020-04-18 13:00:00,16.676977,237.3391
"111",2020-04-18 14:00:00,19.770523,236.88866
"112",2020-04-18 15:00:00,23.584808,238.73627
"113",2020-04-18 16:00:00,24.696104,239.32272
"114",2020-04-18 17:00:00,25.944988,240.9454
"115",2020-04-18 18:00:00,27.055143,244.79889
"116",2020-04-18 19:00:00,28.146843,249.0151
"117",2020-04-18 20:00:00,24.288662,258.02386
"118",2020-04-18 21:00:00,25.40743,262.67358
"119",2020-04-18 22:00:00,26.282465,269.21518
"120",2020-04-18 23:00:00,28.112288,279.58295
"121",2020-04-19 00:00:00,28.948118,291.13983
"122",2020-04-19 01:00:00,25.630886,299.44543
"123",2020-04-19 02:00:00,21.924562,299.5115
"124",2020-04-19 03:00:00,17.25373,293.35556
"125",2020-04-19 04:00:00,14.618837,279.92624
"126",2020-04-19 05:00:00,13.339445,266.90594
"127",2020-04-19 06:00:00,13.207634,252.55283
"128",2020-04-19 07:00:00,13.854155,245.43283
"129",2020-04-19 08:00:00,14.291592,229.08562
"130",2020-04-19 09:00:00,13.746156,225
"131",2020-04-19 10:00:00,18.440998,231.3402
"132",2020-04-19 11:00:00,25.318008,240.15407
"133",2020-04-19 12:00:00,28.97944,243.43495
"134",2020-04-19 13:00:00,31.106167,246.10484
"135",2020-04-19 14:00:00,31.559086,249.29097
"136",2020-04-19 15:00:00,31.700449,254.85902
"137",2020-04-19 16:00:00,31.70658,257.54175
"138",2020-04-19 17:00:00,31.845247,259.57928
"139",2020-04-19 18:00:00,31.311724,261.4041
"140",2020-04-19 19:00:00,30.855171,262.62622
"141",2020-04-19 20:00:00,26.427528,245.87903
"142",2020-04-19 21:00:00,28.930204,253.36905
"143",2020-04-19 22:00:00,29.957968,265.86533
"144",2020-04-19 23:00:00,31.212229,277.28894
"145",2020-04-20 00:00:00,29.940662,288.2171
"146",2020-04-20 01:00:00,25.44566,295.11484
"147",2020-04-20 02:00:00,22.226902,294.90475
"148",2020-04-20 03:00:00,16.981165,291.12473
"149",2020-04-20 04:00:00,11.304229,279.16235
"150",2020-04-20 05:00:00,9.726665,267.8789
"151",2020-04-20 06:00:00,8.825508,258.23172
"152",2020-04-20 07:00:00,7.628263,250.70996
"153",2020-04-20 08:00:00,3.96,180
"154",2020-04-20 09:00:00,3.8773184,201.8014
"155",2020-04-20 10:00:00,4.6938257,212.47119
"156",2020-04-20 11:00:00,8.39657,239.03624
"157",2020-04-20 12:00:00,13.1041975,249.0755
"158",2020-04-20 13:00:00,16.394829,250.76932
"159",2020-04-20 14:00:00,18.331741,250.49756
"160",2020-04-20 15:00:00,19.242327,252.58203
"161",2020-04-20 16:00:00,19.386591,254.93152
"162",2020-04-20 17:00:00,19.48661,258.2749
"163",2020-04-20 18:00:00,18.998314,260.1807
"164",2020-04-20 19:00:00,19.602652,262.61395
"165",2020-04-20 20:00:00,13.207634,252.55283
"166",2020-04-20 21:00:00,17.873556,260.72742
"167",2020-04-20 22:00:00,20.5484,266.9872
"168",2020-04-20 23:00:00,18.36353,271.12332
"169",2020-04-21 00:00:00,14.044615,271.4688
"170",2020-04-21 01:00:00,11.165805,268.1524
"171",2020-04-21 02:00:00,9.0645685,263.15723
"172",2020-04-21 03:00:00,7.69592,259.2157
"173",2020-04-21 04:00:00,7.342588,258.69006
"174",2020-04-21 05:00:00,6.0347,252.64598
"175",2020-04-21 06:00:00,4.802999,257.00537
"176",2020-04-21 07:00:00,3.6179552,264.28943
"177",2020-04-21 08:00:00,2.52,270
"178",2020-04-21 09:00:00,1.8,270
"179",2020-04-21 10:00:00,3.8773184,248.1986
"180",2020-04-21 11:00:00,6.162207,263.29016
"181",2020-04-21 12:00:00,8.28,270
"182",2020-04-21 13:00:00,7.771331,256.6075
"183",2020-04-21 14:00:00,7.729527,242.24146
"184",2020-04-21 15:00:00,8.854829,243.43495
"185",2020-04-21 16:00:00,9.504273,245.37643
"186",2020-04-21 17:00:00,10.636766,246.0375
"187",2020-04-21 18:00:00,11.770403,246.57132
"188",2020-04-21 19:00:00,13.37825,246.19406
"189",2020-04-21 20:00:00,18.556595,251.91656
"190",2020-04-21 21:00:00,24.693481,262.46057
"191",2020-04-21 22:00:00,26.661882,272.32153
"192",2020-04-21 23:00:00,23.510508,281.482
"193",2020-04-20 00:00:00,30.421598,290.79413
"194",2020-04-20 01:00:00,26.339111,291.656
"195",2020-04-20 02:00:00,22.657131,287.57126
"196",2020-04-20 03:00:00,19.06301,280.88553
"197",2020-04-20 04:00:00,15.119999,270
"198",2020-04-20 05:00:00,12.324414,263.29016
"199",2020-04-20 06:00:00,10.739833,256.42957
"201",2020-04-20 08:00:00,7.729527,242.24146
"202",2020-04-20 09:00:00,5.991594,237.26477
"203",2020-04-20 10:00:00,9.021574,241.38954
"204",2020-04-20 11:00:00,14.05845,256.67548
"205",2020-04-20 12:00:00,17.227419,259.1597
"206",2020-04-20 13:00:00,18.998314,260.1807
"207",2020-04-20 14:00:00,20.008356,261.72412
"208",2020-04-20 15:00:00,21.03152,263.1183
"209",2020-04-20 16:00:00,20.570463,265.98584
"210",2020-04-20 17:00:00,20.163212,268.977
"211",2020-04-20 18:00:00,19.08,270
"212",2020-04-20 19:00:00,19.08,270
"213",2020-04-20 20:00:00,22.346113,267.2298
"214",2020-04-20 21:00:00,30.248568,268.63608
"215",2020-04-20 22:00:00,36.40453,272.8341
"216",2020-04-20 23:00:00,35.036713,279.46234
"217",2020-04-21 00:00:00,28.1169,283.32452
"218",2020-04-21 01:00:00,20.192118,281.30994
"219",2020-04-21 02:00:00,14.154915,277.30576
"220",2020-04-21 03:00:00,11.542478,273.57632
"221",2020-04-21 04:00:00,10.08,270
"222",2020-04-21 05:00:00,9,270
"223",2020-04-21 06:00:00,7.2359104,264.28943
"225",2020-04-21 08:00:00,2.4149535,243.43495
"226",2020-04-21 09:00:00,2.9024127,240.25513
"227",2020-04-21 10:00:00,3.319036,229.39871
"228",2020-04-21 11:00:00,2.5959969,236.30994
"229",2020-04-21 12:00:00,3.4152596,251.56506
