location,Peñamiller,Peñamiller
lat,21.01065,21.01065
lon,-99.76167,-99.76167
asl,1503.008,1503.008
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Peñamiller Wind Speed [80 m],Peñamiller Wind Direction [80 m]
20200427T1000,3.396233,122.00538
20200427T1100,7.8954163,114.22774
20200427T1200,12.864649,107.92791
20200427T1300,17.227419,100.8403
20200427T1400,18.175545,97.96961
20200427T1500,20.5484,93.01279
20200427T1600,24.967499,84.2072
20200427T1700,31.259941,75.3236
20200427T1800,32.44996,70.55996
20200427T1900,29.620802,73.767654
20200427T2000,25.277023,79.33021
20200427T2100,23.157824,78.3407
20200427T2200,17.81909,81.869896
20200427T2300,14.77755,87.20729
