location,Peñamiller,Peñamiller
20200507T1900,21.434364,82.27817
20200507T2000,19.45333,92.12109
20200507T2100,19.652176,81.57303
20200507T2200,16.676977,57.33908
20200507T2300,9.957108,40.601288
20200508T0000,3.0758414,20.556046
20200508T0100,2.3051248,218.65982
20200508T0200,2.9024127,240.25513
20200508T0300,4.6800003,292.61987
20200508T0400,6.9247384,332.10272
20200508T0500,6.924738,351.02737
20200508T0600,4.68,360.0
20200508T0700,2.5959969,33.690063
20200508T0800,1.8,233.1301
20200508T0900,3.096837,234.46233
20200508T1000,4.0249224,259.69516
20200508T1100,5.7599998,270.0
20200508T1200,4.510787,298.61047
20200508T1300,5.4833565,336.8014
20200508T1400,5.00128,329.7436
20200508T1500,2.9024127,277.125
20200508T1600,5.4477882,262.40536
20200508T1700,6.849467,273.0128
20200508T1800,5.506941,281.30994
20200508T1900,4.0249224,259.69516
20200508T2000,14.440443,355.71088
20200508T2100,17.287498,328.627
20200508T2200,12.031756,51.07245
20200508T2300,2.8799999,180.0
20200509T0000,6.9899354,281.88867
20200509T0100,4.0249224,333.43497
20200509T0200,4.0249224,79.695145
20200509T0300,16.595179,86.26859
20200509T0400,15.188415,84.55967
20200509T0500,9.085988,56.30993
20200509T0600,5.6233797,50.194427
20200509T0700,6.8399997,89.99999
20200509T0800,11.659777,81.11935
20200509T0900,14.440443,94.28915
20200509T1000,17.673029,93.50353
20200509T1100,15.119999,89.99999
20200509T1200,10.446206,91.97493
20200509T1300,6.2145634,100.00798
20200509T1400,6.9247384,117.89726
20200509T1500,16.263872,95.079605
20200509T1600,21.605999,79.43899
20200509T1700,23.34455,72.96223
20200509T1800,23.993399,62.281494
20200509T1900,21.178896,58.20108
20200509T2000,16.055353,70.346176
20200509T2100,25.2924,94.899086
20200509T2200,22.881956,77.27564
20200509T2300,19.839235,78.48617
20200510T0000,17.782688,68.62937
20200510T0100,17.208603,74.21924
20200510T0200,15.111424,77.61923
20200510T0300,14.869351,83.047035
20200510T0400,13.441071,82.303955
20200510T0500,11.304229,80.83765
20200510T0600,10.948973,80.537674
20200510T0700,11.874544,75.96376
20200510T0800,4.2136917,70.016884
20200510T0900,4.73506,98.74616
20200510T1000,8.427383,109.9831
20200510T1100,11.966953,111.161255
20200510T1200,10.829958,111.44774
20200510T1300,11.753877,117.34987
20200510T1400,13.849477,117.89726
20200510T1500,19.592731,110.43282
20200510T1600,25.199999,89.99999
20200510T1700,34.171566,69.65589
20200510T1800,33.014175,71.56504
20200510T1900,23.177402,83.75808
20200510T2000,20.275385,73.495636
20200510T2100,19.35314,80.362465
20200510T2200,13.207634,72.5528
20200510T2300,24.187069,85.73209
20200511T0000,25.922499,89.20428
20200511T0100,23.469128,85.60129
20200511T0200,21.707731,84.289406
20200511T0300,19.523155,84.709915
20200511T0400,14.830076,84.4278
20200511T0500,11.525623,75.52971
20200511T0600,10.495713,67.83366
20200511T0700,11.113451,65.09524
20200511T0800,5.315336,61.699234
20200511T0900,7.6367526,98.1301
20200511T1000,9.885262,100.49147
20200511T1100,12.074766,100.30484
20200511T1200,15.192682,103.70696
20200511T1300,20.082708,104.534454
20200511T1400,25.264202,94.08562
20200511T1500,30.811037,83.29016
20200511T1600,30.563978,74.981636
20200511T1700,32.039997,64.01076
20200511T1800,24.014996,66.12472
20200511T1900,24.379204,73.70595
20200511T2000,24.826952,73.141594
20200511T2100,24.1388,72.64597
20200511T2200,21.96,79.61114
20200511T2300,19.523155,84.709915
20200512T0000,15.273505,81.869896
20200512T0100,13.797913,74.87599
20200512T0200,11.841756,70.46334
20200512T0300,11.165805,69.22774
20200512T0400,9.19939,59.42076
20200512T0500,7.145796,49.085617
20200512T0600,3.563818,44.999985
20200512T0700,1.835647,348.69006
20200512T0800,3.8773184,291.8014
20200512T0900,4.379589,279.46234
20200512T1000,3.671294,258.69006
20200512T1100,2.5455842,225.0
20200512T1200,3.2399998,180.0
20200512T1300,3.5455887,203.9625
20200512T1400,4.32,270.0
20200512T1500,2.4149535,296.56506
20200512T1600,1.835647,78.69006
20200512T1700,12.144331,101.97613
20200512T1800,24.648829,96.70984
20200512T1900,26.415268,72.5528
20200512T2000,30.173496,72.64597
20200512T2100,27.897097,70.39591
20200512T2200,22.007162,74.82708
20200512T2300,18.079027,77.34744
