location,Peñamiller,Peñamiller
lat,21.01065,21.01065
lon,-99.76167,-99.76167
asl,1503.008,1503.008
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Peñamiller Wind Speed [80 m],Peñamiller Wind Direction [80 m]
20200505T0000,12.496719,78.36636
20200505T0100,7.24486,63.43495
20200505T0200,3.7064266,29.05458
20200505T0300,2.16,360.0
20200505T0400,3.219938,333.43497
20200505T0500,6.1094027,315.0
20200505T0600,7.5685663,295.3462
20200505T0700,8.049845,280.30487
20200505T0800,9.3876505,274.3987
20200505T0900,6.8399997,270.0
20200505T1000,4.32,270.0
20200505T1100,1.835647,258.69006
20200505T1200,1.2979984,123.69006
20200505T1300,2.9024127,119.74488
20200505T1400,5.2416787,105.9454
20200505T1500,10.440001,89.99999
20200505T1600,9.6932955,74.9315
20200505T1700,12.313894,37.87497
20200505T1800,25.537172,21.501434
20200505T1900,24.162947,33.453293
20200505T2000,13.324863,88.45184
20200505T2100,19.559633,96.34019
20200505T2200,20.570463,85.98582
20200505T2300,16.394829,81.15818
20200506T0000,12.10157,59.620865
20200506T0100,8.049845,26.565033
20200506T0200,3.671294,101.30993
20200506T0300,6.28713,156.37062
20200506T0400,2.1897945,189.46233
20200506T0500,2.7416782,293.1986
20200506T0600,2.968636,284.03625
20200506T0700,3.319036,257.4712
20200506T0800,3.2399998,89.99999
20200506T0900,5.3517847,109.653824
20200506T1000,9.904906,109.09349
20200506T1100,14.408997,102.99461
20200506T1200,14.417988,92.862404
20200506T1300,18.94024,81.25384
20200506T1400,21.749481,65.55604
20200506T1500,21.933426,66.8014
20200506T1600,25.537172,68.49856
20200506T1700,29.301876,63.749763
20200506T1800,26.072052,72.315605
20200506T1900,25.14852,76.75948
20200506T2000,21.868332,69.77514
20200506T2100,20.037485,72.21611
20200506T2200,18.888851,82.33319
20200506T2300,17.771753,83.018936
20200507T0000,15.226764,83.21102
20200507T0100,14.408997,77.00538
20200507T0200,12.904882,67.011284
20200507T0300,13.5515,73.00917
20200507T0400,12.9249525,77.12499
20200507T0500,10.390226,75.96376
20200507T0600,8.654986,73.07248
20200507T0700,10.495713,84.09385
20200507T0800,3.8939953,56.30993
20200507T0900,4.2136917,109.9831
20200507T1000,10.587917,107.818886
20200507T1100,18.584509,98.91492
20200507T1200,20.240196,84.897835
20200507T1300,23.051247,88.21008
20200507T1400,23.40277,89.11859
20200507T1500,27.952787,82.6004
20200507T1600,27.887802,78.83512
20200507T1700,27.504095,75.599976
20200507T1800,24.36591,77.19573
