location,Peñamiller,Peñamiller
lat,21.01065,21.01065
lon,-99.76167,-99.76167
asl,1503.008,1503.008
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Peñamiller Wind Speed [80 m],Peñamiller Wind Direction [80 m]
20200426T0000,25.199999,89.99999
20200426T0100,15.4800005,89.99999
20200426T0200,12.413477,60.46122
20200426T0300,8.714677,51.70984
20200426T0400,5.937272,75.96376
20200426T0500,6.4799995,89.99999
20200426T0600,9.0,89.99999
20200426T0700,16.199999,89.99999
20200426T0800,13.708391,76.32868
20200426T0900,12.964998,91.59113
20200426T1000,19.164719,95.389305
20200426T1100,23.893261,83.94581
20200426T1200,24.798225,80.811165
20200426T1300,25.764534,74.60444
20200426T1400,25.40743,69.253914
20200426T1500,24.288662,78.023865
20200426T1600,25.40743,82.67359
20200426T1700,26.042212,84.44703
20200426T1800,26.758923,84.59621
20200426T1900,26.693459,79.9025
20200426T2000,19.13426,78.055824
20200426T2100,18.692286,74.35776
20200426T2200,17.654686,73.41266
20200426T2300,15.937878,71.56504
20200427T0000,14.205182,81.25384
20200427T0100,12.959999,89.99999
20200427T0200,12.261158,93.366455
20200427T0300,10.464798,86.05482
20200427T0400,8.049845,79.695145
20200427T0500,6.0347,72.64597
20200427T0600,3.671294,78.69006
20200427T0700,2.9024127,97.125015
20200427T0800,1.9386592,338.1986
20200427T0900,1.08,180.0
20200427T1000,3.396233,147.99461
20200427T1100,6.439876,116.56505
20200427T1200,13.202726,101.00354
20200427T1300,19.245697,97.52381
20200427T1400,20.907913,92.96093
20200427T1500,24.923338,79.17698
20200427T1600,29.257614,71.3421
20200427T1700,28.639803,75.43973
20200427T1800,23.377836,80.247574
20200427T1900,21.67487,85.23635
20200427T2000,17.31746,69.30454
20200427T2100,14.587776,74.24882
20200427T2200,16.62249,72.34988
20200427T2300,12.904882,59.858604
20200428T0000,4.829907,26.565033
20200428T0100,5.4477882,277.59464
20200428T0200,6.6185193,247.61987
20200428T0300,3.96,180.0
20200428T0400,7.42159,345.96375
20200428T0500,2.16,360.0
20200428T0600,0.71999997,180.0
20200428T0700,0.71999997,360.0
20200428T0800,1.2979984,303.69006
20200428T0900,1.08,360.0
20200428T1000,0.5091169,225.0
20200428T1100,2.8799999,270.0
20200428T1200,7.289444,290.22485
20200428T1300,10.948973,297.40756
20200428T1400,12.181624,304.1597
20200428T1500,8.287822,304.38034
20200428T1600,1.0182338,315.0
20200428T1700,10.739833,103.570435
20200428T1800,18.0,106.2602
