location,El Progreso de Chiapas,El Progreso de Chiapas
lat,15.52838,15.52838
lon,-92.94272,-92.94272
asl,152.674,152.674
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Progreso de Chiapas Wind Speed [80 m],El Progreso de Chiapas Wind Direction [80 m]
20200420T0000,4.379589,80.537674
20200420T0100,3.396233,122.00538
20200420T0200,3.319036,139.3987
20200420T0300,2.8799999,180.0
20200420T0400,4.5820518,225.0
20200420T0500,4.39436,235.00798
20200420T0600,1.484318,75.96376
20200420T0700,3.8773184,68.19859
20200420T0800,3.8939953,56.30993
20200420T0900,1.0182338,315.0
20200420T1000,4.6938257,237.52881
20200420T1100,6.989936,235.49149
20200420T1200,8.654987,225.0
20200420T1300,11.183201,213.17851
20200420T1400,11.885453,215.13419
20200420T1500,11.983188,212.73523
20200420T1600,9.021574,208.61046
20200420T1700,7.7043357,217.40535
20200420T1800,6.297428,210.96376
20200420T1900,5.3517847,222.27368
20200420T2000,5.904439,232.43141
20200420T2100,7.7043357,217.40535
20200420T2200,9.83268,203.7495
20200420T2300,10.30883,204.77515
20200421T0000,8.39657,210.96376
20200421T0100,4.510787,241.38954
20200421T0200,3.8268526,311.1859
20200421T0300,4.510787,331.38956
20200421T0400,4.072935,315.0
20200421T0500,3.8939953,326.30994
20200421T0600,3.9763298,354.8056
20200421T0700,1.08,270.0
20200421T0800,1.4399999,360.0
20200421T0900,8.557102,247.75098
20200421T1000,11.923557,241.11342
20200421T1100,14.277983,236.30994
20200421T1200,15.077082,236.68938
20200421T1300,12.031756,231.07246
20200421T1400,10.195057,227.86241
20200421T1500,10.948973,226.33223
20200421T1600,10.691453,225.0
20200421T1700,10.703569,227.72632
20200421T1800,10.799999,233.1301
20200421T1900,9.085988,236.30994
20200421T2000,5.8603754,222.51045
20200421T2100,6.696387,233.74615
20200421T2200,6.2145634,259.992
20200421T2300,7.072878,284.74356
20200422T0000,9.779817,276.34018
20200422T0100,10.086427,272.0454
20200422T0200,9.007196,272.29062
20200422T0300,5.95906,295.0169
20200422T0400,5.4477882,352.40536
20200422T0500,3.8268526,311.1859
20200422T0600,3.9763298,264.80557
20200422T0700,1.8,270.0
20200422T0800,1.484318,255.96376
20200422T0900,9.178235,228.17984
20200422T1000,11.709688,225.0
20200422T1100,13.493999,223.91908
20200422T1200,9.1641035,225.0
20200422T1300,7.729527,242.24146
20200422T1400,9.028754,246.50143
20200422T1500,11.384198,235.30484
20200422T1600,14.264361,227.04541
20200422T1700,13.783817,229.23639
20200422T1800,11.019764,231.63252
20200422T1900,10.383987,236.30994
20200422T2000,7.42159,219.09386
20200422T2100,4.072935,225.0
20200422T2200,2.5455842,261.8699
20200422T2300,1.835647,258.69006
20200423T0000,0.35999998,180.0
20200423T0100,1.8,143.1301
20200423T0200,1.2979984,123.69006
20200423T0300,2.2768397,108.434944
20200423T0400,4.1046314,105.25512
20200423T0500,6.162207,83.29016
20200423T0600,7.771331,76.6075
20200423T0700,6.4799995,89.99999
20200423T0800,4.1046314,37.87497
20200423T0900,2.5455842,225.0
20200423T1000,5.692099,214.69516
20200423T1100,8.78872,214.99202
20200423T1200,11.592894,216.15819
20200423T1300,16.485485,211.6075
20200423T1400,17.782686,211.75949
20200423T1500,20.883102,215.88214
20200423T1600,17.49615,216.63412
20200423T1700,13.684735,215.36246
20200423T1800,10.685391,212.61925
20200423T1900,8.161764,221.42366
20200423T2000,8.089993,200.85446
20200423T2100,4.73506,188.74615
20200423T2200,3.0758414,200.55605
20200423T2300,2.7416782,203.1986
20200424T0000,2.5959969,213.69006
20200424T0100,2.3051248,218.65982
20200424T0200,0.71999997,270.0
20200424T0300,2.16,360.0
20200424T0400,4.0249224,26.565033
20200424T0500,5.1919937,33.690063
20200424T0600,5.8603754,42.510437
20200424T0700,6.8777895,47.121094
20200424T0800,3.0547013,44.999985
20200424T0900,5.495161,238.3925
20200424T1000,11.246759,230.19443
20200424T1100,14.84318,230.90614
20200424T1200,12.229406,222.61406
20200424T1300,10.233123,219.28941
20200424T1400,11.457958,223.72697
20200424T1500,16.039202,225.9094
20200424T1600,15.30741,228.81409
20200424T1700,13.104198,232.8153
20200424T1800,9.793059,233.97263
20200424T1900,9.726664,231.009
20200424T2000,10.1887,212.00539
20200424T2100,9.178235,228.17984
20200424T2200,7.5942082,238.57043
20200424T2300,5.1919937,213.69006
20200425T0000,4.2136917,250.0169
20200425T0100,5.0142193,291.0375
20200425T0200,3.5455887,293.9625
20200425T0300,2.52,270.0
20200425T0400,1.609969,296.56506
20200425T0500,2.5959969,326.30994
20200425T0600,2.1897945,350.5377
20200425T0700,1.5273507,315.0
20200425T0800,0.71999997,270.0
20200425T0900,7.8954163,226.84761
20200425T1000,12.218805,225.0
20200425T1100,14.512064,226.0051
20200425T1200,12.768586,220.42609
20200425T1300,12.313894,217.87498
20200425T1400,7.8954163,226.84761
20200425T1500,11.720751,227.48956
20200425T1600,17.581125,227.48956
20200425T1700,17.884428,229.8991
20200425T1800,11.480557,228.81409
20200425T1900,7.386582,226.97495
20200425T2000,9.178235,205.55997
20200425T2100,9.0,233.1301
20200425T2200,6.0347,252.64598
20200425T2300,3.6,270.0
20200426T0000,4.379589,260.5377
20200426T0100,4.5536795,251.56506
20200426T0200,1.4399999,270.0
20200426T0300,0.5091169,315.0
20200426T0400,1.9386592,291.8014
20200426T0500,3.5455887,336.0375
20200426T0600,4.379589,9.462311
20200426T0700,7.928177,39.472458
20200426T0800,2.3051248,51.34018
20200426T0900,2.9024127,209.74489
20200426T1000,10.296251,216.46924
20200426T1100,15.696165,216.60707
20200426T1200,18.79255,216.43086
20200426T1300,16.375053,213.34071
20200426T1400,6.489992,213.69006
20200426T1500,1.8,143.1301
20200426T1600,2.3051248,308.65982
20200426T1700,2.9024127,299.74487
20200426T1800,3.219938,243.43495
20200426T1900,5.0911684,351.8699
20200426T2000,1.2979984,123.69006
20200426T2100,0.5091169,315.0
20200426T2200,2.2768397,341.56506
20200426T2300,6.2145634,10.00798
20200427T0000,6.489992,356.8202
20200427T0100,8.825508,11.76828
20200427T0200,16.42247,26.003342
20200427T0300,23.277834,39.35173
20200427T0400,30.385365,53.673157
20200427T0500,34.20568,59.656746
20200427T0600,34.449196,55.64566
20200427T0700,31.853388,55.591515
20200427T0800,22.104116,52.943466
20200427T0900,12.0694,72.64597
20200427T1000,4.0249224,100.30484
20200427T1100,8.12197,192.80426
20200427T1200,16.09969,206.56505
20200427T1300,20.523157,201.61478
20200427T1400,17.208603,195.78075
20200427T1500,13.797912,187.49586
20200427T1600,8.64,180.0
20200427T1700,7.42159,202.83365
20200427T1800,4.452954,194.03624
20200427T1900,3.396233,237.99463
20200427T2000,3.5455887,336.0375
20200427T2100,5.4119864,3.8140564
20200427T2200,2.0991426,329.03625
20200427T2300,2.0991426,300.96378
