location,Presa San Antonio,Presa San Antonio
lat,24.33321,24.33321
lon,-100.31250,-100.31250
asl,1896.160,1896.160
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Presa San Antonio Wind Speed [80 m],Presa San Antonio Wind Direction [80 m]
20200512T1000,8.049845,280.30487
20200512T1100,4.802999,282.99463
20200512T1200,0.8049845,296.56506
20200512T1300,2.52,89.99999
20200512T1400,5.3999996,89.99999
20200512T1500,8.759178,80.537674
20200512T1600,13.207634,72.5528
20200512T1700,17.076298,71.56504
20200512T1800,19.93048,73.20163
20200512T1900,27.691935,74.15691
20200512T2000,32.023815,81.59663
20200512T2100,18.844202,83.41805
20200512T2200,7.342588,78.69006
20200512T2300,3.9763298,95.19443
