location,Presa San Antonio,Presa San Antonio
lat,24.33321,24.33321
lon,-100.31250,-100.31250
asl,1896.160,1896.160
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Presa San Antonio Wind Speed [80 m],Presa San Antonio Wind Direction [80 m]
20200426T0000,5.771239,93.576324
20200426T0100,4.829907,116.56505
20200426T0200,4.32,89.99999
20200426T0300,5.00128,59.74356
20200426T0400,7.653705,41.18593
20200426T0500,8.404285,46.735703
20200426T0600,6.8777895,47.121094
20200426T0700,11.542478,93.576324
20200426T0800,11.013882,101.30993
20200426T0900,8.825508,101.76829
20200426T1000,6.87779,96.009
20200426T1100,8.647496,92.38594
20200426T1200,11.165805,91.8476
20200426T1300,15.496736,92.662994
20200426T1400,16.954432,93.65222
20200426T1500,19.09358,92.161064
20200426T1600,19.443333,91.060905
20200426T1700,20.880001,89.99999
20200426T1800,20.532627,92.009544
20200426T1900,22.033648,94.68589
20200426T2000,15.542662,76.6075
20200426T2100,14.458382,71.113914
20200426T2200,12.245293,65.69545
20200426T2300,11.770403,66.571304
20200427T0000,10.931203,72.75854
20200427T0100,9.47012,81.25384
20200427T0200,7.208994,87.137596
20200427T0300,4.452954,104.03624
20200427T0400,2.16,180.0
20200427T0500,4.2136917,250.0169
20200427T0600,6.519877,263.65982
20200427T0700,7.928178,267.39746
20200427T0800,7.8954163,245.77226
20200427T0900,4.73506,278.74615
20200427T1000,2.7416782,336.8014
20200427T1100,3.0547013,44.999985
20200427T1200,6.28713,76.75948
20200427T1300,7.5942073,84.55967
20200427T1400,7.92,89.99999
20200427T1500,14.408997,77.00538
20200427T1600,16.167967,78.439865
20200427T1700,20.188908,86.93351
20200427T1800,11.090103,103.13402
20200427T1900,9.387651,122.47119
20200427T2000,11.928989,84.805565
20200427T2100,11.183201,86.30861
20200427T2200,9.007196,92.2906
20200427T2300,6.297428,120.963745
20200428T0000,7.9932976,172.23483
20200428T0100,9.360001,202.61987
20200428T0200,9.0,233.1301
20200428T0300,9.6932955,254.93152
20200428T0400,10.799999,270.0
20200428T0500,12.605142,271.6366
20200428T0600,14.154915,277.30576
20200428T0700,16.75064,278.65253
20200428T0800,10.739833,256.42957
20200428T0900,12.620554,273.2705
20200428T1000,12.015589,278.61566
20200428T1100,10.823973,273.8141
20200428T1200,10.446206,271.9749
20200428T1300,8.766573,289.17902
20200428T1400,8.587338,326.97614
20200428T1500,9.3669195,357.79742
20200428T1600,11.631956,21.801407
20200428T1700,13.830749,51.34018
20200428T1800,16.1198,66.29735
20200428T1900,18.720001,67.380135
20200428T2000,6.28713,103.24051
20200428T2100,1.08,180.0
20200428T2200,6.8777895,42.87889
20200428T2300,10.514218,38.047028
20200429T0000,3.096837,35.53766
20200429T0100,4.5536795,198.43495
20200429T0200,5.634891,243.43495
20200429T0300,8.28,270.0
20200429T0400,10.105681,274.08563
20200429T0500,11.570515,275.35583
20200429T0600,12.371645,278.3659
20200429T0700,13.556282,280.71313
20200429T0800,12.015589,261.38434
20200429T0900,12.371645,261.63412
20200429T1000,11.525623,268.21008
20200429T1100,11.159999,270.0
20200429T1200,8.78872,325.008
20200429T1300,11.570515,5.3558044
20200429T1400,11.983188,32.735214
20200429T1500,19.08,58.1092
20200429T1600,30.972555,70.30137
20200429T1700,34.268143,80.933495
20200429T1800,30.24214,90.68205
20200429T1900,27.381308,92.2605
20200429T2000,21.986542,92.81555
20200429T2100,19.523155,95.29008
20200429T2200,19.829433,105.802505
20200429T2300,14.20062,120.465546
