location,Presa San Antonio,Presa San Antonio
20200423T2300,14.345898,107.52557
20200424T0000,13.37825,113.80594
20200424T0100,12.313894,127.874985
20200424T0200,11.681987,146.30994
20200424T0300,10.594036,170.21759
20200424T0400,9.346143,195.64224
20200424T0500,9.585739,214.28688
20200424T0600,9.726664,231.009
20200424T0700,10.315115,240.75117
20200424T0800,9.72,270.0
20200424T0900,9.9571085,282.5288
20200424T1000,8.654986,286.92752
20200424T1100,5.4833565,293.1986
20200424T1200,4.1046314,344.74487
20200424T1300,6.151683,20.556046
20200424T1400,5.904439,37.568573
20200424T1500,6.763786,64.79888
20200424T1600,7.6367526,81.869896
20200424T1700,10.440001,89.99999
20200424T1800,13.698934,93.01279
20200424T1900,18.014393,92.2906
20200424T2000,18.692286,74.35776
20200424T2100,21.897945,80.537674
20200424T2200,16.595179,86.26859
20200424T2300,11.885453,91.7357
20200425T0000,9.346143,105.64224
20200425T0100,7.7043357,127.40535
20200425T0200,6.9247384,152.10272
20200425T0300,5.4119864,183.81407
20200425T0400,5.3517847,222.27368
20200425T0500,5.154415,245.22485
20200425T0600,5.4119864,266.1859
20200425T0700,5.7599998,270.0
20200425T0800,5.5887027,284.93143
20200425T0900,5.6002855,315.0
20200425T1000,6.5693827,350.5377
20200425T1100,9.422101,43.451828
20200425T1200,13.570615,68.19859
20200425T1300,16.65754,83.79655
20200425T1400,21.605999,100.561005
20200425T1500,27.25559,102.20047
20200425T1600,26.33911,100.2348
20200425T1700,27.038372,93.05287
20200425T1800,25.20257,89.18155
20200425T1900,20.991426,95.90614
20200425T2000,6.130579,93.366455
20200425T2100,12.758432,106.38954
20200425T2200,13.324863,88.45184
20200425T2300,21.67487,94.76365
20200426T0000,17.58481,112.89055
20200426T0100,4.5820518,135.0
20200426T0200,5.0528407,175.91438
20200426T0300,2.16,180.0
20200426T0400,3.671294,78.69006
20200426T0500,7.928178,87.39744
20200426T0600,10.495713,84.09385
20200426T0700,11.542478,93.576324
20200426T0800,7.5685663,92.72631
20200426T0900,9.028754,94.57392
20200426T1000,11.165805,91.8476
20200426T1100,14.404499,88.5679
20200426T1200,18.0036,91.14575
20200426T1300,20.163212,88.97697
20200426T1400,19.8,89.99999
20200426T1500,18.72,89.99999
20200426T1600,17.28,89.99999
20200426T1700,17.339897,94.76365
20200426T1800,15.328561,99.46232
20200426T1900,15.815435,101.82149
20200426T2000,15.542662,76.6075
20200426T2100,14.458382,71.113914
20200426T2200,12.245293,65.69545
20200426T2300,11.770403,66.571304
20200427T0000,10.931203,72.75854
20200427T0100,9.47012,81.25384
20200427T0200,7.208994,87.137596
20200427T0300,4.452954,104.03624
20200427T0400,2.16,180.0
20200427T0500,4.2136917,250.0169
20200427T0600,6.519877,263.65982
20200427T0700,7.928178,267.39746
20200427T0800,7.92,270.0
20200427T0900,7.5599995,270.0
20200427T1000,5.4477882,262.40536
20200427T1100,3.0547013,225.0
20200427T1200,3.319036,167.47119
20200427T1300,5.8048253,119.74488
20200427T1400,7.342588,101.30993
20200427T1500,5.7599998,89.99999
20200427T1600,13.32,71.075356
20200427T1700,21.915693,75.73549
20200427T1800,22.862125,82.76308
20200427T1900,19.493261,94.23639
20200427T2000,12.605142,91.63657
20200427T2100,9.36,89.99999
20200427T2200,6.519877,83.65981
20200427T2300,4.6938252,85.60129
