location,Presa San Antonio,Presa San Antonio
lat,24.33321,24.33321
lon,-100.31250,-100.31250
asl,1896.160,1896.160
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Presa San Antonio Wind Speed [80 m],Presa San Antonio Wind Direction [80 m]
20200420T0000,11.570515,95.35582
20200420T0100,9.107359,108.434944
20200420T0200,7.145796,130.91438
20200420T0300,6.12,151.9275
20200420T0400,5.506941,168.69006
20200420T0500,5.8048253,187.12502
20200420T0600,6.151683,200.55605
20200420T0700,9.693296,201.8014
20200420T0800,9.021574,208.61046
20200420T0900,6.489992,213.69006
20200420T1000,4.802999,192.99461
20200420T1100,5.4833565,156.8014
20200420T1200,5.904439,142.4314
20200420T1300,6.193674,125.537674
20200420T1400,5.8048253,119.74488
20200420T1500,6.9899354,101.88866
20200420T1600,9.3669195,92.2026
20200420T1700,13.324863,91.54815
20200420T1800,15.137133,92.72631
20200420T1900,18.0,89.99999
20200420T2000,19.917469,83.77416
20200420T2100,19.416653,79.31509
20200420T2200,14.494192,75.61861
20200420T2300,11.090103,76.86598
20200421T0000,6.638072,77.47118
20200421T0100,3.2599385,96.34019
20200421T0200,1.8,180.0
20200421T0300,3.219938,243.43495
20200421T0400,5.4477882,262.40536
20200421T0500,7.2359104,264.28943
20200421T0600,7.5599995,270.0
20200421T0700,10.483357,285.9454
20200421T0800,10.446206,271.9749
20200421T0900,9.6932955,285.06848
20200421T1000,6.379216,286.38956
20200421T1100,2.16,270.0
20200421T1200,0.35999998,89.99999
20200421T1300,4.379589,80.537674
20200421T1400,6.638072,77.47118
20200421T1500,10.739833,76.42956
20200421T1600,13.910169,79.56252
20200421T1700,19.559633,83.65981
20200421T1800,21.986542,87.18443
20200421T1900,32.97293,79.30349
20200421T2000,18.532133,65.92449
20200421T2100,16.79314,59.036232
20200421T2200,11.808878,52.431404
20200421T2300,9.19939,59.42076
20200422T0000,6.439876,63.43495
20200422T0100,3.9763298,95.19443
20200422T0200,3.6179552,174.28941
20200422T0300,7.653705,228.81409
20200422T0400,11.165805,249.22775
20200422T0500,13.202726,258.99646
20200422T0600,14.205182,261.25385
20200422T0700,16.700275,262.5686
20200422T0800,14.168641,242.78389
20200422T0900,13.207634,252.55283
20200422T1000,13.450708,254.47589
20200422T1100,17.309973,253.07248
20200422T1200,17.163355,260.34012
20200422T1300,15.484185,271.3322
20200422T1400,14.471821,275.7106
20200422T1500,11.304229,279.16235
20200422T1600,6.2145634,280.008
20200422T1700,0.0,180.0
20200422T1800,4.452954,104.03624
20200422T1900,10.495713,95.90614
20200422T2000,12.758432,73.61045
20200422T2100,19.8,89.99999
20200422T2200,20.008356,98.27589
20200422T2300,19.930477,110.071526
20200423T0000,17.49615,126.63411
20200423T0100,15.175612,157.69379
20200423T0200,11.928989,185.19443
20200423T0300,10.495713,210.96376
20200423T0400,10.233123,230.7106
20200423T0500,11.503113,249.86371
20200423T0600,12.429127,259.992
20200423T0700,11.928989,264.80557
20200423T0800,6.12,270.0
20200423T0900,3.8268526,228.81409
20200423T1000,0.8049845,153.43495
20200423T1100,2.968636,104.03624
20200423T1200,3.4152596,108.434944
20200423T1300,4.1046314,127.874985
20200423T1400,4.39436,124.99202
20200423T1500,5.991594,122.73523
20200423T1600,8.049845,116.56505
20200423T1700,11.165805,110.772255
20200423T1800,12.72283,115.11483
20200423T1900,15.7908325,114.22774
20200423T2000,11.27553,73.30075
20200423T2100,17.015474,96.07246
20200423T2200,16.676977,103.73626
