location,Abasolo,Abasolo
lat,20.33322,20.33322
lon,-101.71875,-101.71875
asl,1721.108,1721.108
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Abasolo Wind Speed [80 m],Abasolo Wind Direction [80 m]
20200427T1100,4.0249224,100.30484
20200427T1200,1.484318,255.96376
20200427T1300,4.802999,282.99463
20200427T1400,6.9247384,297.89728
20200427T1500,7.5942082,301.42957
20200427T1600,6.8777895,317.1211
20200427T1700,6.297428,329.03625
20200427T1800,5.1919937,326.30994
20200427T1900,3.096837,324.46234
20200427T2000,2.4149535,116.56505
20200427T2100,8.209263,127.874985
20200427T2200,10.739832,140.44034
20200427T2300,9.6932955,164.9315
