location,Abasolo,Abasolo
lat,20.33322,20.33322
lon,-101.71875,-101.71875
asl,1721.108,1721.108
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Abasolo Wind Speed [80 m],Abasolo Wind Direction [80 m]
20200505T0000,23.000591,287.30054
20200505T0100,20.870687,284.9951
20200505T0200,18.448023,275.59933
20200505T0300,16.65754,263.79657
20200505T0400,15.034041,253.30075
20200505T0500,14.168641,242.78389
20200505T0600,13.104198,232.8153
20200505T0700,9.3669195,272.2026
20200505T0800,8.647496,272.38596
20200505T0900,6.489992,273.17984
20200505T1000,8.225035,293.1986
20200505T1100,9.339208,297.55283
20200505T1200,9.904906,289.0935
20200505T1300,6.9899354,281.88867
20200505T1400,5.00128,300.25644
20200505T1500,5.154415,294.77515
20200505T1600,4.510787,298.61047
20200505T1700,3.8268526,318.8141
20200505T1800,3.7585104,343.30075
20200505T1900,4.379589,350.5377
20200505T2000,5.1919937,123.69006
20200505T2100,13.049689,114.44395
20200505T2200,15.281989,105.01836
20200505T2300,13.70839,119.9315
20200506T0000,8.654987,135.0
20200506T0100,5.634891,116.56505
20200506T0200,5.4477882,82.40536
20200506T0300,7.7043357,52.594643
20200506T0400,7.8954163,43.15239
20200506T0500,8.4963045,36.38434
20200506T0600,7.7879906,33.690063
20200506T0700,7.7879906,33.690063
20200506T0800,3.8773184,21.801407
20200506T0900,3.396233,57.994614
20200506T1000,5.0911684,81.869896
20200506T1100,7.5599995,89.99999
20200506T1200,9.72,89.99999
20200506T1300,10.440001,89.99999
20200506T1400,9.47012,81.25384
20200506T1500,8.049845,63.43495
20200506T1600,8.654987,44.999985
20200506T1700,9.931042,43.53119
20200506T1800,10.703569,47.726303
20200506T1900,13.755579,47.121094
20200506T2000,21.203358,49.820755
20200506T2100,20.929594,49.184906
20200506T2200,17.654688,50.792786
20200506T2300,17.0763,55.304832
20200507T0000,16.199999,53.130096
20200507T0100,14.336861,51.115494
20200507T0200,12.738099,42.70938
20200507T0300,12.682018,34.59227
20200507T0400,13.397612,30.699707
20200507T0500,14.20062,30.465546
20200507T0600,13.397612,30.699707
20200507T0700,12.4811535,33.231705
20200507T0800,10.636766,66.037506
20200507T0900,11.113451,65.09524
20200507T1000,12.224107,76.373
20200507T1100,11.440978,77.27564
20200507T1200,9.779817,83.65981
20200507T1300,7.9932976,97.76516
20200507T1400,5.0142193,111.03751
20200507T1500,2.5959969,123.69006
20200507T1600,2.0364676,135.0
20200507T1700,1.0182338,135.0
20200507T1800,1.4399999,180.0
20200507T1900,1.609969,206.56505
20200507T2000,10.948973,223.66779
