location,Abasolo,Abasolo
20200507T2100,7.4128532,209.05461
20200507T2200,7.2805495,188.53076
20200507T2300,7.9526596,185.19443
20200508T0000,7.5685663,182.72632
20200508T0100,6.924738,188.97263
20200508T0200,5.04,180.0
20200508T0300,4.2136917,160.01689
20200508T0400,3.396233,147.99461
20200508T0500,3.5455887,156.0375
20200508T0600,4.452954,165.96376
20200508T0700,5.3999996,180.0
20200508T0800,4.3498964,245.55606
20200508T0900,5.3517847,250.34618
20200508T1000,8.766573,250.82098
20200508T1100,11.841756,250.46335
20200508T1200,14.494192,255.61862
20200508T1300,15.484185,268.6678
20200508T1400,15.683776,279.24612
20200508T1500,15.978486,284.34933
20200508T1600,15.281989,285.01837
20200508T1700,15.542662,283.39252
20200508T1800,14.973576,279.68878
20200508T1900,14.512064,277.125
20200508T2000,14.113652,322.2532
20200508T2100,8.699793,335.55603
20200508T2200,4.1046314,344.74487
20200508T2300,0.35999998,270.0
20200509T0000,3.0758414,200.55605
20200509T0100,4.39436,214.99202
20200509T0200,4.6102495,218.65982
20200509T0300,4.6102495,218.65982
20200509T0400,3.6,216.8699
20200509T0500,3.096837,234.46233
20200509T0600,2.5455842,261.8699
20200509T0700,1.835647,281.30994
20200509T0800,2.5959969,56.30993
20200509T0900,4.5820518,44.999985
20200509T1000,4.8965297,53.97262
20200509T1100,4.3498964,65.55604
20200509T1200,3.4152596,71.56504
20200509T1300,1.484318,75.96376
20200509T1400,0.8049845,206.56505
20200509T1500,3.8939953,236.30994
20200509T1600,5.3517847,250.34618
20200509T1700,7.072878,255.25644
20200509T1800,7.342588,258.69006
20200509T1900,8.049845,259.69516
20200509T2000,9.255571,283.49573
20200509T2100,6.989936,304.50854
20200509T2200,2.5455842,351.8699
20200509T2300,3.2599385,83.65981
20200510T0000,6.489992,109.44003
20200510T0100,8.654986,106.92751
20200510T0200,10.594036,99.7824
20200510T0300,12.24,89.99999
20200510T0400,12.682018,83.480194
20200510T0500,13.979871,78.11134
20200510T0600,14.241629,73.85565
20200510T0700,14.578888,69.77513
20200510T0800,9.9571085,77.47118
20200510T0900,7.69592,79.2157
20200510T1000,6.4799995,89.99999
20200510T1100,4.452954,75.96376
20200510T1200,2.5455842,44.999985
20200510T1300,3.671294,11.309921
20200510T1400,3.2599385,6.340164
20200510T1500,1.835647,11.309921
20200510T1600,1.609969,26.565033
20200510T1700,1.1384199,18.434952
20200510T1800,1.8,360.0
20200510T1900,3.219938,26.565033
20200510T2000,11.090103,35.75389
20200510T2100,14.982228,54.782394
20200510T2200,18.057508,66.501434
20200510T2300,20.799152,66.54097
20200511T0000,20.61766,65.224846
20200511T0100,19.881649,58.324516
20200511T0200,17.713316,52.431404
20200511T0300,17.826363,46.636566
20200511T0400,17.826363,46.636566
20200511T0500,18.335276,46.591125
20200511T0600,17.935081,51.51979
20200511T0700,17.208603,52.650635
20200511T0800,9.107359,71.56504
20200511T0900,9.531505,79.11447
20200511T1000,7.2,89.99999
20200511T1100,5.3517847,109.653824
20200511T1200,3.219938,153.43495
20200511T1300,2.9024127,209.74489
20200511T1400,4.072935,225.0
20200511T1500,5.3517847,227.72632
20200511T1600,6.618519,225.0
20200511T1700,7.42159,219.09386
20200511T1800,7.8954163,223.15239
20200511T1900,8.404285,223.2643
20200511T2000,9.290511,215.53769
20200511T2100,10.163227,202.9321
20200511T2200,10.041354,194.53445
20200511T2300,9.826088,208.44293
20200512T0000,9.931042,226.46881
20200512T0100,10.464797,243.43495
20200512T0200,11.440978,257.27563
20200512T0300,11.525623,268.21008
20200512T0400,11.183201,273.6914
20200512T0500,9.028754,274.5739
20200512T0600,6.8399997,270.0
20200512T0700,5.0528407,265.91437
20200512T0800,3.4152596,251.56506
20200512T0900,3.096837,234.46233
20200512T1000,5.634891,243.43495
20200512T1100,8.049845,243.43495
20200512T1200,10.00256,239.74356
20200512T1300,12.72283,244.88516
20200512T1400,14.458382,251.11392
20200512T1500,14.759999,257.31964
20200512T1600,15.328561,260.5377
20200512T1700,15.941944,263.51694
20200512T1800,16.263872,264.9204
20200512T1900,16.700275,262.5686
20200512T2000,16.676977,256.26373
20200512T2100,17.727943,246.0375
20200512T2200,17.414474,240.25513
20200512T2300,18.58451,238.46521
