location,Abasolo,Abasolo
lat,20.33322,20.33322
lon,-101.71875,-101.71875
asl,1721.108,1721.108
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Abasolo Wind Speed [80 m],Abasolo Wind Direction [80 m]
20200426T0000,5.0911684,278.1301
20200426T0100,4.829907,333.43497
20200426T0200,5.771239,3.5763245
20200426T0300,7.289445,32.905228
20200426T0400,8.669949,48.366455
20200426T0500,9.826088,61.557068
20200426T0600,9.693296,68.19859
20200426T0700,17.651016,78.231705
20200426T0800,17.873556,80.7274
20200426T0900,10.594036,80.21759
20200426T1000,11.525623,75.52971
20200426T1100,10.041354,75.465546
20200426T1200,5.95906,64.98311
20200426T1300,3.7064266,29.05458
20200426T1400,2.6208394,15.945404
20200426T1500,2.5455842,8.130096
20200426T1600,6.489992,19.440033
20200426T1700,7.7043357,37.40535
20200426T1800,7.9036193,59.93141
20200426T1900,11.792404,77.66091
20200426T2000,9.360001,112.61986
20200426T2100,12.979984,93.179825
20200426T2200,15.124284,88.63607
20200426T2300,16.039202,80.96051
20200427T0000,14.84318,75.96376
20200427T0100,13.570615,68.19859
20200427T0200,13.202726,64.13365
20200427T0300,13.53236,61.38954
20200427T0400,13.70839,60.06849
20200427T0500,13.70839,60.06849
20200427T0600,13.217443,60.64225
20200427T0700,12.904882,59.858604
20200427T0800,13.202726,101.00354
20200427T0900,8.089993,110.854454
20200427T1000,7.42159,104.03624
20200427T1100,6.2145634,100.00798
20200427T1200,4.3349743,94.76365
20200427T1300,1.08,89.99999
20200427T1400,1.8,306.8699
20200427T1500,3.4152596,288.43497
20200427T1600,4.0249224,296.56506
20200427T1700,3.5455887,293.9625
20200427T1800,3.8773184,291.8014
20200427T1900,4.5536795,288.43497
20200427T2000,8.39657,120.96376
20200427T2100,8.217153,118.81079
20200427T2200,7.10031,120.465546
20200427T2300,6.6087217,119.35774
20200428T0000,6.379216,106.38954
20200428T0100,7.208994,92.862404
20200428T0200,7.2,89.99999
20200428T0300,7.2359104,84.289406
20200428T0400,5.7599998,89.99999
20200428T0500,3.8773184,111.80141
20200428T0600,2.5455842,171.8699
20200428T0700,3.4152596,198.43495
20200428T0800,8.905908,255.96376
20200428T0900,6.12,270.0
20200428T1000,9.47012,278.74615
20200428T1100,13.084402,277.90717
20200428T1200,13.202726,281.00354
20200428T1300,12.0694,287.35403
20200428T1400,9.227524,290.55603
20200428T1500,8.12197,282.80426
20200428T1600,8.311245,274.96973
20200428T1700,9.779817,263.65982
20200428T1800,11.304229,260.83765
20200428T1900,13.627795,257.79953
20200428T2000,10.086427,272.0454
