location,Abasolo,Abasolo
20200428T2100,13.358861,255.96376
20200428T2200,15.596767,251.14685
20200428T2300,17.208603,254.21925
20200429T0000,17.462784,261.70285
20200429T0100,17.294992,272.38596
20200429T0200,15.986595,277.76517
20200429T0300,14.081478,274.3987
20200429T0400,12.074766,259.69516
20200429T0500,11.592895,244.23068
20200429T0600,10.685391,237.38075
20200429T0700,8.587338,236.97614
20200429T0800,8.473393,257.73523
20200429T0900,4.39436,235.00798
20200429T1000,4.6102495,231.3402
20200429T1100,5.00128,239.74356
20200429T1200,5.815978,248.1986
20200429T1300,6.87779,263.991
20200429T1400,7.9526596,275.19443
20200429T1500,7.928178,272.60257
20200429T1600,7.5599995,270.0
20200429T1700,7.5685663,267.27368
20200429T1800,7.2359104,264.28943
20200429T1900,5.937272,255.96376
20200429T2000,7.5942073,5.440323
20200429T2100,16.800856,44.999985
20200429T2200,16.870138,50.194427
20200429T2300,20.592503,53.53076
20200430T0000,20.073025,57.449997
20200430T0100,19.08,58.1092
20200430T0200,18.440998,51.34018
20200430T0300,18.837324,44.999985
20200430T0400,17.072504,42.436203
20200430T0500,20.188908,50.063614
20200430T0600,18.875126,55.097496
20200430T0700,17.782686,58.24051
20200430T0800,15.496736,87.33699
20200430T0900,13.32,89.99999
20200430T1000,12.324414,96.70984
20200430T1100,12.429127,100.00798
20200430T1200,11.165805,110.772255
20200430T1300,7.7879906,123.69006
20200430T1400,4.072935,135.0
20200430T1500,1.835647,168.69006
20200430T1600,3.4152596,198.43495
20200430T1700,5.6002855,225.0
20200430T1800,4.510787,241.38954
20200430T1900,1.835647,281.30994
20200430T2000,12.538134,39.173645
20200430T2100,8.557102,14.620865
20200430T2200,16.1198,299.42746
20200430T2300,19.586117,287.10272
20200501T0000,12.864649,287.92792
20200501T0100,7.9932966,305.83765
20200501T0200,6.151683,339.44397
20200501T0300,6.9899354,11.888657
20200501T0400,7.5685663,25.34616
20200501T0500,8.0899935,32.275635
20200501T0600,8.942214,40.100906
20200501T0700,8.669949,41.63353
20200501T0800,3.2399998,89.99999
20200501T0900,2.968636,75.96376
20200501T1000,2.5455842,98.1301
20200501T1100,1.0182338,135.0
20200501T1200,0.71999997,270.0
20200501T1300,2.2768397,288.43497
20200501T1400,3.396233,302.00537
20200501T1500,2.8116899,309.80557
20200501T1600,2.6208394,285.9454
20200501T1700,3.6179552,275.7106
20200501T1800,3.671294,281.30994
20200501T1900,4.3349743,274.76364
20200501T2000,5.0142193,68.96249
20200501T2100,8.647496,92.38594
20200501T2200,12.371645,98.36588
20200501T2300,13.441071,97.696045
20200502T0000,11.901798,93.46823
20200502T0100,10.823973,93.81408
20200502T0200,9.72,89.99999
20200502T0300,8.28,89.99999
20200502T0400,6.130579,93.366455
20200502T0500,4.0249224,100.30484
20200502T0600,3.5455887,113.96249
20200502T0700,2.9024127,119.74488
20200502T0800,5.6233797,230.19443
20200502T0900,4.3349743,228.36647
20200502T1000,6.489992,266.8202
20200502T1100,9.114471,279.09027
20200502T1200,9.6932955,285.06848
20200502T1300,8.587338,303.02386
20200502T1400,6.489992,326.30994
20200502T1500,4.510787,331.38956
20200502T1600,4.1046314,322.12503
20200502T1700,5.0911684,315.0
20200502T1800,5.1165614,309.2894
20200502T1900,5.00128,300.25644
20200502T2000,5.2416787,285.9454
20200502T2100,6.162207,276.70984
20200502T2200,5.8048253,262.875
20200502T2300,4.510787,241.38954
20200503T0000,3.7585104,196.69925
20200503T0100,4.452954,165.96376
20200503T0200,4.8965297,143.97263
20200503T0300,5.3517847,137.72632
20200503T0400,5.1165614,140.71059
20200503T0500,4.6938257,147.52881
20200503T0600,4.39436,145.00798
20200503T0700,4.510787,151.38954
20200503T0800,4.3498964,155.55605
20200503T0900,2.968636,165.96376
20200503T1000,3.396233,212.00539
20200503T1100,8.12197,257.19574
20200503T1200,9.255571,256.50427
20200503T1300,9.0645685,263.15723
20200503T1400,7.5685663,272.72632
20200503T1500,5.8603754,280.61966
20200503T1600,4.510787,298.61047
20200503T1700,4.5820518,315.0
20200503T1800,4.5820518,315.0
20200503T1900,4.1046314,307.875
20200503T2000,3.219938,296.56506
20200503T2100,2.1897945,260.5377
20200503T2200,3.319036,257.4712
20200503T2300,5.6920996,251.56506
