location,Sierra Tomóchic,Sierra Tomóchic
lat,28.33321,28.33321
lon,-107.81250,-107.81250
asl,2238.570,2238.570
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Sierra Tomóchic Wind Speed [80 m],Sierra Tomóchic Wind Direction [80 m]
20200426T0000,8.427383,340.0169
20200426T0100,7.2359104,354.28943
20200426T0200,7.072878,14.743561
20200426T0300,6.9153743,38.659805
20200426T0400,7.729527,62.241455
20200426T0500,8.473393,77.73522
20200426T0600,11.252519,97.35238
20200426T0700,11.090103,103.13402
20200426T0800,11.27553,106.69924
20200426T0900,10.966713,113.19859
20200426T1000,14.84318,129.09386
20200426T1100,16.641972,141.14662
20200426T1200,14.973577,152.8189
20200426T1300,12.24,180.0
20200426T1400,12.031756,218.92755
20200426T1500,14.182355,246.0375
20200426T1600,16.87398,258.9298
20200426T1700,21.24,270.0
20200426T1800,26.525429,277.8002
20200426T1900,34.417206,285.78076
20200426T2000,28.483257,286.14435
20200426T2100,24.569832,280.98065
20200426T2200,21.791153,277.59464
20200426T2300,18.03237,273.43362
20200427T0000,14.471821,264.28943
20200427T0100,11.043261,250.9744
20200427T0200,10.086427,235.1755
20200427T0300,8.654987,225.0
20200427T0400,7.386582,226.97495
20200427T0500,6.1305785,229.76364
20200427T0600,5.3999996,233.1301
20200427T0700,5.8603754,222.51045
20200427T0800,5.1165614,219.28941
20200427T0900,4.3349743,265.23636
20200427T1000,7.928178,267.39746
20200427T1100,10.538843,262.14667
20200427T1200,12.7279215,261.8699
20200427T1300,14.471821,264.28943
20200427T1400,17.64,270.0
20200427T1500,20.598795,275.01312
20200427T1600,25.153671,279.0579
20200427T1700,27.887802,281.1649
20200427T1800,31.003918,282.7453
20200427T1900,33.973778,285.36163
20200427T2000,28.73242,285.25513
20200427T2100,24.826952,286.8584
20200427T2200,22.086521,289.0256
20200427T2300,21.129885,293.0704
20200428T0000,20.799152,293.45905
20200428T0100,14.917212,289.74683
20200428T0200,10.948973,279.46234
20200428T0300,7.9526596,264.80557
20200428T0400,6.9527545,248.7495
20200428T0500,6.193674,234.46233
20200428T0600,5.6002855,225.0
20200428T0700,5.00128,239.74356
20200428T0800,3.0758414,249.44395
20200428T0900,4.379589,279.46234
20200428T1000,7.771331,283.39252
20200428T1100,9.793058,287.10272
20200428T1200,11.503113,290.1363
20200428T1300,13.37825,293.80597
20200428T1400,16.09969,296.56506
20200428T1500,18.35647,295.55997
20200428T1600,20.929594,296.56506
20200428T1700,23.023117,296.9657
20200428T1800,25.11758,297.29956
20200428T1900,27.047956,296.9061
20200428T2000,25.14852,293.6294
20200428T2100,22.553934,294.51965
20200428T2200,19.319628,296.56506
20200428T2300,13.049689,294.44397
20200429T0000,10.041354,284.53445
20200429T0100,8.350138,277.4314
20200429T0200,7.208994,272.8624
20200429T0300,6.12,270.0
20200429T0400,5.4119864,273.8141
20200429T0500,5.0528407,274.08563
20200429T0600,4.0249224,280.30487
20200429T0700,4.39436,325.008
20200429T0800,2.5959969,326.30994
20200429T0900,2.5455842,351.8699
20200429T1000,5.991594,32.735214
20200429T1100,10.144082,62.52556
20200429T1200,8.825508,78.231705
20200429T1300,6.5693827,80.537674
20200429T1400,6.0347,72.64597
20200429T1500,5.315336,61.699234
20200429T1600,6.4096174,51.842773
20200429T1700,7.42159,50.906143
20200429T1800,9.693296,58.671295
20200429T1900,7.5942082,58.570435
20200429T2000,10.829959,74.577835
20200429T2100,12.24,89.99999
20200429T2200,16.595179,102.52881
20200429T2300,20.948164,109.05771
20200430T0000,21.734581,116.56505
20200430T0100,19.272614,122.79953
20200430T0200,19.469976,123.69006
20200430T0300,16.92383,128.08878
20200430T0400,15.124284,128.23383
20200430T0500,12.979984,123.69006
20200430T0600,11.269782,116.56505
20200430T0700,10.587918,125.31121
20200430T0800,6.28713,103.24051
20200430T0900,7.771331,103.392494
20200430T1000,8.217153,118.81079
20200430T1100,7.6367526,135.0
20200430T1200,2.968636,165.96376
20200430T1300,2.968636,284.03625
20200430T1400,5.634891,296.56506
20200430T1500,7.42159,292.83368
20200430T1600,9.028754,293.49857
20200430T1700,10.495713,292.16635
20200430T1800,14.578888,290.22485
20200430T1900,25.20257,270.81845
20200430T2000,26.476522,281.7683
20200430T2100,26.980793,288.6767
20200430T2200,28.66468,295.2777
20200430T2300,24.162947,298.4742
20200501T0000,14.039999,292.61987
20200501T0100,8.287822,272.48956
20200501T0200,6.489992,250.55997
20200501T0300,5.3999996,233.1301
20200501T0400,4.5820518,225.0
20200501T0500,3.563818,225.0
20200501T0600,3.319036,229.39871
20200501T0700,4.0249224,243.43495
20200501T0800,2.0364676,225.0
20200501T0900,2.2768397,251.56506
20200501T1000,3.7064266,240.9454
20200501T1100,7.145796,220.91438
20200501T1200,10.233123,230.7106
20200501T1300,12.10157,239.62088
20200501T1400,14.24163,249.27444
20200501T1500,15.281989,254.98164
20200501T1600,18.486622,263.29016
20200501T1700,21.602999,270.95483
20200501T1800,24.648829,276.70984
20200501T1900,8.089993,290.85446
20200501T2000,11.440979,294.14554
20200501T2100,15.175612,292.3062
20200501T2200,14.578888,290.22485
20200501T2300,10.931203,287.24146
20200502T0000,8.669949,274.76364
20200502T0100,7.208994,267.1376
20200502T0200,6.9899354,258.11133
20200502T0300,6.28713,256.7595
20200502T0400,5.5887027,255.06857
20200502T0500,5.154415,245.22485
20200502T0600,4.8965297,233.97263
20200502T0700,3.8773184,201.8014
20200502T0800,2.16,180.0
20200502T0900,2.2768397,198.43495
20200502T1000,6.28713,203.62938
20200502T1100,11.435313,208.17859
20200502T1200,14.264361,227.04541
20200502T1300,16.923828,240.70865
20200502T1400,19.386593,248.1986
20200502T1500,20.724247,252.8241
20200502T1600,23.319553,261.11935
20200502T1700,25.60053,266.77548
20200502T1800,28.082308,270.73453
20200502T1900,29.339449,276.34018
20200502T2000,28.883131,280.04935
20200502T2100,26.576681,278.56915
20200502T2200,22.682856,270.9094
20200502T2300,16.808569,260.1342
20200503T0000,12.864649,252.07208
20200503T0100,9.904906,250.90651
20200503T0200,8.209263,254.74487
20200503T0300,6.924738,261.02737
20200503T0400,6.130579,266.63354
20200503T0500,5.04,270.0
20200503T0600,4.32,270.0
20200503T0700,3.2399998,270.0
20200503T0800,2.4149535,243.43495
20200503T0900,1.2979984,236.30994
20200503T1000,3.7064266,240.9454
20200503T1100,7.8954163,223.15239
20200503T1200,11.457958,226.27303
20200503T1300,14.689588,233.97263
20200503T1400,17.873556,242.40271
20200503T1500,19.930477,249.92847
20200503T1600,22.61419,256.185
20200503T1700,24.74329,261.63412
20200503T1800,27.397867,266.9872
20200503T1900,28.820242,272.14758
20200503T2000,28.227306,275.85602
20200503T2100,24.216522,275.1173
20200503T2200,22.7057,267.27368
20200503T2300,17.309973,253.07248
