location,Sierra Tomóchic,Sierra Tomóchic
lat,28.33321,28.33321
lon,-107.81250,-107.81250
asl,2238.570,2238.570
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Sierra Tomóchic Wind Speed [80 m],Sierra Tomóchic Wind Direction [80 m]
20200505T0000,10.1376915,263.8845
20200505T0100,9.0,253.7398
20200505T0200,8.557102,247.75098
20200505T0300,8.089993,249.14554
20200505T0400,7.5170207,253.30075
20200505T0500,6.638072,257.4712
20200505T0600,4.8965297,323.97263
20200505T0700,5.3517847,340.3462
20200505T0800,6.130579,356.63354
20200505T0900,4.802999,12.994629
20200505T1000,10.691453,44.999985
20200505T1100,13.202726,64.13365
20200505T1200,11.384199,71.56504
20200505T1300,7.6367526,81.869896
20200505T1400,5.1544156,77.905235
20200505T1500,4.8965297,53.97262
20200505T1600,5.1919937,33.690063
20200505T1700,5.5887027,14.931412
20200505T1800,6.924738,351.02737
20200505T1900,19.513195,299.876
20200505T2000,21.166653,311.5526
20200505T2100,18.584509,314.2152
20200505T2200,11.019764,321.6325
20200505T2300,4.0249224,10.30484
20200506T0000,8.64,89.99999
20200506T0100,12.864649,107.92791
20200506T0200,12.303366,110.556046
20200506T0300,11.165805,110.772255
20200506T0400,10.365251,110.323135
20200506T0500,9.6932955,105.06849
20200506T0600,9.9571085,102.52881
20200506T0700,7.968939,108.434944
20200506T0800,5.0911684,98.1301
20200506T0900,7.2805495,98.53076
20200506T1000,11.503113,110.1363
20200506T1100,14.84318,104.03624
20200506T1200,13.339445,93.094055
20200506T1300,9.726665,87.8789
20200506T1400,6.849467,86.98721
20200506T1500,4.73506,81.25384
20200506T1600,3.7585104,73.30075
20200506T1700,2.5455842,44.999985
20200506T1800,1.1384199,18.434952
20200506T1900,20.345573,283.29858
20200506T2000,22.530937,282.926
20200506T2100,19.562946,282.75754
20200506T2200,15.5843,276.6325
20200506T2300,14.081478,274.3987
20200507T0000,14.587776,285.7512
20200507T0100,13.363711,297.25534
20200507T0200,12.181624,304.1597
20200507T0300,10.296251,306.46924
20200507T0400,7.9036193,300.0686
20200507T0500,5.937272,284.03625
20200507T0600,5.4119864,266.1859
20200507T0700,1.1384199,18.434952
20200507T0800,0.71999997,89.99999
20200507T0900,2.0991426,59.036232
20200507T1000,4.1046314,52.125
20200507T1100,4.829907,63.43495
20200507T1200,2.5455842,81.869896
20200507T1300,0.8049845,63.43495
20200507T1400,2.52,270.0
20200507T1500,6.830519,288.43497
20200507T1600,10.1376915,263.8845
20200507T1700,16.516901,249.59012
20200507T1800,23.688984,253.21736
20200507T1900,15.459054,297.75854
20200507T2000,7.7879906,303.69006
20200507T2100,7.2359104,354.28943
20200507T2200,4.072935,44.999985
20200507T2300,5.8603754,137.48955
20200508T0000,13.684735,153.43495
20200508T0100,20.12461,153.43495
20200508T0200,18.58451,148.46521
20200508T0300,13.104198,142.81529
20200508T0400,8.707237,150.25511
20200508T0500,7.8625183,164.0546
20200508T0600,9.227524,159.44395
20200508T0700,7.0911775,293.9625
20200508T0800,3.671294,281.30994
20200508T0900,4.8433046,311.98724
20200508T1000,9.114471,350.90973
20200508T1100,10.041354,14.534454
20200508T1200,9.585739,34.286865
20200508T1300,8.435069,39.805573
20200508T1400,7.7043357,37.40535
20200508T1500,7.653705,41.18593
20200508T1600,7.145796,40.914368
20200508T1700,5.0911684,44.999985
20200508T1800,1.5273507,135.0
20200508T1900,10.495713,120.96376
20200508T2000,9.826088,151.55707
20200508T2100,5.937272,165.96376
20200508T2200,1.2979984,213.69006
20200508T2300,1.0182338,225.0
20200509T0000,2.52,180.0
20200509T0100,10.296251,143.53076
20200509T0200,18.864824,138.09406
20200509T0300,15.484185,144.46231
20200509T0400,12.24,151.9275
20200509T0500,10.086427,145.1755
20200509T0600,10.195057,132.13759
20200509T0700,11.200571,135.0
20200509T0800,7.4128532,119.054596
20200509T0900,8.049845,116.56505
20200509T1000,8.39657,120.96376
20200509T1100,6.4096174,141.84277
20200509T1200,1.1384199,251.56506
20200509T1300,5.4833565,336.8014
20200509T1400,6.830519,341.56506
20200509T1500,6.439876,333.43497
20200509T1600,6.297428,329.03625
20200509T1700,6.8777895,317.1211
20200509T1800,7.928177,309.47247
20200509T1900,14.707222,291.541
20200509T2000,16.485485,301.6075
20200509T2100,14.689588,306.02737
20200509T2200,13.584932,302.00537
20200509T2300,10.30883,294.77515
20200510T0000,8.209263,285.25513
20200510T0100,6.9899354,281.88867
20200510T0200,6.638072,282.5288
20200510T0300,5.3517847,289.6538
20200510T0400,3.6,306.8699
20200510T0500,2.1897945,350.5377
20200510T0600,1.9386592,68.19859
20200510T0700,6.0347,107.35402
20200510T0800,3.671294,101.30993
20200510T0900,4.379589,99.46232
20200510T1000,9.686609,138.01279
20200510T1100,14.372974,157.9321
20200510T1200,12.015589,171.38435
20200510T1300,11.367109,190.95407
20200510T1400,11.609651,209.74489
20200510T1500,12.031756,231.07246
20200510T1600,12.768586,248.49857
20200510T1700,14.512064,262.875
20200510T1800,18.72,270.0
20200510T1900,23.051247,284.47028
20200510T2000,21.868332,290.22485
20200510T2100,20.991426,292.16635
20200510T2200,18.514643,296.56506
20200510T2300,11.592895,295.76935
20200511T0000,8.825508,281.7683
20200511T0100,7.5599995,270.0
20200511T0200,6.638072,257.4712
20200511T0300,6.830519,251.56506
20200511T0400,6.6185193,247.61987
20200511T0500,5.8048253,240.25513
20200511T0600,6.193674,234.46233
20200511T0700,0.35999998,89.99999
20200511T0800,1.4399999,89.99999
20200511T0900,1.835647,101.30993
20200511T1000,2.16,180.0
20200511T1100,7.7043357,217.40535
20200511T1200,13.104198,232.8153
20200511T1300,16.746773,244.53665
20200511T1400,20.275385,253.49564
20200511T1500,23.795427,259.5401
20200511T1600,26.932714,261.54498
20200511T1700,28.357857,261.97278
20200511T1800,29.533169,260.88214
20200511T1900,29.888672,260.99152
20200511T2000,28.66694,262.78574
20200511T2100,27.086262,265.4261
20200511T2200,25.199999,270.0
20200511T2300,20.674158,277.00128
20200512T0000,14.205182,278.74615
20200512T0100,10.105681,274.08563
20200512T0200,8.311245,265.03027
20200512T0300,6.830519,251.56506
20200512T0400,5.991594,237.26477
20200512T0500,5.3517847,222.27368
20200512T0600,5.634891,206.56505
20200512T0700,5.506941,191.30994
20200512T0800,5.7599998,180.0
20200512T0900,4.3349743,175.23636
20200512T1000,4.3349743,175.23636
20200512T1100,6.2145634,169.99202
20200512T1200,8.28,180.0
20200512T1300,9.83268,203.7495
20200512T1400,11.988594,228.65222
20200512T1500,14.986553,245.89777
20200512T1600,19.211996,257.00537
20200512T1700,23.14103,264.64417
20200512T1800,27.72,270.0
20200512T1900,30.317043,274.08563
20200512T2000,30.453527,276.78897
20200512T2100,27.869207,275.93152
20200512T2200,25.919998,270.0
20200512T2300,22.608458,260.83765
