"","timestamp","Sierra.Tomóchic.Wind.Speed..80.m.","Sierra.Tomóchic.Wind.Direction..80.m."
"106",2020-04-18 09:00:00,10.829958,248.55226
"107",2020-04-18 10:00:00,23.188583,242.24146
"108",2020-04-18 11:00:00,28.712116,239.8987
"109",2020-04-18 12:00:00,32.2396,240.57254
"110",2020-04-18 13:00:00,35.598152,241.62076
"111",2020-04-18 14:00:00,39.134167,242.02054
"112",2020-04-18 15:00:00,40.743664,242.07642
"113",2020-04-18 16:00:00,42.986473,243.64954
"114",2020-04-18 17:00:00,43.82695,245.7508
"115",2020-04-18 18:00:00,42.732468,246.67465
"116",2020-04-18 19:00:00,40.998924,253.15619
"117",2020-04-18 20:00:00,33.3792,253.71509
"118",2020-04-18 21:00:00,27.103,253.00919
"119",2020-04-18 22:00:00,23.006226,249.86371
"120",2020-04-18 23:00:00,20.991426,247.83365
"121",2020-04-19 00:00:00,21.129885,246.9296
"122",2020-04-19 01:00:00,21.068459,250.0169
"123",2020-04-19 02:00:00,20.620806,253.77982
"124",2020-04-19 03:00:00,17.727943,257.0926
"125",2020-04-19 04:00:00,14.241629,253.85567
"126",2020-04-19 05:00:00,11.298495,247.52057
"127",2020-04-19 06:00:00,10.630672,241.69925
"128",2020-04-19 07:00:00,10.041354,255.46555
"129",2020-04-19 08:00:00,5.315336,241.69925
"130",2020-04-19 09:00:00,7.072878,255.25644
"131",2020-04-19 10:00:00,10.661107,258.31064
"132",2020-04-19 11:00:00,18.94024,261.25385
"133",2020-04-19 12:00:00,22.782625,264.5597
"134",2020-04-19 13:00:00,26.67889,266.90594
"135",2020-04-19 14:00:00,29.888672,268.61966
"136",2020-04-19 15:00:00,31.338614,268.0251
"137",2020-04-19 16:00:00,32.09052,266.78452
"138",2020-04-19 17:00:00,31.810638,264.80557
"139",2020-04-19 18:00:00,31.526215,263.44305
"140",2020-04-19 19:00:00,31.129074,264.0257
"141",2020-04-19 20:00:00,25.919998,270
"142",2020-04-19 21:00:00,21.2522,271.94147
"143",2020-04-19 22:00:00,16.93531,267.56335
"144",2020-04-19 23:00:00,12.7279215,261.8699
"145",2020-04-20 00:00:00,11.384199,251.56506
"146",2020-04-20 01:00:00,10.636766,246.0375
"147",2020-04-20 02:00:00,10.144082,242.52557
"148",2020-04-20 03:00:00,9.19939,239.42078
"149",2020-04-20 04:00:00,9,233.1301
"150",2020-04-20 05:00:00,8.161764,228.57634
"151",2020-04-20 06:00:00,8.913181,223.36343
"152",2020-04-20 07:00:00,8.891343,238.24052
"153",2020-04-20 08:00:00,5.6002855,225
"154",2020-04-20 09:00:00,7.729527,242.24146
"155",2020-04-20 10:00:00,14.24163,249.27444
"156",2020-04-20 11:00:00,23.491207,254.8989
"157",2020-04-20 12:00:00,25.984917,259.62415
"158",2020-04-20 13:00:00,28.30983,262.69424
"159",2020-04-20 14:00:00,30.77105,263.9559
"160",2020-04-20 15:00:00,31.845251,264.16052
"161",2020-04-20 16:00:00,32.91983,264.35175
"162",2020-04-20 17:00:00,32.59939,263.65982
"163",2020-04-20 18:00:00,32.527744,264.9204
"164",2020-04-20 19:00:00,30.602118,270.67404
"165",2020-04-20 20:00:00,27.009598,271.52753
"166",2020-04-20 21:00:00,23.803596,273.46823
"167",2020-04-20 22:00:00,20.523155,271.0051
"168",2020-04-20 23:00:00,13.339445,266.90594
"169",2020-04-21 00:00:00,11.090103,256.86597
"170",2020-04-21 01:00:00,9.360001,247.38014
"171",2020-04-21 02:00:00,9.028754,246.50143
"172",2020-04-21 03:00:00,8.534353,242.35403
"173",2020-04-21 04:00:00,8.0899935,237.72437
"174",2020-04-21 05:00:00,7.2,233.1301
"175",2020-04-21 06:00:00,7.386582,226.97495
"176",2020-04-21 07:00:00,6.8777895,222.8789
"177",2020-04-21 08:00:00,7.289445,212.90524
"178",2020-04-21 09:00:00,5.315336,208.30077
"179",2020-04-21 10:00:00,8.78872,235.00798
"180",2020-04-21 11:00:00,15.315873,246.44774
"181",2020-04-21 12:00:00,18.556595,251.91656
"182",2020-04-21 13:00:00,22.007162,254.82709
"183",2020-04-21 14:00:00,26.983194,256.8908
"184",2020-04-21 15:00:00,30.85307,258.55896
"185",2020-04-21 16:00:00,33.74796,258.9298
"186",2020-04-21 17:00:00,34.674183,257.40668
"187",2020-04-21 18:00:00,35.538033,256.52686
"188",2020-04-21 19:00:00,34.245445,257.8632
"189",2020-04-21 20:00:00,30.54701,261.8699
"190",2020-04-21 21:00:00,26.795223,263.82983
"191",2020-04-21 22:00:00,23.893261,263.9458
"192",2020-04-21 23:00:00,20.969805,258.11133
"193",2020-04-20 00:00:00,14.05845,256.67548
"194",2020-04-20 01:00:00,11.631956,248.1986
"195",2020-04-20 02:00:00,10.948973,242.59244
"196",2020-04-20 03:00:00,10.495713,239.03624
"197",2020-04-20 04:00:00,10.587918,234.68878
"198",2020-04-20 05:00:00,9.793059,233.97263
"200",2020-04-20 07:00:00,8.14587,225
"201",2020-04-20 08:00:00,8.404285,223.2643
"202",2020-04-20 09:00:00,7.491114,234.78241
"203",2020-04-20 10:00:00,14.33234,244.72229
"204",2020-04-20 11:00:00,23.933908,254.29138
"205",2020-04-20 12:00:00,26.82906,258.38852
"206",2020-04-20 13:00:00,28.410364,261.25385
"207",2020-04-20 14:00:00,30.413074,263.8845
"208",2020-04-20 15:00:00,31.394394,266.0548
"209",2020-04-20 16:00:00,32.44996,266.8202
"210",2020-04-20 17:00:00,32.09052,266.78452
"211",2020-04-20 18:00:00,32.058193,268.06943
"212",2020-04-20 19:00:00,30.602118,269.32596
"213",2020-04-20 20:00:00,27.359999,270
"214",2020-04-20 21:00:00,24.130743,268.2902
"215",2020-04-20 22:00:00,22.104116,263.4537
"216",2020-04-20 23:00:00,17.227419,259.1597
"217",2020-04-21 00:00:00,12.768586,248.49857
"218",2020-04-21 01:00:00,10.990322,238.3925
"219",2020-04-21 02:00:00,10.799999,233.1301
"220",2020-04-21 03:00:00,10.233123,230.7106
"221",2020-04-21 04:00:00,10.009036,232.30576
"222",2020-04-21 05:00:00,9.178235,228.17984
"224",2020-04-21 07:00:00,6.28713,256.7595
"225",2020-04-21 08:00:00,4.8965297,233.97263
"226",2020-04-21 09:00:00,3.0547013,225
"227",2020-04-21 10:00:00,5.634891,243.43495
"228",2020-04-21 11:00:00,11.440979,245.85446
"229",2020-04-21 12:00:00,15.596767,251.14685
"230",2020-04-21 13:00:00,19.64558,256.2184
"231",2020-04-21 14:00:00,24.569832,259.01935
"232",2020-04-21 15:00:00,28.82249,260.65533
"233",2020-04-21 16:00:00,32.43398,261.06042
"234",2020-04-21 17:00:00,34.10133,259.04596
"235",2020-04-21 18:00:00,35.105072,256.96136
"236",2020-04-21 19:00:00,35.281837,261.78723
"237",2020-04-21 20:00:00,31.616526,262.14667
"238",2020-04-21 21:00:00,26.987997,260.78897
"239",2020-04-21 22:00:00,25.567604,260.27243
"240",2020-04-21 23:00:00,23.863409,258.69006
"241",2020-04-22 00:00:00,19.829433,254.1975
"242",2020-04-22 01:00:00,19.386591,254.93152
"243",2020-04-22 02:00:00,19.211996,257.00537
"244",2020-04-22 03:00:00,19.35314,260.36246
"245",2020-04-22 04:00:00,20.991426,264.09387
"246",2020-04-22 05:00:00,20.598795,264.98688
"247",2020-04-22 06:00:00,19.917469,263.77417
"248",2020-04-22 07:00:00,17.651016,258.23172
"249",2020-04-22 08:00:00,11.841756,250.46335
"250",2020-04-22 09:00:00,19.13426,258.05585
"251",2020-04-22 10:00:00,31.92654,262.875
"252",2020-04-22 11:00:00,33.908863,266.34778
"253",2020-04-22 12:00:00,36.748222,267.75427
"254",2020-04-22 13:00:00,38.546906,267.8591
"255",2020-04-22 14:00:00,41.406258,269.00366
"256",2020-04-22 15:00:00,42.841507,269.51855
"257",2020-04-22 16:00:00,43.56,270
"258",2020-04-22 17:00:00,42.121536,270.4897
"259",2020-04-22 18:00:00,40.018333,273.09406
"260",2020-04-22 19:00:00,39.254856,281.10382
"261",2020-04-22 20:00:00,31.70658,282.45825
"262",2020-04-22 21:00:00,23.510508,281.482
"263",2020-04-22 22:00:00,20.617662,282.09476
"264",2020-04-22 23:00:00,16.520823,281.30994
"265",2020-04-23 00:00:00,14.081478,274.3987
"266",2020-04-23 01:00:00,10.446206,268.0251
"267",2020-04-23 02:00:00,6.830519,251.56506
"268",2020-04-23 03:00:00,5.1165614,230.7106
