location,‘Izbat Qināwī,‘Izbat Qināwī
lat,31.11123,31.11123
lon,30.29805,30.29805
asl,7.758,7.758
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,‘Izbat Qināwī Wind Speed [80 m],‘Izbat Qināwī Wind Direction [80 m]
20200420T0000,18.751125,3.3018646
20200420T0100,17.283749,1.1934662
20200420T0200,16.343367,352.40536
20200420T0300,14.205182,351.25385
20200420T0400,10.931203,342.75854
20200420T0500,10.587918,324.68878
20200420T0600,10.799999,323.13013
20200420T0700,10.00256,329.7436
20200420T0800,8.209263,344.74487
20200420T0900,7.9932976,352.23483
20200420T1000,7.342588,348.69006
20200420T1100,7.754637,338.1986
20200420T1200,12.074766,333.43497
20200420T1300,17.418196,341.9395
20200420T1400,19.652176,351.57306
20200420T1500,21.611998,1.9091492
20200420T1600,22.461807,6.4415894
20200420T1700,21.542923,9.619736
20200420T1800,19.914217,12.528793
20200420T1900,22.314194,17.850311
20200420T2000,24.149532,26.565033
20200420T2100,23.47741,35.6398
20200420T2200,21.142147,47.070007
20200420T2300,19.826164,60.64225
20200421T0000,19.93048,73.20163
20200421T0100,21.38897,83.23382
20200421T0200,22.3229,89.07595
20200421T0300,23.14103,95.35582
20200421T0400,22.450264,105.81919
20200421T0500,23.210928,113.78202
20200421T0600,23.188583,117.75854
20200421T0700,15.778518,117.14967
20200421T0800,12.24,118.07248
20200421T0900,13.896187,126.57303
20200421T1000,11.983188,147.26477
20200421T1100,6.489992,183.17982
20200421T1200,5.1919937,213.69006
20200421T1300,3.7064266,240.9454
20200421T1400,5.3999996,323.13013
20200421T1500,18.899143,17.74466
20200421T1600,22.288042,31.122467
20200421T1700,23.675304,28.123734
20200421T1800,21.99538,21.104828
20200421T1900,28.257132,34.09497
20200421T2000,33.56312,54.605194
20200421T2100,34.651752,66.097946
20200421T2200,36.7588,75.82765
20200421T2300,35.010807,85.872406
20200422T0000,34.2303,92.41102
20200422T0100,34.213257,98.471146
20200422T0200,33.973778,105.36162
20200422T0300,23.358423,118.53998
20200422T0400,28.01531,115.90651
20200422T0500,30.684587,121.07903
20200422T0600,30.378967,130.67494
20200422T0700,22.90743,149.80838
20200422T0800,18.278645,212.125
20200422T0900,30.190672,261.7733
20200422T1000,34.32105,265.18646
20200422T1100,37.420956,262.25964
20200422T1200,41.085762,261.94092
20200422T1300,42.305744,264.62903
20200422T1400,43.933273,268.59137
20200422T1500,38.803257,263.07278
20200422T1600,40.5907,263.37924
20200422T1700,38.52168,270.53546
20200422T1800,34.925564,284.32272
20200422T1900,31.89202,298.30078
20200422T2000,29.131096,309.98688
20200422T2100,26.712873,307.3332
20200422T2200,24.863466,304.38034
20200422T2300,24.363249,304.1597
20200423T0000,24.881702,301.3903
20200423T0100,23.34455,296.56506
20200423T0200,19.995398,293.33405
20200423T0300,21.603,293.5747
20200423T0400,19.721298,291.41296
20200423T0500,17.782688,291.37064
20200423T0600,16.92383,293.83875
20200423T0700,14.007655,295.90652
20200423T0800,16.610792,299.8989
20200423T0900,15.496736,300.73547
20200423T1000,14.973577,297.1811
20200423T1100,15.941944,295.4077
20200423T1200,16.610792,299.8989
20200423T1300,17.713316,307.5686
20200423T1400,19.373219,318.01282
20200423T1500,25.35637,321.3402
20200423T1600,22.66857,327.31946
20200423T1700,20.991426,337.83365
20200423T1800,20.418695,350.8698
20200423T1900,21.749481,12.425919
20200423T2000,24.514387,29.953598
20200423T2100,23.557316,38.79654
20200423T2200,21.897945,46.3322
20200423T2300,24.26998,57.72435
20200424T0000,28.691795,72.47443
20200424T0100,32.169178,84.86361
20200424T0200,33.48,89.99999
20200424T0300,28.30983,97.305756
20200424T0400,29.5551,92.7927
20200424T0500,27.722336,89.255936
20200424T0600,27.238941,82.40536
20200424T0700,24.098497,76.17135
20200424T0800,26.415268,72.5528
20200424T0900,26.00486,68.0513
20200424T1000,17.298738,77.98852
20200424T1100,4.0249224,349.69516
20200424T1200,33.55733,350.7398
20200424T1300,44.50625,350.69006
20200424T1400,42.984966,338.3768
20200424T1500,40.502796,329.5603
20200424T1600,37.8,323.13013
20200424T1700,36.601574,320.98816
20200424T1800,35.39186,316.2364
20200424T1900,33.61714,313.26428
20200424T2000,30.385365,306.32684
20200424T2100,29.07989,301.3287
20200424T2200,28.185955,298.20163
20200424T2300,28.337282,297.2161
20200425T0000,28.357855,298.84265
20200425T0100,28.512817,294.62357
20200425T0200,27.56058,293.8865
20200425T0300,23.03156,294.9628
20200425T0400,21.915693,284.26453
20200425T0500,20.991426,275.90616
20200425T0600,19.469976,273.17984
20200425T0700,17.673029,273.50354
20200425T0800,21.96295,269.06082
20200425T0900,23.110207,265.53284
20200425T1000,24.905132,265.85538
20200425T1100,29.268686,274.9392
20200425T1200,31.983318,281.68936
20200425T1300,32.83705,285.25513
20200425T1400,33.12978,289.0256
20200425T1500,33.24498,287.65012
20200425T1600,30.421598,290.79413
20200425T1700,27.345785,290.8209
20200425T1800,25.071098,291.0375
20200425T1900,23.34455,289.83212
20200425T2000,22.768398,288.43497
20200425T2100,21.313093,285.67953
20200425T2200,21.2522,280.7389
20200425T2300,20.957443,274.92712
