location,‘Izbat Qināwī,‘Izbat Qināwī
lat,31.11123,31.11123
lon,30.29805,30.29805
asl,7.758,7.758
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,‘Izbat Qināwī Wind Speed [80 m],‘Izbat Qināwī Wind Direction [80 m]
20200505T0000,2.4149535,296.56506
20200505T0100,3.6,270.0
20200505T0200,5.1544156,257.90524
20200505T0300,4.6938252,265.6013
20200505T0400,8.473393,257.73523
20200505T0500,14.154915,262.69424
20200505T0600,16.56,270.0
20200505T0700,20.991426,275.90616
20200505T0800,26.400545,275.47736
20200505T0900,31.170673,284.03625
20200505T1000,30.113304,297.79044
20200505T1100,31.178993,301.30414
20200505T1200,31.237131,297.45102
20200505T1300,33.332577,297.6721
20200505T1400,36.55906,295.051
20200505T1500,37.363766,295.08362
20200505T1600,38.64764,295.37158
20200505T1700,37.540253,294.35303
20200505T1800,34.145008,294.9439
20200505T1900,31.435646,293.6294
20200505T2000,29.644857,294.38638
20200505T2100,28.883131,292.72974
20200505T2200,28.883131,292.72974
20200505T2300,30.121912,294.72733
20200506T0000,29.301876,296.25024
20200506T0100,27.56058,293.8865
20200506T0200,26.674032,291.37064
20200506T0300,26.749235,298.9797
20200506T0400,25.925,295.49756
20200506T0500,23.03156,294.9628
20200506T0600,20.326454,292.9321
20200506T0700,18.556595,288.08344
20200506T0800,19.694992,288.10376
20200506T0900,20.724247,287.1759
20200506T1000,22.206486,286.96616
20200506T1100,24.144167,290.0561
20200506T1200,25.478743,293.3049
20200506T1300,25.11758,297.29956
20200506T1400,26.121714,299.74487
20200506T1500,29.215502,292.45694
20200506T1600,27.698954,297.89728
20200506T1700,24.57511,301.82745
20200506T1800,21.252197,308.8114
20200506T1900,18.59845,312.6467
20200506T2000,16.055355,312.27368
20200506T2100,11.753876,310.03027
20200506T2200,9.793059,306.02737
20200506T2300,8.707237,299.74487
20200507T0000,6.638072,282.5288
20200507T0100,6.193674,234.46233
20200507T0200,8.209263,217.87498
20200507T0300,10.009036,217.69424
20200507T0400,10.44,223.60281
20200507T0500,10.883676,214.2157
20200507T0600,11.113451,204.90477
20200507T0700,8.759178,189.46233
20200507T0800,8.766573,199.17902
20200507T0900,7.5942082,211.42957
20200507T1000,7.24486,243.43495
20200507T1100,9.007196,267.7094
20200507T1200,11.013882,281.30994
20200507T1300,14.021525,299.19748
20200507T1400,17.10284,310.73212
20200507T1500,23.113008,307.40536
20200507T1600,20.421871,319.28915
20200507T1700,17.709658,333.43497
20200507T1800,14.830076,354.4278
20200507T1900,16.1198,29.427444
20200507T2000,20.188908,58.861015
20200507T2100,24.098497,76.17135
20200507T2200,28.8,89.99999
20200507T2300,32.396,104.808365
20200508T0000,34.62369,115.23283
20200508T0100,35.14935,122.87626
20200508T0200,35.188046,131.68222
20200508T0300,24.703974,136.77147
20200508T0400,26.867676,144.81929
20200508T0500,27.757378,146.10384
20200508T0600,28.961546,145.12466
20200508T0700,18.79255,143.56914
20200508T0800,17.709658,153.43495
20200508T0900,17.227419,169.1597
20200508T1000,16.279802,198.03429
20200508T1100,20.304129,232.92693
20200508T1200,23.051247,255.52971
20200508T1300,31.072817,280.008
20200508T1400,34.07091,285.9454
20200508T1500,38.175278,285.8712
20200508T1600,34.964508,286.75574
20200508T1700,36.77114,288.25757
20200508T1800,39.9097,285.16446
20200508T1900,43.416954,285.88013
20200508T2000,44.751633,289.74683
20200508T2100,43.35123,294.0108
20200508T2200,41.38121,297.45673
20200508T2300,38.351406,302.34747
20200509T0000,35.246925,304.177
20200509T0100,31.062386,302.21655
20200509T0200,29.59235,306.5911
20200509T0300,26.987997,313.91907
20200509T0400,26.787966,311.1859
20200509T0500,27.943514,308.19867
20200509T0600,27.288855,306.41638
20200509T0700,29.6383,310.0729
20200509T0800,27.748037,314.47437
20200509T0900,25.711662,314.43274
20200509T1000,24.798225,309.6991
20200509T1100,26.072052,305.4457
20200509T1200,27.757378,303.89618
20200509T1300,29.46287,305.04938
20200509T1400,31.178993,306.07602
20200509T1500,32.44996,310.04974
20200509T1600,30.928587,309.80557
20200509T1700,29.74306,308.1183
20200509T1800,28.296091,306.72412
20200509T1900,27.059933,303.05585
20200509T2000,26.674032,301.7595
20200509T2100,27.059933,303.05585
20200509T2200,27.07669,305.80334
20200509T2300,25.922499,307.66562
20200510T0000,26.044699,310.5154
20200510T0100,24.485292,311.42368
20200510T0200,21.94524,311.0091
20200510T0300,19.164717,298.00916
20200510T0400,15.978484,292.52057
20200510T0500,13.1041975,290.9245
20200510T0600,12.313893,285.25513
20200510T0700,10.739833,283.57043
20200510T0800,14.118243,289.359
20200510T0900,15.2947035,296.56506
20200510T1000,15.141414,298.39304
20200510T1100,15.629971,298.92645
20200510T1200,16.575644,304.38034
20200510T1300,19.734436,308.33334
20200510T1400,22.42427,312.39746
20200510T1500,28.551426,311.93353
20200510T1600,27.497026,316.0609
20200510T1700,25.305208,320.19443
20200510T1800,22.782625,328.57043
20200510T1900,20.799152,336.541
20200510T2000,19.734436,345.20325
20200510T2100,18.448023,354.40067
20200510T2200,16.575644,2.4895477
20200510T2300,14.759999,12.680374
