location,‘Izbat Qināwī,‘Izbat Qināwī
lat,31.11123,31.11123
lon,30.29805,30.29805
asl,7.758,7.758
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,‘Izbat Qināwī Wind Speed [80 m],‘Izbat Qināwī Wind Direction [80 m]
20200503T1000,9.0,253.7398
20200503T1100,13.339445,266.90594
20200503T1200,18.175545,277.9696
20200503T1300,21.868332,290.22485
20200503T1400,22.862123,296.16156
20200503T1500,23.219301,299.74487
20200503T1600,22.26768,304.46082
20200503T1700,21.142147,312.93
20200503T1800,18.289274,323.8068
20200503T1900,18.709612,329.98163
20200503T2000,19.513195,330.12402
20200503T2100,15.94601,331.69925
20200503T2200,12.904882,337.0113
20200503T2300,9.422101,353.41806
